layer,course,topic-id,topic-number,topic-name
1,MF1,543,1.1.1,Adding Fractions and Whole Numbers Using Models
2,MF1,539,1.1.2,Adding Fractions and Whole Numbers
2,MF1,544,1.1.3,Subtracting Fractions and Whole Numbers Using Models
3,MF1,545,1.1.4,Subtracting Fractions and Whole Numbers
0,MF1,2440,1.2.1,Least Common Multiples
1,MF1,2365,1.2.2,Least Common Denominators
2,MF1,2376,1.2.3,Comparing Fraction Models Using Common Denominators
3,MF1,4204,1.2.4,Comparing Fractions Using Common Denominators
2,MF1,2374,1.2.5,Adding Fractions With Unlike Denominators Using Models
3,MF1,2372,1.2.6,Subtracting Fractions With Unlike Denominators Using Models
3,MF1,2353,1.2.7,Adding Fractions With Unlike Denominators
4,MF1,2357,1.2.8,Subtracting Fractions With Unlike Denominators
4,MF1,2354,1.3.1,Adding Mixed Numbers With Unlike Denominators
5,MF1,2356,1.3.2,Subtracting Mixed Numbers With Unlike Denominators
6,MF1,525,1.3.3,Subtracting Mixed Numbers With Unlike Denominators Using Improper Fractions
1,MF1,564,1.4.1,Multiplying Unit Fractions by Whole Numbers Using Models
2,MF1,3968,1.4.2,Multiplying Fractions by Whole Numbers Using Models
4,MF1,2360,1.4.3,Multiplying Fractions by Whole Numbers
17,MF1,566,1.4.4,Multiplying Fractions by Whole Numbers: Word Problems
5,MF1,2458,1.4.5,Strategies to Simplify Whole Number and Fraction Multiplication
7,MF1,2379,1.4.6,Multiplying Mixed Numbers by Whole Numbers
3,MF1,565,1.4.7,Multiplying Fractions by Unit Fractions Using Models
4,MF1,3079,1.4.8,Multiplying Fractions Using Models
5,MF1,2378,1.4.9,Multiplying Fractions
8,MF1,567,1.4.10,Multiplying Fractions: Word Problems
6,MF1,2459,1.4.11,Multiplying Fractions by Swapping Denominators
8,MF1,2380,1.4.12,Multiplying Mixed Numbers by Fractions
9,MF1,2381,1.4.13,Multiplying Mixed Numbers
10,MF1,3762,1.4.14,Multiplying Mixed Numbers: Word Problems
4,MF1,529,1.5.1,Dividing Whole Numbers by Unit Fractions Using Models
5,MF1,533,1.5.2,Dividing Whole Numbers by Unit Fractions
5,MF1,528,1.5.3,Dividing Unit Fractions by Whole Numbers Using Models
6,MF1,530,1.5.4,Dividing Unit Fractions by Whole Numbers
6,MF1,2388,1.5.5,Reciprocals
5,MF1,2437,1.5.6,Dividing Whole Numbers by Fractions Using Models: Whole Number Results
