unit-id,unit-code,unit-name
709,MF1.1,Fractions
708,MF1.2,Ratios & Percentages
717,MF1.3,The Number System
718,MF1.4,Exponents & Radicals
720,MF1.5,Equations & Inequalities
723,MF1.6,Two-Variable Equations
728,MF1.7,Radical & Rational Expressions
724,MF1.8,Functions
725,MF1.9,Absolute Value
726,MF1.10,Exponential Functions
727,MF1.11,Polynomials
721,MF1.12,Geometry Fundamentals
759,MF1.13,Polygons
756,MF2.1,Quadratics
736,MF2.2,Polynomials
704,MF2.3,Number Systems
737,MF2.4,Functions
739,MF2.5,Exponentials & Logarithms
741,MF2.6,Radical & Rational Functions
738,MF2.7,Sequences
760,MF2.8,Geometry
734,MF2.9,Trigonometry
731,MF2.10,Vectors
706,MF2.11,Limits & Continuity
740,MF2.12,Introduction to Calculus
732,MF2.13,Statistics
729,MF2.14,Probability & Combinatorics
1055,MF3.1,Sequences and Series
1056,MF3.2,Inequalities
1057,MF3.3,Parametric & Polar Coordinates
1058,MF3.4,Conic Sections
1059,MF3.5,Trigonometry
1060,MF3.6,Complex Numbers
1061,MF3.7,Limits & Continuity
1062,MF3.8,Differentiation
1063,MF3.9,Definite Integrals
1064,MF3.10,Integration Techniques
1065,MF3.11,Contextual Applications of Calculus
1066,MF3.12,Differential Equations
1067,MF3.13,Vectors
1068,MF3.14,Linear Algebra
1069,MF3.15,Probability
