node_id,lesson_id,topic_code,module,assignment_folder,assignment_date,assignment_code,assignment_type,lesson_file,lesson_kind,problem_number,lesson_title,source_relative_path,source_path,headings,incoming_prerequisite_edge_count,dependent_lesson_count,outgoing_matched_prerequisite_count,prerequisite_hub,cycle_flag,cycle_component_id,cycle_member_count
212-M1-031,212-M1-031,MTH212.M1.31,M1,2026-06-23-M1-00,2026-06-23,M1-00,Lecture,Problem-1.md,Problem lesson,1,Finding When Angular Velocity Reverses Direction,M1/2026-06-23-M1-00/Lessons/Problem-1.md,/Users/jake/Developer/study/vault/212/M1/2026-06-23-M1-00/Lessons/Problem-1.md,Turn Reversal into a Zero-Velocity Equation | Isolate the Squared Time | Choose the Nonnegative Time | Compute the Given Reversal Time,0,0,1,false,false,,
212-M1-032,212-M1-032,MTH212.M1.32,M1,2026-06-23-M1-00,2026-06-23,M1-00,Lecture,Problem-2.md,Problem lesson,2,Angular Displacement Before Reversal,M1/2026-06-23-M1-00/Lessons/Problem-2.md,/Users/jake/Developer/study/vault/212/M1/2026-06-23-M1-00/Lessons/Problem-2.md,Find the Reversal Time | Set Up the Angle Integral | Evaluate the Polynomial Integral | Combine the Steps,2,2,1,false,false,,
212-M1-066,212-M1-066,MTH212.M1.66,M1,2026-06-23-M1-00,2026-06-23,M1-00,Lecture,tangential-acceleration-from-angular-acceleration.md,Supplemental lesson,,Converting Angular Acceleration to Tangential Acceleration,M1/2026-06-23-M1-00/Lessons/tangential-acceleration-from-angular-acceleration.md,/Users/jake/Developer/study/vault/212/M1/2026-06-23-M1-00/Lessons/tangential-acceleration-from-angular-acceleration.md,Convert Angular Change into Tangential Change | Solve Backward for Angular Acceleration | Carry the Sign into the Tangential Direction | Keep Tangential and Radial Acceleration Separate,1,1,1,false,false,,
212-M1-033,212-M1-033,MTH212.M1.33,M1,2026-06-24-M1-1,2026-06-24,M1-1,Lecture,Problem-1.md,Problem lesson,1,Convert Revolutions Per Second to Angular Frequency,M1/2026-06-24-M1-1/Lessons/Problem-1.md,/Users/jake/Developer/study/vault/212/M1/2026-06-24-M1-1/Lessons/Problem-1.md,One Revolution Is \(2\pi\) Radians | Convert A Rotation Rate | Round The Angular Frequency | Avoid Leaving Revolutions In The Answer,10,8,2,true,true,CYCLE-001,4
212-M1-034,212-M1-034,MTH212.M1.34,M1,2026-06-24-M1-1,2026-06-24,M1-1,Lecture,Problem-2.md,Problem lesson,2,Magnitude of Constant Angular Acceleration,M1/2026-06-24-M1-1/Lessons/Problem-2.md,/Users/jake/Developer/study/vault/212/M1/2026-06-24-M1-1/Lessons/Problem-2.md,Use The Constant Acceleration Formula | Keep The Sign Until The End | Find The Magnitude For A Stopping Disk | Attach The Units And Round,4,4,1,true,true,CYCLE-001,4
212-M1-035,212-M1-035,MTH212.M1.35,M1,2026-06-24-M1-1,2026-06-24,M1-1,Lecture,Problem-3.md,Problem lesson,3,Finding Angular Acceleration Direction While Stopping,M1/2026-06-24-M1-1/Lessons/Problem-3.md,/Users/jake/Developer/study/vault/212/M1/2026-06-24-M1-1/Lessons/Problem-3.md,Finding the Angular Velocity Direction | Reversing Direction When Rotation Stops | Checking the Direction With Signs | Separating Slowing Down From Speeding Up,2,2,1,false,false,,
212-M1-036,212-M1-036,MTH212.M1.36,M1,2026-06-24-M1-1,2026-06-24,M1-1,Lecture,Problem-4.md,Problem lesson,4,Revolutions While A Disk Stops,M1/2026-06-24-M1-1/Lessons/Problem-4.md,/Users/jake/Developer/study/vault/212/M1/2026-06-24-M1-1/Lessons/Problem-4.md,Read The Stopping Cue | Find The Angular Displacement | Convert Radians To Revolutions | Avoid The Constant-Speed Trap,1,1,3,false,true,CYCLE-001,4
212-M1-037,212-M1-037,MTH212.M1.37,M1,2026-06-25-M1-2,2026-06-25,M1-2,Lecture,Problem-1.md,Problem lesson,1,Find Angular Speed From Angular Position,M1/2026-06-25-M1-2/Lessons/Problem-1.md,/Users/jake/Developer/study/vault/212/M1/2026-06-25-M1-2/Lessons/Problem-1.md,"Differentiate the Position Formula | Evaluate at the Requested Time | Report Speed, Not Signed Velocity | Match the Target Problem",5,4,0,true,false,,
212-M1-038,212-M1-038,MTH212.M1.38,M1,2026-06-25-M1-2,2026-06-25,M1-2,Lecture,Problem-2.md,Problem lesson,2,Deciding Where Distance Belongs in a Speed Formula,M1/2026-06-25-M1-2/Lessons/Problem-2.md,/Users/jake/Developer/study/vault/212/M1/2026-06-25-M1-2/Lessons/Problem-2.md,Hold The Timing Condition Fixed | Match Increase To Numerator Or Denominator | Avoid Letting Two Things Change At Once | Connect The Reasoning To The Disk Formula,4,4,1,true,true,CYCLE-002,2
212-M1-039,212-M1-039,MTH212.M1.39,M1,2026-06-25-M1-2,2026-06-25,M1-2,Lecture,Problem-3.md,Problem lesson,3,Putting Period in the Denominator for Rotating-Disk Speed,M1/2026-06-25-M1-2/Lessons/Problem-3.md,/Users/jake/Developer/study/vault/212/M1/2026-06-25-M1-2/Lessons/Problem-3.md,Change Period Into Angular Speed | Find the Time for a Fixed Angle | Place the Period in the Speed Formula | Check the Direction of the Relationship,8,8,4,true,true,CYCLE-002,2
