edge_id,relationship,source_prerequisite_id,source_lesson_node_id,source_lesson_id,source_lesson_title,source_module,source_assignment_date,source_path,prerequisite_text,target_lesson_node_id,target_lesson_id,target_lesson_title,target_module,target_assignment_date,target_path,temporal_relation,is_primary_match,confidence,match_basis,evidence,candidate_rank,candidate_score,propagated_from_exact_text,review_status,cycle_flag,cycle_component_id,cycle_member_count
P212-E0001,REQUIRES,P212-0003,212-M1-031,212-M1-031,Finding When Angular Velocity Reverses Direction,M1,2026-06-23,/Users/jake/Developer/study/vault/212/M1/2026-06-23-M1-00/Lessons/Problem-1.md,Knowing that the sign of angular velocity gives rotation direction,212-M1-035,212-M1-035,Finding Angular Acceleration Direction While Stopping,M1,2026-06-24,/Users/jake/Developer/study/vault/212/M1/2026-06-24-M1-1/Lessons/Problem-3.md,later,true,Medium,concept_equivalent,The lesson maps clockwise and counterclockwise rotation to angular-velocity direction with the right-hand rule.,1,0.4859,false,semantically-reviewed,false,,
P212-E0002,REQUIRES,P212-0005,212-M1-032,212-M1-032,Angular Displacement Before Reversal,M1,2026-06-23,/Users/jake/Developer/study/vault/212/M1/2026-06-23-M1-00/Lessons/Problem-2.md,Interpret angular displacement as the integral of angular velocity.,212-M1-047,212-M1-047,Finding Angular Position From Angular Acceleration,M1,2026-06-28,/Users/jake/Developer/study/vault/212/M1/2026-06-28-HW-1/Lessons/Problem-5.md,later,true,High,worked_move_equivalent,The lesson obtains angular position by integrating angular velocity as the second step of its derivative chain.,5,0.2553,false,semantically-reviewed,false,,
P212-E0003,REQUIRES,P212-0007,212-M1-066,212-M1-066,Converting Angular Acceleration to Tangential Acceleration,M1,2026-06-23,/Users/jake/Developer/study/vault/212/M1/2026-06-23-M1-00/Lessons/tangential-acceleration-from-angular-acceleration.md,Interpret $\omega$ as angular velocity and $\alpha$ as angular acceleration.,212-M1-034,212-M1-034,Magnitude of Constant Angular Acceleration,M1,2026-06-24,/Users/jake/Developer/study/vault/212/M1/2026-06-24-M1-1/Lessons/Problem-2.md,later,true,High,concept_equivalent,The lesson defines angular acceleration as the rate of change of angular velocity and uses both quantities throughout.,4,0.3997,false,semantically-reviewed,false,,
P212-E0004,REQUIRES,P212-0010,212-M1-033,212-M1-033,Convert Revolutions Per Second to Angular Frequency,M1,2026-06-24,/Users/jake/Developer/study/vault/212/M1/2026-06-24-M1-1/Lessons/Problem-1.md,Know that one full revolution is \(2\pi\) radians.,212-M1-036,212-M1-036,Revolutions While A Disk Stops,M1,2026-06-24,/Users/jake/Developer/study/vault/212/M1/2026-06-24-M1-1/Lessons/Problem-4.md,same-date,true,High,worked_move_equivalent,The lesson explicitly teaches and practices one revolution equals two pi radians.,1,0.37,false,semantically-reviewed,true,CYCLE-001,4
P212-E0005,REQUIRES,P212-0011,212-M1-033,212-M1-033,Convert Revolutions Per Second to Angular Frequency,M1,2026-06-24,/Users/jake/Developer/study/vault/212/M1/2026-06-24-M1-1/Lessons/Problem-1.md,Know how to multiply by a unit conversion factor.,212-M1-043,212-M1-043,Converting Revolutions per Minute to Radians per Second,M1,2026-06-28,/Users/jake/Developer/study/vault/212/M1/2026-06-28-HW-1/Lessons/Problem-1.md,later,true,High,worked_move_equivalent,The lesson teaches arranging unit-conversion factors so the old units cancel.,1,0.2929,false,semantically-reviewed,true,CYCLE-001,4
P212-E0006,REQUIRES,P212-0016,212-M1-034,212-M1-034,Magnitude of Constant Angular Acceleration,M1,2026-06-24,/Users/jake/Developer/study/vault/212/M1/2026-06-24-M1-1/Lessons/Problem-2.md,Use radians per second as angular velocity units.,212-M1-033,212-M1-033,Convert Revolutions Per Second to Angular Frequency,M1,2026-06-24,/Users/jake/Developer/study/vault/212/M1/2026-06-24-M1-1/Lessons/Problem-1.md,same-date,true,High,worked_move_equivalent,The lesson converts rotation rates to radians per second and checks the resulting units.,1,0.4438,false,semantically-reviewed,true,CYCLE-001,4
P212-E0007,REQUIRES,P212-0020,212-M1-035,212-M1-035,Finding Angular Acceleration Direction While Stopping,M1,2026-06-24,/Users/jake/Developer/study/vault/212/M1/2026-06-24-M1-1/Lessons/Problem-3.md,Angular acceleration as the rate of change of angular velocity,212-M1-034,212-M1-034,Magnitude of Constant Angular Acceleration,M1,2026-06-24,/Users/jake/Developer/study/vault/212/M1/2026-06-24-M1-1/Lessons/Problem-2.md,same-date,true,High,concept_equivalent,The lesson directly defines angular acceleration as change in angular velocity per elapsed time.,4,0.3633,false,semantically-reviewed,false,,
P212-E0008,REQUIRES,P212-0021,212-M1-036,212-M1-036,Revolutions While A Disk Stops,M1,2026-06-24,/Users/jake/Developer/study/vault/212/M1/2026-06-24-M1-1/Lessons/Problem-4.md,Know that angular velocity is measured in radians per second.,212-M1-033,212-M1-033,Convert Revolutions Per Second to Angular Frequency,M1,2026-06-24,/Users/jake/Developer/study/vault/212/M1/2026-06-24-M1-1/Lessons/Problem-1.md,same-date,true,High,concept_equivalent,The lesson identifies radians per second as the requested angular-rate unit and practices converting to it.,1,0.4153,false,semantically-reviewed,true,CYCLE-001,4
P212-E0009,REQUIRES,P212-0022,212-M1-036,212-M1-036,Revolutions While A Disk Stops,M1,2026-06-24,/Users/jake/Developer/study/vault/212/M1/2026-06-24-M1-1/Lessons/Problem-4.md,Know that constant angular acceleration makes angular velocity change at a constant rate.,212-M1-034,212-M1-034,Magnitude of Constant Angular Acceleration,M1,2026-06-24,/Users/jake/Developer/study/vault/212/M1/2026-06-24-M1-1/Lessons/Problem-2.md,same-date,true,High,concept_equivalent,The lesson states that constant angular acceleration changes angular velocity by the same amount each second.,2,0.4224,false,semantically-reviewed,true,CYCLE-001,4
P212-E0010,REQUIRES,P212-0023,212-M1-036,212-M1-036,Revolutions While A Disk Stops,M1,2026-06-24,/Users/jake/Developer/study/vault/212/M1/2026-06-24-M1-1/Lessons/Problem-4.md,Know that one full revolution is $2\pi$ radians.,212-M1-033,212-M1-033,Convert Revolutions Per Second to Angular Frequency,M1,2026-06-24,/Users/jake/Developer/study/vault/212/M1/2026-06-24-M1-1/Lessons/Problem-1.md,same-date,true,High,worked_move_equivalent,The lesson explicitly teaches and applies the two-pi-radians-per-revolution conversion.,1,0.4163,false,semantically-reviewed,true,CYCLE-001,4
