corpus_row_id,module,source_lesson_node_id,source_lesson_id,source_lesson_title,source_assignment_date,source_path,prerequisite_text,normalized_text,prerequisite_type,physics_topics,math_subtypes,prerequisite_depth,atomicity,mapping_status,direct_match_count,primary_target_node_id,primary_target_lesson_id,primary_target_lesson_title,primary_target_module,primary_target_assignment_date,primary_target_path,temporal_relation,match_confidence,match_basis,match_evidence,candidate_rank,candidate_score,top_unaccepted_candidate_title,top_unaccepted_candidate_path,top_unaccepted_candidate_score,review_scope,cycle_flag,future_review_flag
P212-0001,M1,212-M1-031,212-M1-031,Finding When Angular Velocity Reverses Direction,2026-06-23,/Users/jake/Developer/study/vault/212/M1/2026-06-23-M1-00/Lessons/Problem-1.md,Solving an equation by isolating a squared variable,solving an equation by isolating a squared variable,Mathematical technique,,Numeracy and arithmetic | Algebra and formula manipulation,D2,Atomic,no-strong-candidate,0,,,,,,,,,,,,,Variable-Density Rod: Center of Mass,/Users/jake/Developer/study/vault/212/M3/2026-07-20-Q-2/Lessons/Examples/M2-2-01-Variable-Density-Rod-Center-of-Mass.md,0.2464,algorithmic-screen-only,false,true
P212-0002,M1,212-M1-031,212-M1-031,Finding When Angular Velocity Reverses Direction,2026-06-23,/Users/jake/Developer/study/vault/212/M1/2026-06-23-M1-00/Lessons/Problem-1.md,Taking the square root of a perfect square,taking the square root of a perfect square,Mathematical technique,,Numeracy and arithmetic,D2,Atomic,no-strong-candidate,0,,,,,,,,,,,,,Balancing Opposing Inverse-Square Forces,/Users/jake/Developer/study/vault/212/M3/2026-07-17-HW-5/Lessons/Problem-2.md,0.2367,algorithmic-screen-only,false,true
P212-0003,M1,212-M1-031,212-M1-031,Finding When Angular Velocity Reverses Direction,2026-06-23,/Users/jake/Developer/study/vault/212/M1/2026-06-23-M1-00/Lessons/Problem-1.md,Knowing that the sign of angular velocity gives rotation direction,knowing that the sign of angular velocity gives rotation direction,"Physics concept, law, or relation",Circular and rotational motion,,D1,Atomic,direct-match,1,212-M1-035,212-M1-035,Finding Angular Acceleration Direction While Stopping,M1,2026-06-24,/Users/jake/Developer/study/vault/212/M1/2026-06-24-M1-1/Lessons/Problem-3.md,later,Medium,concept_equivalent,The lesson maps clockwise and counterclockwise rotation to angular-velocity direction with the right-hand rule.,1,0.4859,,,,semantically-reviewed,false,true
P212-0004,M1,212-M1-032,212-M1-032,Angular Displacement Before Reversal,2026-06-23,/Users/jake/Developer/study/vault/212/M1/2026-06-23-M1-00/Lessons/Problem-2.md,Solve an equation of the form $A-Bt^2=0$ for the positive time.,solve an equation of the form a-bt^2=0 for the positive time,Mathematical technique,,Algebra and formula manipulation,D2,Atomic,no-strong-candidate,0,,,,,,,,,,,,,Finding When Angular Velocity Reverses Direction,/Users/jake/Developer/study/vault/212/M1/2026-06-23-M1-00/Lessons/Problem-1.md,0.2472,algorithmic-screen-only,false,true
P212-0005,M1,212-M1-032,212-M1-032,Angular Displacement Before Reversal,2026-06-23,/Users/jake/Developer/study/vault/212/M1/2026-06-23-M1-00/Lessons/Problem-2.md,Interpret angular displacement as the integral of angular velocity.,interpret angular displacement as the integral of angular velocity,Semantic and physical interpretation,Circular and rotational motion,Calculus,D3,Atomic,direct-match,1,212-M1-047,212-M1-047,Finding Angular Position From Angular Acceleration,M1,2026-06-28,/Users/jake/Developer/study/vault/212/M1/2026-06-28-HW-1/Lessons/Problem-5.md,later,High,worked_move_equivalent,The lesson obtains angular position by integrating angular velocity as the second step of its derivative chain.,5,0.2553,,,,semantically-reviewed,false,true
P212-0006,M1,212-M1-032,212-M1-032,Angular Displacement Before Reversal,2026-06-23,/Users/jake/Developer/study/vault/212/M1/2026-06-23-M1-00/Lessons/Problem-2.md,"Use the power rule antiderivative $\int t^2\,dt=\frac{t^3}{3}$.","use the power rule antiderivative \int t^2\,dt=t^33",Mathematical technique,,Calculus,D3,Atomic,no-strong-candidate,0,,,,,,,,,,,,,Finding a Density Constant from Total Mass,/Users/jake/Developer/study/vault/212/M2/2026-07-12-HW-3/Lessons/Problem-3.md,0.128,algorithmic-screen-only,false,true
P212-0007,M1,212-M1-066,212-M1-066,Converting Angular Acceleration to Tangential Acceleration,2026-06-23,/Users/jake/Developer/study/vault/212/M1/2026-06-23-M1-00/Lessons/tangential-acceleration-from-angular-acceleration.md,Interpret $\omega$ as angular velocity and $\alpha$ as angular acceleration.,interpret \omega as angular velocity and \alpha as angular acceleration,Semantic and physical interpretation,Circular and rotational motion,,D2,Atomic,direct-match,1,212-M1-034,212-M1-034,Magnitude of Constant Angular Acceleration,M1,2026-06-24,/Users/jake/Developer/study/vault/212/M1/2026-06-24-M1-1/Lessons/Problem-2.md,later,High,concept_equivalent,The lesson defines angular acceleration as the rate of change of angular velocity and uses both quantities throughout.,4,0.3997,,,,semantically-reviewed,false,true
P212-0008,M1,212-M1-066,212-M1-066,Converting Angular Acceleration to Tangential Acceleration,2026-06-23,/Users/jake/Developer/study/vault/212/M1/2026-06-23-M1-00/Lessons/tangential-acceleration-from-angular-acceleration.md,Multiply and divide quantities with units.,multiply and divide quantities with units,Mathematical technique,,Numeracy and arithmetic,D2,Atomic,no-strong-candidate,0,,,,,,,,,,,,,Finding Wave Speed from a Traveling-Wave Equation,/Users/jake/Developer/study/vault/212/M5/2026-07-28-HW-7/Lessons/Problem-10.md,0.1853,algorithmic-screen-only,false,true
P212-0009,M1,212-M1-066,212-M1-066,Converting Angular Acceleration to Tangential Acceleration,2026-06-23,/Users/jake/Developer/study/vault/212/M1/2026-06-23-M1-00/Lessons/tangential-acceleration-from-angular-acceleration.md,Use a chosen positive direction for rotation.,use a chosen positive direction for rotation,"Physics concept, law, or relation",Circular and rotational motion,,D2,Atomic,no-strong-candidate,0,,,,,,,,,,,,,Finding Angular Acceleration Direction While Stopping,/Users/jake/Developer/study/vault/212/M1/2026-06-24-M1-1/Lessons/Problem-3.md,0.2625,algorithmic-screen-only,false,true
P212-0010,M1,212-M1-033,212-M1-033,Convert Revolutions Per Second to Angular Frequency,2026-06-24,/Users/jake/Developer/study/vault/212/M1/2026-06-24-M1-1/Lessons/Problem-1.md,Know that one full revolution is \(2\pi\) radians.,know that one full revolution is \(2\pi\) radians,Model condition or reference choice,,,D1,Atomic,direct-match,1,212-M1-036,212-M1-036,Revolutions While A Disk Stops,M1,2026-06-24,/Users/jake/Developer/study/vault/212/M1/2026-06-24-M1-1/Lessons/Problem-4.md,same-date,High,worked_move_equivalent,The lesson explicitly teaches and practices one revolution equals two pi radians.,1,0.37,,,,semantically-reviewed,true,true
