done,sequence,topic-id,topic-name,course-code,topic-code,topic-number,unit,module,layer,min-steps-to-334,max-steps-to-334,direct-prerequisite-ids
0,1,3923,Evaluating Expressions Containing Multiplication and Division,4GM,4GM.1.1.2,1.1.2,1. Operations & Algebraic Thinking,1.1. Operations on Numbers,0,13,44,
0,2,2312,Place Value With Numbers Up to Four Digits,4GM,4GM.2.1.1,2.1.1,2. The Number System,2.1. Place Value,0,15,57,
0,3,122,Products and Factors,4GM,4GM.4.1.1,4.1.1,4. Multiplication,"4.1. Factors, Products, and Multiples",0,14,49,
0,4,3877,The Relationship Between Multiplication and Division,4GM,4GM.5.1.1,5.1.1,5. Division,5.1. Dividing Whole Numbers,0,14,43,
0,5,3888,Understanding Remainders Using Models,4GM,4GM.5.1.2,5.1.2,5. Division,5.1. Dividing Whole Numbers,0,14,49,
0,6,2366,Fraction Models,4GM,4GM.6.1.1,6.1.1,6. Fractions & Decimals,6.1. Fractions,0,13,48,
0,7,2410,Describing the Coordinate Plane,5GM,5GM.8.2.1,8.2.1,8. Measurement & Data,8.2. Coordinates,0,12,25,
0,8,2470,Polygons,5GM,5GM.9.2.1,9.2.1,9. Geometry,9.2. 2D Shapes,0,14,25,
0,9,2314,Introduction to Exponents,6GM,6GM.5.4.1,5.4.1,5. The Number System- Rational Numbers,5.4. Exponents,0,14,29,
0,10,63,Introduction to Algebraic Expressions,PAL,PAL.4.1.1,4.1.1,4. Algebraic Expressions,4.1. Algebraic Expressions,0,12,32,
0,11,3953,Evaluating Expressions Involving Addition and Multiplication,4GM,4GM.1.1.1,1.1.1,1. Operations & Algebraic Thinking,1.1. Operations on Numbers,1,14,43,122
0,12,3874,Interpreting Multiplication Equations as a Comparison,4GM,4GM.1.2.1,1.2.1,1. Operations & Algebraic Thinking,1.2. Thinking Algebraically,1,15,43,122
0,13,3890,Place Value With Numbers Up to Seven Digits,4GM,4GM.2.1.2,2.1.2,2. The Number System,2.1. Place Value,1,14,56,2312
0,14,3942,The Factors of a Number,4GM,4GM.4.1.2,4.1.2,4. Multiplication,"4.1. Factors, Products, and Multiples",1,13,48,122;3888
0,15,2390,"Dividends, Divisors, Quotients, and Remainders",4GM,4GM.5.1.4,5.1.4,5. Division,5.1. Dividing Whole Numbers,1,14,42,3888
0,16,7003,Modeling Fractions Using Number Lines,4GM,4GM.6.1.2,6.1.2,6. Fractions & Decimals,6.1. Fractions,1,14,47,2366
0,17,529,Dividing Whole Numbers by Unit Fractions Using Models,5GM,5GM.4.2.2,4.2.2,4. Multiplying & Dividing Fractions,4.2. Dividing Fractions,1,12,35,2366
0,18,534,Introduction to Ratios,PAL,PAL.1.1.1,1.1.1,1. Ratios & Percentages,1.1. Ratios,1,13,24,2470
0,19,3721,Constructing Algebraic Expressions,PAL,PAL.4.1.2,4.1.2,4. Algebraic Expressions,4.1. Algebraic Expressions,1,11,31,63
0,20,3885,Writing Whole Numbers in Words,4GM,4GM.2.1.3,2.1.3,2. The Number System,2.1. Place Value,2,14,47,3890
0,21,2320,Converting From Standard Form to Expanded Form,4GM,4GM.2.1.5,2.1.5,2. The Number System,2.1. Place Value,2,16,55,3890
0,22,2324,Comparing Whole Numbers,4GM,4GM.2.2.2,2.2.2,2. The Number System,2.2. Comparing Whole Numbers,2,13,42,3890
0,23,2439,Greatest Common Factors,4GM,4GM.4.1.7,4.1.7,4. Multiplication,"4.1. Factors, Products, and Multiples",2,12,44,3942
0,24,3949,Finding Remainders,4GM,4GM.5.1.3,5.1.3,5. Division,5.1. Dividing Whole Numbers,2,14,42,3877;3888;3953
0,25,2367,Improper Fractions,4GM,4GM.6.2.1,6.2.1,6. Fractions & Decimals,6.2. Improper Fractions and Mixed Numbers,2,14,45,2366;7003
0,26,2368,Finding Equivalent Fractions Using Area Models,4GM,4GM.6.3.1,6.3.1,6. Fractions & Decimals,6.3. Equivalent Fractions,2,14,45,2366;7003
0,27,2397,Evaluating Whole Number Expressions,5GM,5GM.1.1.1,1.1.1,1. The Number System,1.1. Whole Number Expressions,2,13,31,3923;3953
0,28,553,Equivalent Ratios,PAL,PAL.1.1.2,1.1.2,1. Ratios & Percentages,1.1. Ratios,2,12,23,534;3942
0,29,840,Prime and Composite Numbers,PAL,PAL.2.3.4,2.3.4,2. The Number System,2.3. Number Theory,2,14,20,3942
0,30,643,Identifying Terms in Linear Expressions,PAL,PAL.4.1.5,4.1.5,4. Algebraic Expressions,4.1. Algebraic Expressions,2,13,30,3721
0,31,3921,Equivalent Place Value Representations,4GM,4GM.2.1.7,2.1.7,2. The Number System,2.1. Place Value,3,15,54,2320
0,32,3919,Comparing Whole Numbers Using Place Value,4GM,4GM.2.2.3,2.2.3,2. The Number System,2.2. Comparing Whole Numbers,3,12,41,2324
0,33,3893,Models for Mixed Numbers,4GM,4GM.6.2.2,6.2.2,6. Fractions & Decimals,6.2. Improper Fractions and Mixed Numbers,3,13,43,2367
0,34,2363,Equivalent Fractions,4GM,4GM.6.3.2,6.3.2,6. Fractions & Decimals,6.3. Equivalent Fractions,3,13,44,2367;2368;3942
0,35,2398,Evaluating Whole Number Expressions With Parentheses,5GM,5GM.1.1.2,1.1.2,1. The Number System,1.1. Whole Number Expressions,3,12,30,2397
0,36,3941,More on Equivalent Place Value Representations,4GM,4GM.2.1.8,2.1.8,2. The Number System,2.1. Place Value,4,14,50,3921
0,37,3875,Adding Two-Digit Whole Numbers,4GM,4GM.3.1.1,3.1.1,3. Addition & Subtraction,3.1. Adding Whole Numbers,4,16,53,3921
0,38,7008,Modeling Mixed Numbers Using Number Lines,4GM,4GM.6.2.3,6.2.3,6. Fractions & Decimals,6.2. Improper Fractions and Mixed Numbers,4,13,42,3893
0,39,2364,Writing Fractions in Lowest Terms,4GM,4GM.6.3.4,6.3.4,6. Fractions & Decimals,6.3. Equivalent Fractions,4,12,43,2363;2439
