classification,category-sequence,union-sequence,topic-id,topic-name,course-code,topic-code,topic-number,unit,module,course-map-index,layer,prerequisite-for-target-ids,steps-to-targets,direct-prerequisite-ids,direct-included-prerequisite-ids,completed-at,equivalent-evidence-distance,equivalent-evidence-topic-ids,equivalent-evidence-topic-names
blocking,1,320,3739,Adding Rational Expressions With No Common Factors in the Denominator,AG2,AG2.5.1.4,5.1.4,5. Rational Expressions & Functions,5.1. Rational Expressions,105,34,1159,1159:6,138;437,138;437,,,,
blocking,2,363,1473,The Product Rule for Logarithms,AG2,AG2.4.2.1,4.2.1,4. Exponentials & Logarithms,4.2. The Laws of Logarithms,73,38,331;443;1159,331:4;443:5;1159:6,1599,1599,,,,
blocking,3,381,1474,The Quotient Rule for Logarithms,AG2,AG2.4.2.2,4.2.2,4. Exponentials & Logarithms,4.2. The Laws of Logarithms,74,39,331;443;1159,331:3;443:4;1159:5,1473,1473,,,,
blocking,4,382,1551,Solving Logarithmic Equations Containing the Natural Logarithm,AG2,AG2.4.4.2,4.4.2,4. Exponentials & Logarithms,4.4. Logarithmic Equations,84,39,1159,1159:6,226,226,,,,
blocking,5,393,30,Combining the Laws of Logarithms,AG2,AG2.4.2.4,4.2.4,4. Exponentials & Logarithms,4.2. The Laws of Logarithms,76,40,331;443;1159,331:2;443:3;1159:4,1474;1475,1474;1475,,,,
blocking,6,463,2038,Graphing the Square Root Function,AG2,AG2.6.2.1,6.2.1,6. Radical Expressions & Functions,6.2. Graphs of Radical Functions,116,45,1159,1159:12,754;1628;2048,754;1628;2048,,,,
blocking,7,465,1873,Limits at Infinity from Graphs,CA1,CA1.2.1.4,2.1.4,2. Limits,2.1. Estimating Limits from Graphs,10,45,1159,1159:10,461;2048,461;2048,,,,
blocking,8,472,728,Dividing Polynomials Using Synthetic Division,AG2,AG2.2.3.1,2.3.1,2. Polynomials,2.3. Dividing Polynomials,19,46,1159,1159:4,361;435,361;435,,,,
blocking,9,473,1653,Graphing Elementary Cubic Functions,AG2,AG2.2.6.1,2.6.1,2. Polynomials,2.6. Graphs of Polynomials,35,46,1159,1159:12,725;1150;1584;2048,725;1150;1584;2048,,,,
blocking,10,476,2033,Graphing Reciprocal Functions,AG2,AG2.5.2.1,5.2.1,5. Rational Expressions & Functions,5.2. Reciprocal Functions,108,46,1159,1159:8,2046;3728,2046;3728,,,,
blocking,11,477,1540,Graph Transformations of Square Root Functions,AG2,AG2.6.2.2,6.2.2,6. Radical Expressions & Functions,6.2. Graphs of Radical Functions,117,46,1159,1159:12,2038;2841,2038;2841,,,,
blocking,12,482,2883,Dividing Polynomials by Manipulating Rational Expressions,AG2,AG2.2.3.4,2.3.4,2. Polynomials,2.3. Dividing Polynomials,22,47,1159,1159:3,355;728,355;728,,,,
blocking,13,483,846,The Factor Theorem,AG2,AG2.2.5.1,2.5.1,2. Polynomials,2.5. Polynomial Theorems,27,47,1159,1159:16,469;728;4236,469;728;4236,,,,
blocking,14,486,2978,Plotting X as a Function of Y,AG2,AG2.3.1.8,3.1.8,3. Functions,3.1. Functions,48,47,1159,1159:7,661;756,661;756,,,,
blocking,15,488,3735,Graph Transformations of Reciprocal Functions,AG2,AG2.5.2.2,5.2.2,5. Rational Expressions & Functions,5.2. Reciprocal Functions,109,47,1159,1159:7,1584;2033,1584;2033,,,,
blocking,16,489,454,Graphing the Cube Root Function,AG2,AG2.6.2.3,6.2.3,6. Radical Expressions & Functions,6.2. Graphs of Radical Functions,118,47,1159,1159:11,1653;2038,1653;2038,,,,
blocking,17,490,1875,Properties of Transformed Square Root Functions,AG2,AG2.6.2.4,6.2.4,6. Radical Expressions & Functions,6.2. Graphs of Radical Functions,119,47,1159,1159:11,1540;3728;4034,1540;3728;4034,,,,
blocking,18,495,2119,Factoring Cubic Polynomials Using the Factor Theorem,AG2,AG2.2.5.3,2.5.3,2. Polynomials,2.5. Polynomial Theorems,29,48,1159,1159:15,394;425;728;846;1422,394;425;728;846;1422,,,,
blocking,19,496,627,Calculating the Inverse of a Function,AG2,AG2.3.1.6,3.1.6,3. Functions,3.1. Functions,46,48,1159,1159:6,354;1889,354;1889,,,,
blocking,20,499,455,Combining Graph Transformations of Reciprocal Functions,AG2,AG2.5.2.3,5.2.3,5. Rational Expressions & Functions,5.2. Reciprocal Functions,110,48,1159,1159:6,2841;3735,2841;3735,,,,
blocking,21,500,1600,The Domain of a Transformed Radical Function,AG2,AG2.6.2.5,6.2.5,6. Radical Expressions & Functions,6.2. Graphs of Radical Functions,120,48,1159,1159:10,454;1875,454;1875,,,,
blocking,22,501,3741,The Range of a Transformed Radical Function,AG2,AG2.6.2.6,6.2.6,6. Radical Expressions & Functions,6.2. Graphs of Radical Functions,121,48,1159,1159:10,454;1875,454;1875,,,,
blocking,23,506,88,Multiplicities of the Roots of Polynomials,AG2,AG2.2.5.5,2.5.5,2. Polynomials,2.5. Polynomial Theorems,31,49,1159,1159:14,428;2119,428;2119,,,,
blocking,24,507,1654,Graphing Cubic Curves Containing Three Distinct Real Roots,AG2,AG2.2.6.2,2.6.2,2. Polynomials,2.6. Graphs of Polynomials,36,49,1159,1159:14,661;1653;2119,661;1653;2119,,,,
blocking,25,513,1815,Vertical Asymptotes of Rational Functions,CA1,CA1.2.4.8,2.4.8,2. Limits,2.4. Determining Limits Using Algebraic Manipulation,32,49,1159,1159:5,455;1676;3739,455;1676;3739,,,,
blocking,26,515,1656,Graphing Cubic Curves Containing a Double Root,AG2,AG2.2.6.3,2.6.3,2. Polynomials,2.6. Graphs of Polynomials,37,50,1159,1159:13,88;1654,88;1654,,,,
blocking,27,517,1610,Properties of Transformed Logarithmic Functions,AG2,AG2.4.6.3,4.6.3,4. Exponentials & Logarithms,4.6. Graphs of Logarithmic Functions,97,50,1159,1159:5,1551;1707;4034,1551;1707;4034,,,,
blocking,28,519,1377,Limits of Logarithmic Functions,CA1,CA1.2.3.4,2.3.4,2. Limits,2.3. Limits of Functions,19,50,1159,1159:9,1246;1707;1814;1873,1246;1707;1814;1873,,,,
blocking,29,520,1986,Limits of Radical Functions,CA1,CA1.2.3.5,2.3.5,2. Limits,2.3. Limits of Functions,20,50,1159,1159:9,37;1600;1873;3741,37;1600;1873;3741,,,,
blocking,30,522,2084,Graphing Cubic Curves Containing One Distinct Real Root,AG2,AG2.2.6.4,2.6.4,2. Polynomials,2.6. Graphs of Polynomials,38,51,1159,1159:12,1656,1656,,,,
blocking,31,525,1717,Limits of Exponential Functions,CA1,CA1.2.3.3,2.3.3,2. Limits,2.3. Limits of Functions,18,51,1159,1159:9,1246;1873;6351,1246;1873;6351,,,,
blocking,32,527,2050,End Behavior of Polynomials,AG2,AG2.2.6.5,2.6.5,2. Polynomials,2.6. Graphs of Polynomials,39,52,1159,1159:11,2084,2084,,,,
blocking,33,532,1263,Limits at Infinity of Polynomials,CA1,CA1.2.3.1,2.3.1,2. Limits,2.3. Limits of Functions,16,53,1159,1159:10,37;1873;2050,37;1873;2050,,,,
blocking,34,536,1905,Limits of Reciprocal Functions,CA1,CA1.2.3.2,2.3.2,2. Limits,2.3. Limits of Functions,17,54,1159,1159:9,1263;1814;2033,1263;1814;2033,,,,
blocking,35,543,3769,The Sum Rule for Indefinite Integrals,CA1,CA1.8.1.3,8.1.3,8. Integration,8.1. Indefinite Integrals,,55,334;331;443;1159,334:1;331:2;443:3;1159:3,43,43,,,,
blocking,36,548,206,Vertical Translations of Trigonometric Functions,AG2,AG2.9.3.1,9.3.1,9. Trigonometric Functions,9.3. Graph Transformations of Trigonometric Functions,164,56,1159,1159:7,1251;1491;1493;4034,1251;1491;1493;4034,,,,
