classification,category-sequence,union-sequence,topic-id,topic-name,course-code,topic-code,topic-number,unit,module,course-map-index,layer,prerequisite-for-target-ids,steps-to-targets,direct-prerequisite-ids,direct-included-prerequisite-ids,completed-at,equivalent-evidence-kinds,equivalent-evidence-distance,equivalent-evidence-topic-ids,equivalent-evidence-topic-names
complete,1,270,355,Splitting Rational Expressions Into Separate Terms,AG2,AG2.5.1.2,5.1.2,5. Rational Expressions & Functions,5.1. Rational Expressions,103,29,1159,1159:4,1297,1297,2025-06-15 15:42,,,,
complete,2,310,437,Adding and Subtracting Rational Expressions,AG2,AG2.5.1.3,5.1.3,5. Rational Expressions & Functions,5.1. Rational Expressions,104,33,1159,1159:7,134;423,134;423,2025-02-27 12:54,,,,
complete,3,340,726,The Common Logarithm,AG2,AG2.4.1.5,4.1.5,4. Exponentials & Logarithms,4.1. Introduction to Logarithms,71,36,331;443;1159,331:5;443:6;1159:7,378;2234,378;2234,2025-02-27 13:27,,,,
complete,4,353,336,The Average Rate of Change of a Function,CA1,CA1.4.1.1,4.1.1,4. Introduction to Differentiation,4.1. Introduction to Differentiation,,37,334;331;443;1159,334:8;331:9;443:10;1159:9,396;470,396;470,2025-03-03 13:23,,,,
complete,5,365,226,Solving Logarithmic Equations,AG2,AG2.4.4.1,4.4.1,4. Exponentials & Logarithms,4.4. Logarithmic Equations,83,38,1159,1159:7,66;1599,66;1599,2026-07-15 14:22,,,,
complete,6,372,361,Multiplying Polynomials,AG1,AG1.9.1.8,9.1.8,9. Polynomials,9.1. Polynomials,152,39,1159,1159:5,371,371,2025-07-29 12:16,,,,
complete,7,382,1551,Solving Logarithmic Equations Containing the Natural Logarithm,AG2,AG2.4.4.2,4.4.2,4. Exponentials & Logarithms,4.4. Logarithmic Equations,84,39,1159,1159:6,226,226,2026-08-08 14:09,,,,
complete,8,437,2148,Periodic Functions,AG2,AG2.3.1.9,3.1.9,3. Functions,3.1. Functions,49,43,1159,1159:7,165,165,2025-07-29 12:18,,,,
complete,9,457,425,The Discriminant of a Quadratic Equation,AG1,AG1.10.1.15,10.1.15,10. Quadratic Equations & Functions,10.1. Quadratic Equations,179,45,1159,1159:9,422;2558,422;2558,2025-11-04 13:24,,,,
complete,10,458,84,Graphs of General Quadratic Functions,AG1,AG1.10.2.3,10.2.3,10. Quadratic Equations & Functions,10.2. Quadratic Functions,186,45,1159,1159:8,117;2022,117;2022,2025-06-12 17:56,,,,
complete,11,471,410,Solving Systems of Nonlinear Equations,AG1,AG1.10.2.11,10.2.11,10. Quadratic Equations & Functions,10.2. Quadratic Functions,194,46,1159,1159:8,393;425;487;1422,393;425;487;1422,2026-04-10 12:47,,,,
complete,12,475,141,Finding Points on Transformed Curves,AG2,AG2.3.2.11,3.2.11,3. Functions,3.2. Graph Transformations of Functions,64,46,1159,1159:6,2707;2841,2707;2841,2026-04-02 20:09,,,,
complete,13,492,462,Determining Continuity from Graphs,CA1,CA1.3.1.1,3.1.1,3. Continuity,3.1. Continuity,40,47,1159,1159:8,1814,1814,2025-06-16 16:53,,,,
complete,14,498,1532,Graphing Logarithmic Functions,AG2,AG2.4.6.1,4.6.1,4. Exponentials & Logarithms,4.6. Graphs of Logarithmic Functions,95,48,1159,1159:7,726;818;1530;2022;2046;3734,726;818;1530;2022;2046;3734,2026-07-30 12:40,,,,
complete,15,502,167,Negative Angles in the Coordinate Plane,AG2,AG2.8.1.2,8.1.2,8. The Unit Circle,8.1. The Unit Circle,135,48,1159,1159:10,1848,1848,2025-06-14 18:51,,,,
complete,16,509,1707,Combining Graph Transformations of Logarithmic Functions,AG2,AG2.4.6.2,4.6.2,4. Exponentials & Logarithms,4.6. Graphs of Logarithmic Functions,96,49,1159,1159:6,1254;1532,1254;1532,2026-08-06 10:55,,,,
complete,17,510,261,Coterminal Angles,AG2,AG2.8.1.3,8.1.3,8. The Unit Circle,8.1. The Unit Circle,136,49,1159,1159:9,167,167,2025-07-07 12:05,,,,
complete,18,512,37,The Power and Root Rules for Limits,CA1,CA1.2.2.4,2.2.4,2. Limits,2.2. The Algebra of Limits,15,49,1159,1159:10,589;1246;2607,589;1246;2607,2025-06-12 16:39,,,,
complete,19,517,1610,Properties of Transformed Logarithmic Functions,AG2,AG2.4.6.3,4.6.3,4. Exponentials & Logarithms,4.6. Graphs of Logarithmic Functions,97,50,1159,1159:5,1551;1707;4034,1551;1707;4034,2026-08-08 15:46,,,,
complete,20,519,1377,Limits of Logarithmic Functions,CA1,CA1.2.3.4,2.3.4,2. Limits,2.3. Limits of Functions,19,50,1159,1159:9,1246;1707;1814;1873,1246;1707;1814;1873,2026-08-08 15:58,,,,
complete,21,520,1986,Limits of Radical Functions,CA1,CA1.2.3.5,2.3.5,2. Limits,2.3. Limits of Functions,20,50,1159,1159:9,37;1600;1873;3741,37;1600;1873;3741,2026-08-08 17:34,,,,
complete,22,524,269,Finding Trigonometric Ratios of Quadrantal Angles,AG2,AG2.8.2.1,8.2.1,8. The Unit Circle,8.2. Special Trigonometric Ratios,145,51,1159,1159:9,4037,4037,2025-06-14 19:00,,,,
complete,23,529,268,Finding Trigonometric Ratios of Special Angles Using the Unit Circle,AG2,AG2.8.2.3,8.2.3,8. The Unit Circle,8.2. Special Trigonometric Ratios,147,52,1159,1159:8,269;2271,269;2271,2026-03-03 14:23,,,,
complete,24,532,1263,Limits at Infinity of Polynomials,CA1,CA1.2.3.1,2.3.1,2. Limits,2.3. Limits of Functions,16,53,1159,1159:10,37;1873;2050,37;1873;2050,2026-08-08 15:03,,,,
complete,25,534,308,The Antiderivative,CA1,CA1.8.1.1,8.1.1,8. Integration,8.1. Indefinite Integrals,,53,334;331;443;1159,334:3;331:4;443:5;1159:4,35,35,2026-07-24 20:54,,,,
complete,26,536,1905,Limits of Reciprocal Functions,CA1,CA1.2.3.2,2.3.2,2. Limits,2.3. Limits of Functions,17,54,1159,1159:9,1263;1814;2033,1263;1814;2033,2026-08-08 16:53,,,,
complete,27,537,43,The Constant Multiple Rule for Indefinite Integrals,CA1,CA1.8.1.2,8.1.2,8. Integration,8.1. Indefinite Integrals,,54,334;331;443;1159,334:2;331:3;443:4;1159:4,278;308,278;308,2026-07-24 21:24,,,,
complete,28,543,3769,The Sum Rule for Indefinite Integrals,CA1,CA1.8.1.3,8.1.3,8. Integration,8.1. Indefinite Integrals,,55,334;331;443;1159,334:1;331:2;443:3;1159:3,43,43,2026-08-22 15:17,,,,
complete,29,552,987,Calculating the Equation of a Normal Line Using Differentiation,CA1,CA1.4.1.10,4.1.10,4. Introduction to Differentiation,4.1. Introduction to Differentiation,62,56,1159,1159:6,986;3562;6341,986;3562;6341,2026-07-24 23:46,,,,
complete,30,553,1116,Differentiating Logarithmic Functions,CA1,CA1.4.2.2,4.2.2,4. Introduction to Differentiation,4.2. Derivatives of Functions and the Rules of Differentiation,64,56,331;443;1159,331:2;443:3;1159:4,1114,1114,2026-07-29 14:12,,,,
complete,31,555,1784,Calculating dy/dx Using dx/dy,CA1,CA1.5.2.3,5.2.3,5. Advanced Differentiation,5.2. Differentiating Implicit and Inverse Functions,84,56,1159,1159:6,986;2978;3739,986;2978;3739,2026-08-21 11:47,,,,
complete,32,563,1483,Graphing the Inverse Sine Function,PCL,PCL.4.1.1,4.1.1,4. Trigonometry,4.1. The Inverse Trigonometric Functions,56,57,1159,1159:5,1491;1889;3734,1491;1889;3734,2026-08-05 11:48,,,,
complete,33,564,1486,Graphing the Inverse Cosine Function,PCL,PCL.4.1.2,4.1.2,4. Trigonometry,4.1. The Inverse Trigonometric Functions,57,57,1159,1159:5,1491;1889;3734,1491;1889;3734,2026-08-06 11:14,,,,
complete,34,565,1487,Graphing the Inverse Tangent Function,PCL,PCL.4.1.3,4.1.3,4. Trigonometry,4.1. The Inverse Trigonometric Functions,58,57,1159,1159:5,1493;1889;3734,1493;1889;3734,2026-08-06 13:25,,,,
complete,35,566,1109,The Product Rule for Differentiation,CA1,CA1.4.2.7,4.2.7,4. Introduction to Differentiation,4.2. Derivatives of Functions and the Rules of Differentiation,69,57,1159,1159:6,280;1116,280;1116,2026-07-29 19:06,,,,
complete,36,567,1007,The Chain Rule With Exponential Functions,CA1,CA1.5.1.2,5.1.2,5. Advanced Differentiation,5.1. Differentiating Composite Functions,76,57,1159,1159:6,1108;1114,1108;1114,2026-07-29 09:16,,,,
complete,37,568,1036,The Chain Rule With Logarithmic Functions,CA1,CA1.5.1.3,5.1.3,5. Advanced Differentiation,5.1. Differentiating Composite Functions,77,57,1159,1159:6,1108;1116,1108;1116,2026-07-29 20:27,,,,
complete,38,574,1110,The Quotient Rule for Differentiation,CA1,CA1.4.2.8,4.2.8,4. Introduction to Differentiation,4.2. Derivatives of Functions and the Rules of Differentiation,70,58,1159,1159:5,1109,1109,2026-07-29 20:01,,,,
complete,39,577,2062,Properties of Transformed Sine and Cosine Functions,AG2,AG2.9.4.1,9.4.1,9. Trigonometric Functions,9.4. Properties of Transformed Trigonometric Functions,174,59,1159,1159:7,259;388,259;388,2026-08-08 23:11,,,,
complete,40,578,1958,Limits of Reciprocal Trigonometric Functions,CA1,CA1.2.3.7,2.3.7,2. Limits,2.3. Limits of Functions,22,59,1159,1159:9,776;1719,776;1719,2026-08-21 16:03,,,,
complete,41,579,1686,Differentiating Reciprocal Trigonometric Functions,CA1,CA1.4.2.9,4.2.9,4. Introduction to Differentiation,4.2. Derivatives of Functions and the Rules of Differentiation,71,59,1159,1159:4,1110,1110,2026-08-05 14:41,,,,
complete,42,582,1262,Limits of Piecewise Functions,CA1,CA1.2.3.9,2.3.9,2. Limits,2.3. Limits of Functions,24,60,1159,1159:8,1377;1717;1905;1958;1986,1377;1717;1905;1958;1986,2026-08-08 22:55,,,,
complete,43,583,305,The Chain Rule With Trigonometric Functions,CA1,CA1.5.1.4,5.1.4,5. Advanced Differentiation,5.1. Differentiating Composite Functions,78,60,1159,1159:6,1108;1686,1108;1686,2026-08-05 15:39,,,,
complete,44,587,314,Defining Continuity at a Point,CA1,CA1.3.1.2,3.1.2,3. Continuity,3.1. Continuity,41,61,1159,1159:7,462;1262,462;1262,2026-08-09 13:02,,,,
complete,45,588,1115,Selecting Procedures for Calculating Derivatives,CA1,CA1.5.1.7,5.1.7,5. Advanced Differentiation,5.1. Differentiating Composite Functions,81,61,1159,1159:6,305;1007;1036,305;1007;1036,2026-08-06 13:03,,,,
