classification,category-sequence,union-sequence,topic-id,topic-name,course-code,topic-code,topic-number,unit,module,course-map-index,layer,prerequisite-for-target-ids,steps-to-targets,direct-prerequisite-ids,direct-included-prerequisite-ids,completed-at,equivalent-evidence-kinds,equivalent-evidence-distance,equivalent-evidence-topic-ids,equivalent-evidence-topic-names
equivalent,1,1,1378,"Points, Lines, Rays, and Segments",4GM,4GM.7.3.1,7.3.1,7. Measurement & Data,7.3. Geometry,130,0,1159,1159:10,,,,activity-history,3,485,Midpoints in the Coordinate Plane
equivalent,2,2,122,Products and Factors,4GM,4GM.4.1.1,4.1.1,4. Multiplication,"4.1. Factors, Products, and Multiples",,0,334;331;443;1159,334:14;331:11;443:12;1159:12,,,,activity-history;activity-history,5,161;1583,The Rules of Sum and Product;Solving Exponential Equations With Different Bases
equivalent,3,3,2312,Place Value With Numbers Up to Four Digits,4GM,4GM.2.1.1,2.1.1,2. The Number System,2.1. Place Value,,0,334;331;443;1159,334:15;331:12;443:13;1159:14,,,,activity-history;activity-history;activity-history,8,459;726;987,The Distance Formula;The Common Logarithm;Calculating the Equation of a Normal Line Using Differentiation
equivalent,4,4,2366,Fraction Models,4GM,4GM.6.1.1,6.1.1,6. Fractions & Decimals,6.1. Fractions,,0,334;331;443;1159,334:13;331:10;443:11;1159:12,,,,activity-history;activity-history;activity-history;activity-history,6,425;459;485;987,The Discriminant of a Quadratic Equation;The Distance Formula;Midpoints in the Coordinate Plane;Calculating the Equation of a Normal Line Using Differentiation
equivalent,5,5,3877,The Relationship Between Multiplication and Division,4GM,4GM.5.1.1,5.1.1,5. Division,5.1. Dividing Whole Numbers,,0,334;331;443;1159,334:14;331:10;443:11;1159:12,,,,activity-history,5,131,Compound Events in Probability From Experimental Data
equivalent,6,6,3888,Understanding Remainders Using Models,4GM,4GM.5.1.2,5.1.2,5. Division,5.1. Dividing Whole Numbers,,0,334;331;443;1159,334:14;331:11;443:12;1159:12,,,,activity-history,5,1583,Solving Exponential Equations With Different Bases
equivalent,7,7,3923,Evaluating Expressions Containing Multiplication and Division,4GM,4GM.1.1.2,1.1.2,1. Operations & Algebraic Thinking,1.1. Operations on Numbers,,0,334;331;443;1159,334:13;331:11;443:12;1159:12,,,,activity-history,4,161,The Rules of Sum and Product
equivalent,8,8,2410,Describing the Coordinate Plane,5GM,5GM.8.2.1,8.2.1,8. Measurement & Data,8.2. Coordinates,,0,334;331;443;1159,334:12;331:11;443:12;1159:13,,,,activity-history,2,485,Midpoints in the Coordinate Plane
equivalent,9,9,2470,Polygons,5GM,5GM.9.2.1,9.2.1,9. Geometry,9.2. 2D Shapes,,0,334;331;443;1159,334:14;331:14;443:15;1159:12,,,,activity-history,5,1753,Volumes of Rectangular Solids
equivalent,10,10,2314,Introduction to Exponents,6GM,6GM.5.4.1,5.4.1,5. The Number System- Rational Numbers,5.4. Exponents,,0,334;331;443;1159,334:14;331:8;443:9;1159:10,,,,activity-history,3,1753,Volumes of Rectangular Solids
equivalent,11,11,63,Introduction to Algebraic Expressions,PAL,PAL.4.1.1,4.1.1,4. Algebraic Expressions,4.1. Algebraic Expressions,,0,334;331;443;1159,334:12;331:9;443:10;1159:10,,,,activity-history;activity-history,2,131;485,Compound Events in Probability From Experimental Data;Midpoints in the Coordinate Plane
equivalent,12,12,2172,Angles and Measures of Angles,4GM,4GM.7.3.2,7.3.2,7. Measurement & Data,7.3. Geometry,131,1,1159,1159:11,1378,1378,,activity-history,4,167,Negative Angles in the Coordinate Plane
equivalent,13,13,2390,"Dividends, Divisors, Quotients, and Remainders",4GM,4GM.5.1.4,5.1.4,5. Division,5.1. Dividing Whole Numbers,,1,334;331;443;1159,334:14;331:10;443:11;1159:12,3888,3888,,activity-history,5,131,Compound Events in Probability From Experimental Data
equivalent,14,14,3874,Interpreting Multiplication Equations as a Comparison,4GM,4GM.1.2.1,1.2.1,1. Operations & Algebraic Thinking,1.2. Thinking Algebraically,,1,334;331;443;1159,334:15;331:15;443:16;1159:16,122,122,,activity-history,7,459,The Distance Formula
equivalent,15,15,3890,Place Value With Numbers Up to Seven Digits,4GM,4GM.2.1.2,2.1.2,2. The Number System,2.1. Place Value,,1,334;331;443;1159,334:14;331:11;443:12;1159:13,2312,2312,,activity-history;activity-history;activity-history,7,459;726;987,The Distance Formula;The Common Logarithm;Calculating the Equation of a Normal Line Using Differentiation
equivalent,16,16,3942,The Factors of a Number,4GM,4GM.4.1.2,4.1.2,4. Multiplication,"4.1. Factors, Products, and Multiples",,1,334;331;443;1159,334:13;331:10;443:11;1159:11,122;3888,122;3888,,activity-history,4,1583,Solving Exponential Equations With Different Bases
equivalent,17,17,3953,Evaluating Expressions Involving Addition and Multiplication,4GM,4GM.1.1.1,1.1.1,1. Operations & Algebraic Thinking,1.1. Operations on Numbers,,1,334;331;443;1159,334:14;331:11;443:12;1159:12,122,122,,activity-history,4,161,The Rules of Sum and Product
equivalent,18,18,7003,Modeling Fractions Using Number Lines,4GM,4GM.6.1.2,6.1.2,6. Fractions & Decimals,6.1. Fractions,,1,334;331;443;1159,334:14;331:10;443:11;1159:12,2366,2366,,activity-history;activity-history;activity-history;activity-history,6,425;459;485;987,The Discriminant of a Quadratic Equation;The Distance Formula;Midpoints in the Coordinate Plane;Calculating the Equation of a Normal Line Using Differentiation
equivalent,19,19,2407,Quadrilaterals,5GM,5GM.9.2.2,9.2.2,9. Geometry,9.2. 2D Shapes,130,1,1159,1159:11,2470,2470,,activity-history,4,1753,Volumes of Rectangular Solids
equivalent,20,20,529,Dividing Whole Numbers by Unit Fractions Using Models,5GM,5GM.4.2.2,4.2.2,4. Multiplying & Dividing Fractions,4.2. Dividing Fractions,,1,334;331;443;1159,334:12;331:13;443:14;1159:13,2366,2366,,queue-checkmark,6,1589,Distance-Time Graphs
equivalent,21,21,1500,Collinear Points,PAL,PAL.6.1.7,6.1.7,6. Geometry,6.1. Introduction to Geometry,143,1,1159,1159:16,1378,1378,,activity-history,6,167,Negative Angles in the Coordinate Plane
equivalent,22,22,1317,Polygons,PAL,PAL.6.5.1,6.5.1,6. Geometry,6.5. Polygons,170,1,1159,1159:12,1378,1378,,activity-history;activity-history,5,167;269,Negative Angles in the Coordinate Plane;Finding Trigonometric Ratios of Quadrantal Angles
equivalent,23,23,534,Introduction to Ratios,PAL,PAL.1.1.1,1.1.1,1. Ratios & Percentages,1.1. Ratios,,1,334;331;443;1159,334:13;331:13;443:14;1159:14,2470,2470,,activity-history,5,336,The Average Rate of Change of a Function
equivalent,24,24,3721,Constructing Algebraic Expressions,PAL,PAL.4.1.2,4.1.2,4. Algebraic Expressions,4.1. Algebraic Expressions,,1,334;331;443;1159,334:11;331:8;443:9;1159:9,63,63,,activity-history;activity-history,3,336;1583,The Average Rate of Change of a Function;Solving Exponential Equations With Different Bases
equivalent,25,25,3902,Representing Comparison Statements as Equations,4GM,4GM.1.2.2,1.2.2,1. Operations & Algebraic Thinking,1.2. Thinking Algebraically,6,2,1159,1159:16,3874,3874,,activity-history,6,459,The Distance Formula
equivalent,26,26,2320,Converting From Standard Form to Expanded Form,4GM,4GM.2.1.5,2.1.5,2. The Number System,2.1. Place Value,,2,334;331;443;1159,334:16;331:14;443:15;1159:15,3890,3890,,activity-history;activity-history;activity-history;activity-history;queue-checkmark;activity-history,9,73;131;167;459;1589;1753,Fibonacci Sequences;Compound Events in Probability From Experimental Data;Negative Angles in the Coordinate Plane;The Distance Formula;Distance-Time Graphs;Volumes of Rectangular Solids
equivalent,27,27,2324,Comparing Whole Numbers,4GM,4GM.2.2.2,2.2.2,2. The Number System,2.2. Comparing Whole Numbers,,2,334;331;443;1159,334:13;331:10;443:11;1159:12,3890,3890,,activity-history,6,726,The Common Logarithm
equivalent,28,28,2367,Improper Fractions,4GM,4GM.6.2.1,6.2.1,6. Fractions & Decimals,6.2. Improper Fractions and Mixed Numbers,,2,334;331;443;1159,334:14;331:9;443:10;1159:11,2366;7003,2366;7003,,activity-history;activity-history,5,425;485,The Discriminant of a Quadratic Equation;Midpoints in the Coordinate Plane
equivalent,29,29,2368,Finding Equivalent Fractions Using Area Models,4GM,4GM.6.3.1,6.3.1,6. Fractions & Decimals,6.3. Equivalent Fractions,,2,334;331;443;1159,334:14;331:12;443:13;1159:13,2366;7003,2366;7003,,activity-history,6,336,The Average Rate of Change of a Function
