role,layer,course,topic-id,topic-number,topic-name,md-path,src-path
lesson,37,MF3,207,5.3.2,Simplifying Expressions Using the Pythagorean Identity,vault/MA/Mathematical-Foundations/MF3/5. Trigonometry/5.3. Trigonometric Identities/Lessons/5.3.2. Simplifying Expressions Using the Pythagorean Identity.md,vault/MA/Mathematical-Foundations/MF3/5. Trigonometry/5.3. Trigonometric Identities/Source/5.3.2. Simplifying Expressions Using the Pythagorean Identity
lesson,40,MF2,308,12.4.1,The Antiderivative,vault/MA/Mathematical-Foundations/MF2/12. Introduction to Calculus/12.4. Indefinite Integrals/Lessons/12.4.1. The Antiderivative.md,vault/MA/Mathematical-Foundations/MF2/12. Introduction to Calculus/12.4. Indefinite Integrals/Source/12.4.1. The Antiderivative
lesson,42,MF2,3769,12.4.3,The Sum Rule for Indefinite Integrals,vault/MA/Mathematical-Foundations/MF2/12. Introduction to Calculus/12.4. Indefinite Integrals/Lessons/12.4.3. The Sum Rule for Indefinite Integrals.md,vault/MA/Mathematical-Foundations/MF2/12. Introduction to Calculus/12.4. Indefinite Integrals/Source/12.4.3. The Sum Rule for Indefinite Integrals
lesson,43,MF2,1361,12.4.4,Integrating the Reciprocal Function,vault/MA/Mathematical-Foundations/MF2/12. Introduction to Calculus/12.4. Indefinite Integrals/Lessons/12.4.4. Integrating the Reciprocal Function.md,vault/MA/Mathematical-Foundations/MF2/12. Introduction to Calculus/12.4. Indefinite Integrals/Source/12.4.4. Integrating the Reciprocal Function
lesson,59,CA2,443,1.1.3,Integration Using Substitution,vault/MA/Single-Variable-Calculus/CA2/1. Integration Techniques/1.1. Integration Using Substitution/Lessons/1.1.3. Integration Using Substitution.md,vault/MA/Single-Variable-Calculus/CA2/1. Integration Techniques/1.1. Integration Using Substitution/Source/1.1.3. Integration Using Substitution
lesson,68,CA2,1159,1.1.4,Calculating Definite Integrals Using Substitution,vault/MA/Single-Variable-Calculus/CA2/1. Integration Techniques/1.1. Integration Using Substitution/Lessons/1.1.4. Calculating Definite Integrals Using Substitution.md,vault/MA/Single-Variable-Calculus/CA2/1. Integration Techniques/1.1. Integration Using Substitution/Source/1.1.4. Calculating Definite Integrals Using Substitution
lesson,69,CA2,316,1.1.5,Further Integration of Algebraic Functions Using Substitution,vault/MA/Single-Variable-Calculus/CA2/1. Integration Techniques/1.1. Integration Using Substitution/Lessons/1.1.5. Further Integration of Algebraic Functions Using Substitution.md,vault/MA/Single-Variable-Calculus/CA2/1. Integration Techniques/1.1. Integration Using Substitution/Source/1.1.5. Further Integration of Algebraic Functions Using Substitution
lesson,69,CA2,478,1.1.8,Integrating Trigonometric Functions Using Substitution,vault/MA/Single-Variable-Calculus/CA2/1. Integration Techniques/1.1. Integration Using Substitution/Lessons/1.1.8. Integrating Trigonometric Functions Using Substitution.md,vault/MA/Single-Variable-Calculus/CA2/1. Integration Techniques/1.1. Integration Using Substitution/Source/1.1.8. Integrating Trigonometric Functions Using Substitution
lesson,72,CA2,335,2.5.3,Calculating the Position Function of a Particle Using Integration,"vault/MA/Single-Variable-Calculus/CA2/2. Applications of Integration/2.5. Connecting Position, Velocity and Acceleration Using Integrals/Lessons/2.5.3. Calculating the Position Function of a Particle Using Integration.md","vault/MA/Single-Variable-Calculus/CA2/2. Applications of Integration/2.5. Connecting Position, Velocity and Acceleration Using Integrals/Source/2.5.3. Calculating the Position Function of a Particle Using Integration"
lesson,73,CA2,3576,2.5.4,Calculating the Displacement of a Particle Using Integration,"vault/MA/Single-Variable-Calculus/CA2/2. Applications of Integration/2.5. Connecting Position, Velocity and Acceleration Using Integrals/Lessons/2.5.4. Calculating the Displacement of a Particle Using Integration.md","vault/MA/Single-Variable-Calculus/CA2/2. Applications of Integration/2.5. Connecting Position, Velocity and Acceleration Using Integrals/Source/2.5.4. Calculating the Displacement of a Particle Using Integration"
lesson,74,CA2,636,2.5.5,Calculating the Total Distance Traveled by a Particle,"vault/MA/Single-Variable-Calculus/CA2/2. Applications of Integration/2.5. Connecting Position, Velocity and Acceleration Using Integrals/Lessons/2.5.5. Calculating the Total Distance Traveled by a Particle.md","vault/MA/Single-Variable-Calculus/CA2/2. Applications of Integration/2.5. Connecting Position, Velocity and Acceleration Using Integrals/Source/2.5.5. Calculating the Total Distance Traveled by a Particle"
prerequisite,32,MF2,30,5.2.4,Combining the Laws of Logarithms,vault/MA/Mathematical-Foundations/MF2/5. Exponentials & Logarithms/5.2. The Laws of Logarithms/Lessons/5.2.4. Combining the Laws of Logarithms.md,vault/MA/Mathematical-Foundations/MF2/5. Exponentials & Logarithms/5.2. The Laws of Logarithms/Source/5.2.4. Combining the Laws of Logarithms
prerequisite,32,MF2,1453,9.3.10,Using the Pythagorean Identity in the First Quadrant,vault/MA/Mathematical-Foundations/MF2/9. Trigonometry/9.3. The Unit Circle/Lessons/9.3.10. Using the Pythagorean Identity in the First Quadrant.md,vault/MA/Mathematical-Foundations/MF2/9. Trigonometry/9.3. The Unit Circle/Source/9.3.10. Using the Pythagorean Identity in the First Quadrant
prerequisite,33,MF1,1590,6.2.6,Calculating Distance From a Speed-Time Graph,vault/MA/Mathematical-Foundations/MF1/6. Two-Variable Equations/6.2. Modeling With Two-Variable Linear Equations/Lessons/6.2.6. Calculating Distance From a Speed-Time Graph.md,vault/MA/Mathematical-Foundations/MF1/6. Two-Variable Equations/6.2. Modeling With Two-Variable Linear Equations/Source/6.2.6. Calculating Distance From a Speed-Time Graph
prerequisite,35,MF2,35,12.1.5,The Power Rule for Differentiation,vault/MA/Mathematical-Foundations/MF2/12. Introduction to Calculus/12.1. Introduction to Differentiation/Lessons/12.1.5. The Power Rule for Differentiation.md,vault/MA/Mathematical-Foundations/MF2/12. Introduction to Calculus/12.1. Introduction to Differentiation/Source/12.1.5. The Power Rule for Differentiation
prerequisite,36,MF3,203,5.3.1,Simplifying Expressions Using Basic Trigonometric Identities,vault/MA/Mathematical-Foundations/MF3/5. Trigonometry/5.3. Trigonometric Identities/Lessons/5.3.1. Simplifying Expressions Using Basic Trigonometric Identities.md,vault/MA/Mathematical-Foundations/MF3/5. Trigonometry/5.3. Trigonometric Identities/Source/5.3.1. Simplifying Expressions Using Basic Trigonometric Identities
prerequisite,39,MF2,1116,12.2.2,Differentiating Logarithmic Functions,vault/MA/Mathematical-Foundations/MF2/12. Introduction to Calculus/12.2. Derivatives of Functions and the Rules of Differentiation/Lessons/12.2.2. Differentiating Logarithmic Functions.md,vault/MA/Mathematical-Foundations/MF2/12. Introduction to Calculus/12.2. Derivatives of Functions and the Rules of Differentiation/Source/12.2.2. Differentiating Logarithmic Functions
prerequisite,41,MF2,43,12.4.2,The Constant Multiple Rule for Indefinite Integrals,vault/MA/Mathematical-Foundations/MF2/12. Introduction to Calculus/12.4. Indefinite Integrals/Lessons/12.4.2. The Constant Multiple Rule for Indefinite Integrals.md,vault/MA/Mathematical-Foundations/MF2/12. Introduction to Calculus/12.4. Indefinite Integrals/Source/12.4.2. The Constant Multiple Rule for Indefinite Integrals
prerequisite,44,MF3,331,10.1.2,Integrating Linear Rational Functions Using Substitution,vault/MA/Mathematical-Foundations/MF3/10. Integration Techniques/10.1. Integration Using Substitution/Lessons/10.1.2. Integrating Linear Rational Functions Using Substitution.md,vault/MA/Mathematical-Foundations/MF3/10. Integration Techniques/10.1. Integration Using Substitution/Source/10.1.2. Integrating Linear Rational Functions Using Substitution
prerequisite,49,MF3,1685,9.2.4,The Sum and Constant Multiple Rules for Definite Integrals,vault/MA/Mathematical-Foundations/MF3/9. Definite Integrals/9.2. Definite Integrals/Lessons/9.2.4. The Sum and Constant Multiple Rules for Definite Integrals.md,vault/MA/Mathematical-Foundations/MF3/9. Definite Integrals/9.2. Definite Integrals/Source/9.2.4. The Sum and Constant Multiple Rules for Definite Integrals
prerequisite,51,MF3,1432,9.3.4,Finding the Area Between a Curve and the X-Axis When They Intersect,vault/MA/Mathematical-Foundations/MF3/9. Definite Integrals/9.3. The Area Under a Curve/Lessons/9.3.4. Finding the Area Between a Curve and the X-Axis When They Intersect.md,vault/MA/Mathematical-Foundations/MF3/9. Definite Integrals/9.3. The Area Under a Curve/Source/9.3.4. Finding the Area Between a Curve and the X-Axis When They Intersect
prerequisite,52,MF3,333,9.4.1,The Integral as an Accumulation Function,vault/MA/Mathematical-Foundations/MF3/9. Definite Integrals/9.4. Accumulation Functions/Lessons/9.4.1. The Integral as an Accumulation Function.md,vault/MA/Mathematical-Foundations/MF3/9. Definite Integrals/9.4. Accumulation Functions/Source/9.4.1. The Integral as an Accumulation Function
