completed-at,date,time,activity-type,xp-earned,xp-possible,course,course-code,topic-id,topic-name,status
2026-08-22 15:17,2026-08-22,15:17,Lesson,15,12,Calculus I,CA1,3769,The Sum Rule for Indefinite Integrals,Completed
2026-08-22 15:04,2026-08-22,15:04,Lesson,18,14,Calculus I,CA1,1042,Left and Right Riemann Sums in Sigma Notation,Completed
2026-08-22 14:47,2026-08-22,14:47,Review,4,4,Calculus I,CA1,296,Interpreting the Meaning of the Derivative in Context,Completed
2026-08-22 14:41,2026-08-22,14:41,Assessment,15,15,,,,Quiz 1,Completed
2026-08-22 14:28,2026-08-22,14:28,Lesson,12,12,Calculus I,CA1,604,Calculating Limits of Radical Functions Using Conjugate Multiplication,Completed
2026-08-22 13:59,2026-08-22,13:59,Lesson,18,14,Calculus I,CA1,620,Rates of Change in Applied Contexts,Completed
2026-08-21 16:03,2026-08-21,16:03,Review,2,4,Calculus I,CA1,1958,Limits of Reciprocal Trigonometric Functions,Completed
2026-08-21 15:51,2026-08-21,15:51,Multistep,14,11,,,,Stock and Commodity Prices With Piecewise-Continuous Functions,Completed
2026-08-21 15:30,2026-08-21,15:30,Review,6,4,Calculus I,CA1,1036,The Chain Rule With Logarithmic Functions,Completed
2026-08-21 12:19,2026-08-21,12:19,Lesson,-1,14,Calculus I,CA1,1042,Left and Right Riemann Sums in Sigma Notation,Completed
2026-08-21 11:47,2026-08-21,11:47,Lesson,19,15,Calculus I,CA1,1784,Calculating dy/dx Using dx/dy,Completed
2026-08-20 15:59,2026-08-20,15:59,Lesson,16,13,Calculus I,CA1,283,The Fundamental Theorem of Calculus,Completed
2026-08-20 14:39,2026-08-20,14:39,Lesson,22,22,Calculus I,CA1,57,Implicit Differentiation,Completed
2026-08-18 23:00,2026-08-18,23:00,Lesson,24,19,Calculus I,CA1,463,L'Hopital's Rule,Completed
2026-08-18 16:19,2026-08-18,16:19,Diagnostic,2,,,,,Calculus I: Placement Exam,Completed
2026-08-10 13:19,2026-08-10,13:19,Lesson,9,7,Calculus I,CA1,474,Left and Right Continuity,Completed
2026-08-10 13:05,2026-08-10,13:05,Assessment,16,13,,,,Quiz 3,Completed
2026-08-09 13:02,2026-08-09,13:02,Lesson,7,7,Calculus I,CA1,314,Defining Continuity at a Point,Completed
2026-08-08 23:11,2026-08-08,23:11,Lesson,9,7,Algebra II,AG2,2062,Properties of Transformed Sine and Cosine Functions,Completed
2026-08-08 22:55,2026-08-08,22:55,Lesson,16,13,Calculus I,CA1,1262,Limits of Piecewise Functions,Completed
2026-08-08 17:53,2026-08-08,17:53,Lesson,9,7,Algebra II,AG2,2049,Graphing General Polynomials,Completed
2026-08-08 17:34,2026-08-08,17:34,Lesson,9,7,Calculus I,CA1,1986,Limits of Radical Functions,Completed
2026-08-08 17:15,2026-08-08,17:15,Lesson,13,10,Calculus I,CA1,824,Calculating Acceleration for Straight-Line Motion Using Differentiation,Completed
2026-08-08 16:53,2026-08-08,16:53,Lesson,11,9,Calculus I,CA1,1905,Limits of Reciprocal Functions,Completed
2026-08-08 16:41,2026-08-08,16:41,Lesson,7,7,Calculus I,CA1,607,Evaluating Limits at Infinity by Comparing Relative Magnitudes of Functions,Completed
