topic,requires
36,984
36,3826
282,203
282,478
311,402
311,727
315,209
315,1159
316,1159
317,478
317,3770
331,334
331,1361
334,1108
334,3769
335,762
335,1590
338,728
338,1159
340,982
340,3771
395,1432
402,395
402,1041
413,1041
413,1144
414,402
414,413
415,414
415,1753
416,1140
424,305
424,416
424,1036
431,57
431,281
431,798
443,331
444,315
444,3824
445,1060
445,1159
446,445
446,1062
447,315
447,445
447,1063
466,1061
475,803
475,1277
478,1159
602,621
602,2976
636,1432
636,3576
648,826
648,3576
684,686
684,2857
684,3838
686,981
689,686
691,981
743,982
743,1089
743,3539
744,477
744,758
744,982
744,1281
744,1359
745,684
745,743
745,860
746,436
746,982
746,1089
746,1245
747,982
747,3539
747,3844
747,3861
748,746
748,747
748,750
749,982
749,1087
749,1417
749,3710
750,436
750,745
758,1159
759,315
759,478
759,3770
760,315
760,478
760,3770
762,478
762,824
762,3770
763,3581
763,3767
763,4139
798,803
798,1115
799,798
799,987
825,763
826,825
826,1085
826,3582
860,350
860,380
860,4052
876,237
876,1179
876,2023
876,2466
884,885
885,30
885,347
885,684
885,691
885,3826
886,885
886,1685
981,675
981,690
982,165
982,981
982,1088
983,982
983,3958
984,1172
997,760
997,798
997,1038
998,431
998,936
999,760
999,3854
1000,1038
1000,2173
1001,1274
1001,2833
1020,686
1020,691
1037,282
1037,1455
1037,3857
1038,271
1038,831
1038,1037
1043,317
1043,798
1043,1040
1060,708
1061,478
1061,1181
1061,3770
1062,487
1062,1060
1063,1060
1079,824
1079,1203
1080,3771
1080,6351
1082,414
1082,1677
1083,402
1083,1352
1083,2975
1084,3641
1085,478
1085,3770
1085,4139
1087,1903
1087,2271
1088,680
1088,2048
1089,1087
1089,3710
1096,371
1096,774
1096,1628
1096,2271
1096,4034
1112,312
1112,334
1112,1159
1140,317
1141,416
1159,443
1159,1685
1161,1159
1163,876
1172,744
1172,746
1172,747
1172,750
1173,744
1174,747
1176,982
1176,1060
1177,281
1177,621
1179,466
1181,305
1181,1007
1181,3215
1203,478
1203,1200
1222,3825
1245,607
1245,1087
1248,1083
1276,1083
1276,2885
1276,2886
1280,1083
1280,1183
1280,1745
1345,919
1345,921
1345,1000
1382,1040
1382,4004
1382,4005
1677,402
1677,413
1994,760
1994,1041
1994,1762
1995,997
1995,3632
2023,620
2023,2274
2023,3215
2023,3664
2512,613
2512,1360
2512,3770
2513,613
2513,626
2513,3770
2833,1345
2976,57
2976,339
2976,1046
2976,1181
3184,2976
3215,281
3219,1903
3219,3276
3219,3355
3220,1903
3220,3184
3220,3351
3220,3355
3224,270
3224,274
3224,282
3257,304
3257,478
3258,315
3258,3253
3259,3256
3259,3258
3260,304
3260,478
3260,1454
3260,1455
3261,1037
3261,3260
3262,1038
3262,3260
3263,444
3263,3258
3264,3259
3264,3263
3276,2976
3340,825
3340,826
3340,2722
3350,3219
3350,3220
3350,3352
3351,3276
3352,3351
3352,3684
3539,1245
3550,759
3551,1163
3551,3184
3560,984
3573,884
3576,333
3576,335
3582,339
3582,762
3582,3581
3584,752
3584,947
3584,998
3584,1471
3632,1994
3641,415
3668,602
3672,876
3673,3672
3674,1163
3770,1112
3771,1222
3825,1177
3825,3846
3826,340
3834,799
3834,998
3838,1088
3838,1417
3838,1495
3838,2982
3844,1096
3844,1359
3844,2982
3844,3355
3854,271
3854,831
3854,998
3858,684
3858,747
3858,860
3860,287
3860,365
3860,459
3860,2023
3861,323
3861,1096
3861,1428
3861,3710
3895,463
3895,3584
4004,758
4004,3770
4005,315
4005,758
4005,3811
4052,983
4139,281
4139,475
4139,798
4139,1721
