layer,topic-id,topic-code,topic-name,lesson-path,source-path
14,3953,4GM.1.1.1,Evaluating Expressions Involving Addition and Multiplication,,
13,3923,4GM.1.1.2,Evaluating Expressions Containing Multiplication and Division,,
25,3904,4GM.1.1.3,Solving Multistep Word Problems Using Number Operations,,
26,3978,4GM.1.1.4,Further Solving Multistep Word Problems Using the Four Operations,,
14,3874,4GM.1.2.1,Interpreting Multiplication Equations as a Comparison,,
23,3902,4GM.1.2.2,Representing Comparison Statements as Equations,,
24,3903,4GM.1.2.3,Word Problems Involving Additive and Multiplicative Comparison,,
25,2430,4GM.1.2.4,Generating Patterns,,
26,2431,4GM.1.2.5,Identifying Patterns,,
0,2312,4GM.2.1.1,Place Value With Numbers Up to Four Digits,,
1,3890,4GM.2.1.2,Place Value With Numbers Up to Seven Digits,,
10,3885,4GM.2.1.3,Writing Whole Numbers in Words,,
11,3899,4GM.2.1.4,Reading Whole Numbers Written in Words,,
2,2320,4GM.2.1.5,Converting From Standard Form to Expanded Form,,
4,2311,4GM.2.1.6,Converting From Expanded Form to Standard Form,,
3,3921,4GM.2.1.7,Equivalent Place Value Representations,,
7,3941,4GM.2.1.8,More on Equivalent Place Value Representations,,
8,3954,4GM.2.1.9,Equivalent Place Value Representations and Borrowing,,
15,2313,4GM.2.2.1,Comparing Place Values,,
15,2324,4GM.2.2.2,Comparing Whole Numbers,,
16,3919,4GM.2.2.3,Comparing Whole Numbers Using Place Value,,
17,3883,4GM.2.2.4,Rounding Down Whole Numbers,,
18,3884,4GM.2.2.5,Rounding Up Whole Numbers,,
19,3900,4GM.2.2.6,Rounding Up the Digit 9,,
4,3875,4GM.3.1.1,Adding Two-Digit Whole Numbers,,
5,3910,4GM.3.1.2,Adding Three-Digit and Two-Digit Numbers,,
6,3911,4GM.3.1.3,Adding Three-Digit Numbers,,
7,3912,4GM.3.1.4,Adding Numbers Up to Five Digits,,
8,3913,4GM.3.1.5,Adding Numbers Up to Seven Digits,,
9,3881,4GM.3.1.6,Adding Three Multi-Digit Numbers,,
20,3879,4GM.3.1.7,Estimating Multi-Digit Addition,,
12,3876,4GM.3.2.1,Subtracting Two-Digit Numbers,,
13,3906,4GM.3.2.2,Subtracting Two-Digit Numbers From Three-Digit Numbers,,
14,3907,4GM.3.2.3,Subtracting Three-Digit Numbers,,
15,3908,4GM.3.2.4,Subtracting Numbers Up to Five Digits,,
19,3909,4GM.3.2.5,Subtracting Numbers Up to Seven Digits,,
20,3880,4GM.3.2.6,Estimating Multi-Digit Subtraction,,
8,122,4GM.4.1.1,Products and Factors,,
9,3942,4GM.4.1.2,The Factors of a Number,,
27,840,4GM.4.1.3,Prime and Composite Numbers,,
10,2206,4GM.4.1.4,The Multiples of a Number,,
13,2440,4GM.4.1.5,Least Common Multiples,,
11,3935,4GM.4.1.6,Connecting Factors and Multiples,,
13,2439,4GM.4.1.7,Greatest Common Factors,,
8,3587,4GM.4.2.1,"Multiplying by 10, 100, and 1,000 Using Place Value",,
9,2338,4GM.4.2.2,"Multiplying by 10, 100, and 1,000 Using the Pattern of Zeros",,
10,3924,4GM.4.2.3,Rewriting Numbers Ending in Zeros,,
10,488,4GM.4.2.4,Multiplying Whole Numbers Ending in Zeros,,
11,3878,4GM.4.2.5,Multiplying Numbers Using Repeated Addition,,
16,3933,4GM.4.2.6,Multiplying Numbers Using Repeated Subtraction,,
20,2287,4GM.4.2.7,Estimating Multi-Digit Multiplication,,
11,2415,4GM.4.3.1,Two-Digit by One-Digit Multiplication Using Area Models,,
12,2393,4GM.4.3.2,Multi-Digit by One-Digit Multiplication Using Area Models,,
12,2416,4GM.4.3.3,Two-Digit by One-Digit Multiplication Using Place Value,,
13,2417,4GM.4.3.4,Multi-Digit by One-Digit Multiplication Using Place Value,,
17,2418,4GM.4.3.5,Two-Digit by Two-Digit Multiplication Using Area Models,,
18,2394,4GM.4.3.6,Two-Digit by Two-Digit Multiplication Using Place Value,,
14,3877,4GM.5.1.1,The Relationship Between Multiplication and Division,,
8,3888,4GM.5.1.2,Understanding Remainders Using Models,,
15,3949,4GM.5.1.3,Finding Remainders,,
15,2390,4GM.5.1.4,"Dividends, Divisors, Quotients, and Remainders",,
16,3952,4GM.5.1.5,Division With Remainders,,
17,2391,4GM.5.1.6,Interpreting Remainders in Context,,
19,3882,4GM.5.1.7,"Dividing by 10, 100, and 1,000 Using the Pattern of Zeros",,
17,2422,4GM.5.1.8,Dividing by One-Digit Numbers by Connecting Multiplication and Division,,
14,3886,4GM.5.1.9,Dividing Numbers Using Place-Value Strategies,,
24,3813,4GM.5.1.10,Estimating Multi-Digit Division,,
18,2423,4GM.5.2.1,Two-Digit by One-Digit Division Using Area Models,,
19,2426,4GM.5.2.2,Multi-Digit by One-Digit Division Using Area Models,,
20,3920,4GM.5.2.3,More Multi-Digit by One-Digit Division Using Area Models,,
19,2424,4GM.5.2.4,Two-Digit by One-Digit Division Using Partial Quotients,,
20,3925,4GM.5.2.5,Two-Digit by One-Digit Division With Remainders Using Partial Quotients,,
21,2425,4GM.5.2.6,Multi-Digit by One-Digit Division Using Partial Quotients,,
9,2366,4GM.6.1.1,Fraction Models,,
10,7003,4GM.6.1.2,Modeling Fractions Using Number Lines,,
11,3951,4GM.6.1.3,Writing Unit Fractions in Words,,
12,3959,4GM.6.1.4,Writing Fractions in Words,,
16,2409,4GM.6.1.5,Interpreting Fractions as Division,,
11,2367,4GM.6.2.1,Improper Fractions,,
14,3893,4GM.6.2.2,Models for Mixed Numbers,,
15,7008,4GM.6.2.3,Modeling Mixed Numbers Using Number Lines,,
17,3898,4GM.6.2.4,Interpreting Division Problems as Mixed Numbers,,
18,2359,4GM.6.2.5,Converting Improper Fractions to Mixed Numbers,,
21,3901,4GM.6.2.6,Converting Mixed Numbers to Improper Fractions,,
11,2368,4GM.6.3.1,Finding Equivalent Fractions Using Area Models,,
12,2363,4GM.6.3.2,Equivalent Fractions,,
14,2365,4GM.6.3.3,Least Common Denominators,,
14,2364,4GM.6.3.4,Writing Fractions in Lowest Terms,,
20,538,4GM.6.4.1,Comparing Fractions,,
21,3937,4GM.6.4.2,Comparing Fractions Using Unit Benchmarks,,
21,3936,4GM.6.4.3,Comparing Fractions Using One-Half Benchmarks,,
21,2376,4GM.6.4.4,Comparing Fraction Models Using Common Denominators,,
23,4204,4GM.6.4.5,Comparing Fractions Using Common Denominators,,
18,2370,4GM.6.5.1,Adding Fractions With Like Denominators Using Models,,
19,2351,4GM.6.5.2,Adding Fractions With Like Denominators,,
20,3934,4GM.6.5.3,Subtracting Fractions With Like Denominators,,
25,3947,4GM.6.5.4,Adding Fractions With Like Denominators: Word Problems,,
26,4231,4GM.6.5.5,Subtracting Fractions With Like Denominators: Word Problems,,
21,3889,4GM.6.5.6,Decomposing Fractions Into Sums Using Models,,
22,3955,4GM.6.5.7,Decomposing Fractions Into Sums,,
20,2352,4GM.6.6.1,Adding Mixed Numbers With Like Denominators,,
21,235,4GM.6.6.2,Subtracting Mixed Numbers With Like Denominators,,
22,2362,4GM.6.6.3,Subtracting Mixed Numbers With Like Denominators Using Improper Fractions,,
25,3948,4GM.6.6.4,Adding Mixed Numbers With Like Denominators: Word Problems,,
26,4219,4GM.6.6.5,Subtracting Mixed Numbers With Like Denominators: Word Problems,,
19,564,4GM.6.7.1,Multiplying Unit Fractions by Whole Numbers Using Models,,
20,3968,4GM.6.7.2,Multiplying Fractions by Whole Numbers Using Models,,
22,2360,4GM.6.7.3,Multiplying Fractions by Whole Numbers,,
24,566,4GM.6.7.4,Multiplying Fractions by Whole Numbers: Word Problems,,
