course-code,course-id,course-name
4GM,75,4th Grade Math
5GM,30,5th Grade Math
PAL,99,Prealgebra
AG1,44,Algebra I
GEO,126,Geometry
AG2,51,Algebra II
IM1,132,Integrated Math I
IM2,133,Integrated Math II
IM3,134,Integrated Math III
PCL,43,Precalculus
HI1,127,Integrated Math I (Honors)
HI2,128,Integrated Math II (Honors)
HI3,101,Integrated Math III (Honors)
CAB,24,AP Calculus AB
CBC,21,AP Calculus BC
SMF,120,SAT Math Fundamentals
MF1,113,Mathematical Foundations I
MF2,111,Mathematical Foundations II
MF3,136,Mathematical Foundations III
CA1,105,Calculus I
CA2,106,Calculus II
MVC,54,Multivariable Calculus
DEQ,61,Differential Equations
PAS,73,Probability & Statistics
LAL,55,Linear Algebra
DSM,109,Discrete Mathematics
MOP,76,Methods of Proof
MML,145,Mathematics for Machine Learning
6GM,31,6th Grade Math
SMP,143,SAT Math Prep
PS1,154,Mathematical Methods for the Physical Sciences I
PS2,155,Mathematical Methods for the Physical Sciences II
