topic-id,topic-code,topic-number,topic-name,unit,module,lesson-path,source-path,layer,nearest-integer-layer,course-map-index
3953,4GM.1.1.1,1.1.1,Evaluating Expressions Involving Addition and Multiplication,1. Operations & Algebraic Thinking,1.1. Operations on Numbers,1. Operations & Algebraic Thinking/1.1. Operations on Numbers/Lessons/1.1.1. Evaluating Expressions Involving Addition and Multiplication.md,1. Operations & Algebraic Thinking/1.1. Operations on Numbers/Source/1.1.1. Evaluating Expressions Involving Addition and Multiplication,1,1,1
3923,4GM.1.1.2,1.1.2,Evaluating Expressions Containing Multiplication and Division,1. Operations & Algebraic Thinking,1.1. Operations on Numbers,1. Operations & Algebraic Thinking/1.1. Operations on Numbers/Lessons/1.1.2. Evaluating Expressions Containing Multiplication and Division.md,1. Operations & Algebraic Thinking/1.1. Operations on Numbers/Source/1.1.2. Evaluating Expressions Containing Multiplication and Division,0,0,2
3904,4GM.1.1.3,1.1.3,Solving Multistep Word Problems Using Number Operations,1. Operations & Algebraic Thinking,1.1. Operations on Numbers,1. Operations & Algebraic Thinking/1.1. Operations on Numbers/Lessons/1.1.3. Solving Multistep Word Problems Using Number Operations.md,1. Operations & Algebraic Thinking/1.1. Operations on Numbers/Source/1.1.3. Solving Multistep Word Problems Using Number Operations,19,19,3
3978,4GM.1.1.4,1.1.4,Further Solving Multistep Word Problems Using the Four Operations,1. Operations & Algebraic Thinking,1.1. Operations on Numbers,1. Operations & Algebraic Thinking/1.1. Operations on Numbers/Lessons/1.1.4. Further Solving Multistep Word Problems Using the Four Operations.md,1. Operations & Algebraic Thinking/1.1. Operations on Numbers/Source/1.1.4. Further Solving Multistep Word Problems Using the Four Operations,20,20,4
3874,4GM.1.2.1,1.2.1,Interpreting Multiplication Equations as a Comparison,1. Operations & Algebraic Thinking,1.2. Thinking Algebraically,1. Operations & Algebraic Thinking/1.2. Thinking Algebraically/Lessons/1.2.1. Interpreting Multiplication Equations as a Comparison.md,1. Operations & Algebraic Thinking/1.2. Thinking Algebraically/Source/1.2.1. Interpreting Multiplication Equations as a Comparison,1,1,5
3902,4GM.1.2.2,1.2.2,Representing Comparison Statements as Equations,1. Operations & Algebraic Thinking,1.2. Thinking Algebraically,1. Operations & Algebraic Thinking/1.2. Thinking Algebraically/Lessons/1.2.2. Representing Comparison Statements as Equations.md,1. Operations & Algebraic Thinking/1.2. Thinking Algebraically/Source/1.2.2. Representing Comparison Statements as Equations,2,2,6
3903,4GM.1.2.3,1.2.3,Word Problems Involving Additive and Multiplicative Comparison,1. Operations & Algebraic Thinking,1.2. Thinking Algebraically,1. Operations & Algebraic Thinking/1.2. Thinking Algebraically/Lessons/1.2.3. Word Problems Involving Additive and Multiplicative Comparison.md,1. Operations & Algebraic Thinking/1.2. Thinking Algebraically/Source/1.2.3. Word Problems Involving Additive and Multiplicative Comparison,18,18,7
2430,4GM.1.2.4,1.2.4,Generating Patterns,1. Operations & Algebraic Thinking,1.2. Thinking Algebraically,1. Operations & Algebraic Thinking/1.2. Thinking Algebraically/Lessons/1.2.4. Generating Patterns.md,1. Operations & Algebraic Thinking/1.2. Thinking Algebraically/Source/1.2.4. Generating Patterns,0,0,8
2431,4GM.1.2.5,1.2.5,Identifying Patterns,1. Operations & Algebraic Thinking,1.2. Thinking Algebraically,1. Operations & Algebraic Thinking/1.2. Thinking Algebraically/Lessons/1.2.5. Identifying Patterns.md,1. Operations & Algebraic Thinking/1.2. Thinking Algebraically/Source/1.2.5. Identifying Patterns,18,18,9
2312,4GM.2.1.1,2.1.1,Place Value With Numbers Up to Four Digits,2. The Number System,2.1. Place Value,2. The Number System/2.1. Place Value/Lessons/2.1.1. Place Value With Numbers Up to Four Digits.md,2. The Number System/2.1. Place Value/Source/2.1.1. Place Value With Numbers Up to Four Digits,0,0,10
