topic,requires
85,645
85,811
85,3721
92,63
92,2410
92,2442
109,2326
111,2347
326,2326
326,3916
534,2470
535,3925
536,535
536,2425
537,2406
537,2434
540,536
547,2335
547,3585
548,536
548,2289
548,3585
549,551
549,2335
551,548
551,3898
552,553
552,2364
553,534
553,3942
554,552
555,563
556,534
557,552
557,2289
558,557
558,2382
559,552
559,3936
559,4204
560,2433
560,2518
561,554
561,2433
562,535
562,2392
562,3882
562,3901
563,552
573,92
573,2281
575,6368
575,6766
576,6769
643,3721
644,645
645,643
645,2357
965,2286
965,2409
965,2444
965,4204
965,6741
2281,2442
2321,2314
2321,2392
2328,549
2328,2329
2329,536
2329,541
2330,549
2331,2329
2333,548
2333,2331
2335,540
2335,2344
2339,326
2340,109
2340,2339
2347,383
2347,2346
2348,111
2348,2359
2355,2348
2369,530
2369,2378
2369,2436
2377,533
2377,2388
2377,2412
2377,2459
2382,2369
2382,2377
2382,2438
2383,2382
2384,2382
2385,2384
2386,2383
2387,2385
2387,2386
2388,3901
2404,2392
2404,2403
2404,3872
2404,3960
2406,258
2406,2424
2411,2346
2411,2404
2412,536
2412,3898
2434,540
2435,2328
2435,2331
2436,528
2437,529
2437,3951
2438,2359
2438,2412
2438,2436
2438,4698
2442,3915
2443,2281
2444,2442
2444,3919
2445,6750
2447,2379
2447,2411
2448,573
2448,3751
2449,576
2449,2448
2449,2473
2450,573
2450,2414
2450,3593
2451,562
2452,562
2452,2289
2453,2329
2453,2347
2453,2378
2453,2451
2453,2452
2453,2459
2454,540
2454,2453
2455,2453
2456,2382
2456,2453
2457,2286
2457,2451
2457,2452
2457,4204
2461,92
2462,2505
2463,2445
2463,6802
2463,6803
2467,3751
2468,2484
2473,6766
2473,7743
2474,538
2474,2444
2474,2476
2475,2398
2475,3537
2476,2378
2476,3537
2477,2355
2477,3537
2479,2335
2479,2478
2480,3749
2481,547
2481,2281
2481,2479
2482,2480
2483,576
2483,2473
2484,2467
2497,2369
2497,2377
2497,2434
2499,2509
2500,2499
2500,3579
2500,3749
2501,2480
2501,2481
2501,2500
2502,2501
2502,2517
2505,965
2505,6750
2509,2478
2510,2509
2510,3579
2510,3749
2516,2482
2516,2502
2516,2510
2517,2478
2518,2463
2518,3971
2520,2387
2520,6739
2558,2335
2558,2442
3537,383
3537,2321
3579,2478
3593,258
3593,558
3593,2335
3593,4788
3721,63
3746,563
3749,2479
3754,2455
3755,2480
3755,2481
3755,2517
3757,2480
3757,2500
3758,2516
3872,236
3872,2321
3872,2403
3972,2289
3972,2347
3972,2427
3972,3904
3974,535
3974,2289
3974,2360
3974,2402
3975,541
3975,551
3975,2428
3976,541
3976,551
3976,2329
3976,2429
4025,540
4025,2412
4025,3884
4025,3936
4073,535
4073,2329
4073,3994
4698,2437
6729,2470
6739,2382
6739,2497
6739,6737
6740,572
6740,2382
6741,2281
6741,2558
6742,92
6742,6741
6744,965
6744,2457
6749,2443
6749,6747
6750,2357
6750,2382
6750,2397
6750,3721
6751,644
6752,6751
6753,85
6753,6752
6754,6753
6755,645
6755,6750
6756,6755
6757,6756
6758,6802
6759,6758
6759,6803
6760,2505
6761,6759
6762,2475
6762,2476
6762,6750
6766,3872
6766,6757
6769,575
6802,6757
6803,326
6803,2443
6803,6756
6805,558
6805,2288
6805,2447
7206,2329
7206,4073
7208,576
7208,2468
