topic,requires
38,40
38,65
38,387
40,1412
64,2561
64,3721
65,134
65,524
65,1412
66,40
66,65
67,66
67,2202
85,645
85,811
85,3721
87,85
87,137
87,2441
90,1135
90,2444
92,63
92,2410
92,2442
94,66
94,92
95,94
97,95
121,125
121,2475
121,2561
125,2195
134,329
134,644
135,328
135,645
135,3718
137,3847
138,134
138,135
178,2444
178,3721
267,3561
297,329
298,2347
298,2442
299,2422
322,125
323,2202
327,2442
327,3907
328,3679
328,3680
329,3679
329,3680
330,3718
343,67
343,135
343,2270
356,1413
387,64
387,2310
396,97
396,557
396,573
396,2183
398,1240
421,343
421,1437
421,3979
484,1927
487,356
487,2225
496,343
496,1379
496,1509
496,3554
521,1463
521,3979
524,297
524,328
534,2470
552,553
552,2364
553,534
553,3942
554,552
557,552
557,2289
558,557
558,2382
561,554
561,2433
562,535
562,2392
562,3882
562,3901
563,552
573,92
573,2281
589,1987
589,2204
643,3721
644,645
645,643
645,2357
651,343
652,322
652,2202
755,4250
766,1509
766,2310
766,2558
811,4250
829,840
829,3543
840,3942
1024,1131
1024,2561
1024,3762
1131,297
1131,328
1135,267
1135,3721
1136,1135
1137,1135
1138,1137
1138,1223
1223,267
1223,297
1224,267
1240,356
1240,396
1289,125
1317,1378
1318,1927
1319,496
1319,1317
1319,2331
1321,1319
1321,1458
1322,1321
1322,1462
1352,1461
1352,2174
1352,3872
1353,1397
1353,2278
1379,236
1379,297
1379,1378
1386,1317
1386,1322
1386,1403
1386,1601
1397,1352
1397,1644
1399,1352
1403,1511
1403,1601
1412,64
1413,137
1413,651
1414,343
1435,1399
1435,1468
1437,1507
1437,1510
1457,1223
1457,1224
1457,1289
1457,2012
1458,496
1458,1511
1459,1317
1459,1462
1459,1509
1460,1386
1460,1511
1460,2278
1460,2407
1461,521
1461,1386
1461,1508
1461,3751
1462,1379
1463,651
1463,1379
1468,1353
1468,1515
1500,1378
1505,2172
1505,3902
1505,3906
1505,3907
1505,3910
1507,1509
1507,3554
1508,1511
1509,2172
1509,3951
1510,1509
1511,137
1511,1437
1512,4104
1515,1386
1601,496
1601,1462
1639,137
1639,487
1639,1437
1644,521
1644,1601
1819,2195
1819,3552
1822,178
1822,2174
1863,1135
1863,2340
1863,2441
1927,2204
1987,121
1987,3561
2012,125
2172,1378
2174,3718
2183,64
2195,2174
2202,3719
2204,1819
2204,3585
2225,95
2240,2204
2244,138
2270,66
2278,1463
2278,1500
2278,3873
2310,178
2441,2398
2441,2439
2451,562
2452,562
2452,2289
2453,2329
2453,2347
2453,2378
2453,2451
2453,2452
2453,2459
2454,540
2454,2453
2455,2453
2456,2382
2456,2453
2479,2335
2479,2478
2480,3749
2481,547
2481,2281
2481,2479
2482,2480
2498,2482
2498,2501
2498,3757
2499,2509
2500,2499
2500,3579
2500,3749
2501,2480
2501,2481
2501,2500
2502,2501
2502,2517
2509,2478
2510,2509
2510,3579
2510,3749
2516,2482
2516,2502
2516,2510
2517,2478
2550,557
2550,2382
2551,571
2551,2550
2552,92
2552,561
2552,2553
2553,40
2553,554
2553,557
2554,2553
2558,2335
2558,2442
2560,63
2560,2454
2561,297
2561,299
2561,328
2561,2398
2561,3719
2607,1224
2607,3709
2805,536
2805,2396
3043,3579
3043,3749
3543,2805
3552,1822
3554,343
3554,1505
3554,3980
3561,652
3579,2478
3593,258
3593,558
3593,2335
3593,4788
3679,327
3679,525
3679,3720
3680,327
3680,2340
3680,3720
3709,2204
3718,111
3718,298
3718,2378
3719,2328
3719,2382
3719,4136
3720,2281
3721,63
3731,496
3731,521
3731,4104
3746,563
3749,2479
3754,2455
3755,2480
3755,2481
3755,2517
3757,2480
3757,2500
3758,2516
3843,90
3843,1131
3843,1863
3847,135
3872,236
3872,2321
3872,2403
3873,137
3873,138
3979,1378
3979,1509
3980,2172
3980,3906
3981,2172
3981,2360
3981,2425
3981,3882
3981,3951
3989,3843
4002,3989
4019,421
4021,38
4021,66
4031,4021
4034,1413
4034,4031
4104,1511
4104,4019
4136,330
4250,829
4250,2321
5572,87
5572,343
6188,2481
6188,2499
6188,2502
6188,2510
6207,487
6207,1639
6363,6188
6642,111
6642,2454
6642,3721
6643,2560
6643,3754
6646,40
6646,2560
6663,40
6663,6643
6666,2281
6666,3721
6666,6643
