topic-id,topic-code,topic-number,topic-name,unit,module,lesson-path,source-path,layer,nearest-integer-layer,course-map-index
1016,HI3.1.1.1,1.1.1,The Sum of a Finite Geometric Series,1. Sequences & Series,1.1. Finite Geometric Series,1. Sequences & Series/1.1. Finite Geometric Series/Lessons/1.1.1. The Sum of a Finite Geometric Series.md,1. Sequences & Series/1.1. Finite Geometric Series/Source/1.1.1. The Sum of a Finite Geometric Series,48,48,1
692,HI3.1.1.2,1.1.2,The Sum of the First N Terms of a Geometric Series,1. Sequences & Series,1.1. Finite Geometric Series,1. Sequences & Series/1.1. Finite Geometric Series/Lessons/1.1.2. The Sum of the First N Terms of a Geometric Series.md,1. Sequences & Series/1.1. Finite Geometric Series/Source/1.1.2. The Sum of the First N Terms of a Geometric Series,49,49,2
1017,HI3.1.1.3,1.1.3,Writing Geometric Series in Sigma Notation,1. Sequences & Series,1.1. Finite Geometric Series,1. Sequences & Series/1.1. Finite Geometric Series/Lessons/1.1.3. Writing Geometric Series in Sigma Notation.md,1. Sequences & Series/1.1. Finite Geometric Series/Source/1.1.3. Writing Geometric Series in Sigma Notation,48,48,3
690,HI3.1.1.4,1.1.4,Sums of Finite Geometric Series Given in Sigma Notation,1. Sequences & Series,1.1. Finite Geometric Series,1. Sequences & Series/1.1. Finite Geometric Series/Lessons/1.1.4. Sums of Finite Geometric Series Given in Sigma Notation.md,1. Sequences & Series/1.1. Finite Geometric Series/Source/1.1.4. Sums of Finite Geometric Series Given in Sigma Notation,49,49,4
1018,HI3.1.1.5,1.1.5,Solving Geometric Series Problems Using Exponential Equations and Inequalities,1. Sequences & Series,1.1. Finite Geometric Series,1. Sequences & Series/1.1. Finite Geometric Series/Lessons/1.1.5. Solving Geometric Series Problems Using Exponential Equations and Inequalities.md,1. Sequences & Series/1.1. Finite Geometric Series/Source/1.1.5. Solving Geometric Series Problems Using Exponential Equations and Inequalities,50,50,5
1019,HI3.1.1.6,1.1.6,Modeling With Geometric Series,1. Sequences & Series,1.1. Finite Geometric Series,1. Sequences & Series/1.1. Finite Geometric Series/Lessons/1.1.6. Modeling With Geometric Series.md,1. Sequences & Series/1.1. Finite Geometric Series/Source/1.1.6. Modeling With Geometric Series,51,51,6
3681,HI3.1.1.7,1.1.7,Modeling Financial Problems Using Geometric Series,1. Sequences & Series,1.1. Finite Geometric Series,1. Sequences & Series/1.1. Finite Geometric Series/Lessons/1.1.7. Modeling Financial Problems Using Geometric Series.md,1. Sequences & Series/1.1. Finite Geometric Series/Source/1.1.7. Modeling Financial Problems Using Geometric Series,49,49,7
728,HI3.2.1.1,2.1.1,Dividing Polynomials Using Synthetic Division,2. Polynomials,2.1. Dividing Polynomials,2. Polynomials/2.1. Dividing Polynomials/Lessons/2.1.1. Dividing Polynomials Using Synthetic Division.md,2. Polynomials/2.1. Dividing Polynomials/Source/2.1.1. Dividing Polynomials Using Synthetic Division,46,46,8
2013,HI3.2.1.2,2.1.2,Dividing Polynomials by Linear Binomials Using Long Division,2. Polynomials,2.1. Dividing Polynomials,2. Polynomials/2.1. Dividing Polynomials/Lessons/2.1.2. Dividing Polynomials by Linear Binomials Using Long Division.md,2. Polynomials/2.1. Dividing Polynomials/Source/2.1.2. Dividing Polynomials by Linear Binomials Using Long Division,46,46,9
427,HI3.2.1.3,2.1.3,Dividing Polynomials Using Long Division,2. Polynomials,2.1. Dividing Polynomials,2. Polynomials/2.1. Dividing Polynomials/Lessons/2.1.3. Dividing Polynomials Using Long Division.md,2. Polynomials/2.1. Dividing Polynomials/Source/2.1.3. Dividing Polynomials Using Long Division,47,47,10
2883,HI3.2.1.4,2.1.4,Dividing Polynomials by Manipulating Rational Expressions,2. Polynomials,2.1. Dividing Polynomials,2. Polynomials/2.1. Dividing Polynomials/Lessons/2.1.4. Dividing Polynomials by Manipulating Rational Expressions.md,2. Polynomials/2.1. Dividing Polynomials/Source/2.1.4. Dividing Polynomials by Manipulating Rational Expressions,47,47,11
