topic,requires
28,726
28,818
30,1474
30,1475
45,2558
73,1226
84,117
84,2022
112,323
112,516
112,1848
114,375
114,422
114,908
114,3872
116,1422
117,453
130,63
130,236
130,2347
130,2451
130,2452
130,2499
130,2510
130,4196
130,4197
130,4198
131,130
140,371
141,2707
141,2841
166,261
166,4037
167,1848
204,112
204,1456
204,1518
261,167
268,269
268,2271
269,4037
336,396
336,470
375,1424
375,3577
378,457
379,2607
393,353
393,1424
394,370
394,430
394,1424
410,393
410,425
410,487
410,1422
419,450
419,1423
422,813
422,1425
422,2184
425,422
425,2558
450,352
453,1888
456,817
456,1531
457,379
490,552
490,1319
490,2407
490,3751
491,490
491,2218
497,550
502,1462
502,3554
503,1387
503,3555
504,681
504,1467
504,2941
505,517
506,497
508,496
508,1500
508,5157
508,5488
510,611
510,1639
510,3873
512,459
513,611
513,629
513,1365
514,262
514,263
514,578
514,1521
516,610
516,764
516,765
517,433
517,1404
531,1515
532,1515
578,433
578,1404
579,497
580,578
580,579
582,1515
609,1318
609,1597
609,2234
609,3555
610,609
610,753
611,633
627,354
627,1889
629,609
633,433
633,609
634,1254
641,610
641,629
647,513
647,610
647,1608
647,2278
661,84
661,393
661,422
661,1422
674,681
681,1352
681,1927
681,2469
688,661
688,2233
688,2327
701,68
701,140
701,422
704,84
704,1415
709,1121
710,323
710,1120
710,1435
710,2886
710,3533
714,66
714,4361
725,75
725,453
725,2226
725,2227
725,3817
726,378
726,2234
729,651
729,1422
729,2183
734,2310
734,2609
736,453
736,734
736,1530
736,1531
753,3817
756,753
756,754
764,460
764,3980
765,262
765,263
765,611
793,1120
794,131
794,793
794,2826
794,2827
813,371
814,84
817,1530
818,378
818,2234
818,2558
966,531
966,532
966,582
966,1520
966,1521
1035,433
1035,1397
1035,2484
1068,2484
1068,2886
1120,709
1121,130
1121,470
1144,460
1144,552
1144,698
1144,1745
1144,2467
1144,3748
1145,121
1145,470
1145,2467
1145,3748
1146,121
1146,470
1146,1404
1146,2467
1146,3748
1148,1144
1148,1146
1148,1764
1149,75
1149,1150
1149,1585
1150,3821
1197,430
1197,1367
1197,1397
1226,2271
1226,2431
1251,3821
1252,3821
1254,1252
1254,1584
1254,1586
1357,966
1357,1508
1357,1524
1357,1644
1357,5488
1365,1367
1365,3555
1366,1367
1366,4104
1367,490
1367,698
1367,1386
1387,1386
1387,1463
1387,3979
1406,497
1406,578
1406,4019
1422,375
1422,4951
1423,382
1423,430
1423,813
1424,67
1424,813
1425,1423
1425,4034
1429,425
1429,661
1451,323
1451,661
1451,704
1451,1463
1453,112
1456,1848
1466,2484
1466,2887
1467,1819
1467,2484
1467,3872
1473,1599
1474,1473
1475,1599
1497,502
1497,1503
1497,5488
1503,491
1503,1404
1520,1515
1521,1515
1534,688
1534,704
1584,1251
1585,3821
1586,3821
1597,1601
1599,726
1599,818
1605,550
1605,764
1606,323
1606,1605
1606,1745
1608,433
1608,629
1608,765
1608,1397
1609,2022
1609,4034
1609,6351
1682,456
1752,116
1752,3622
1753,40
1753,1467
1753,1927
1753,2484
1753,3872
1762,460
1762,1745
1762,2469
1763,1745
1763,1778
1763,2469
1764,1763
1765,681
1765,1146
1765,1457
1778,433
1778,460
1778,1145
1826,1322
1826,2849
1844,3568
1844,3766
1844,3829
1848,610
1848,764
1848,765
1882,704
1882,754
1882,814
1882,1451
1886,117
1886,754
1886,790
1889,756
1889,1886
1919,1367
1919,3555
1919,4104
1985,3821
1985,6219
2001,456
2001,2464
2001,2466
2021,1453
2021,4037
2046,1628
2148,165
2218,483
2218,1515
2271,802
2467,3751
2468,2484
2469,576
2469,2468
2484,2467
2585,92
2585,2478
2609,398
2609,2585
2707,1888
2826,45
2827,45
2827,347
2841,634
2841,1150
2841,1585
2849,1317
2849,2468
2941,323
2941,1197
2978,661
2978,756
3546,814
3546,3824
3547,497
3547,597
3547,1403
3568,261
3568,269
3589,734
3590,1588
3590,3753
3595,3753
3622,1466
3663,262
3663,263
3663,497
3663,505
3665,701
3665,704
3667,426
3667,701
3683,141
3683,754
3683,3728
3732,1534
3734,756
3753,2609
3766,268
3766,484
3817,360
3817,1985
3824,3842
3829,261
3829,4037
3830,627
3830,1882
3830,3734
3830,3824
3842,450
3845,634
3849,419
3849,3824
4037,204
4065,1365
4065,1366
4065,1919
4361,794
5100,1512
5135,433
5135,487
5135,521
5135,1357
5137,487
5137,4104
5137,5488
5159,1387
5159,5188
5188,508
5188,4065
5271,487
5271,5488
5272,5137
5273,5135
5434,5100
5488,502
5488,5434
6092,353
6092,371
6092,1414
6092,5572
6266,393
6266,425
6341,84
6341,408
6341,410
6351,818
6351,1584
6351,1682
