topic-id,topic-code,topic-number,topic-name,unit,module,lesson-path,source-path,layer,nearest-integer-layer,course-map-index
3404,MF3.1.1.1,1.1.1,Pascal's Triangle and the Binomial Coefficients,1. Sequences and Series,1.1. The Binomial Theorem,1. Sequences and Series/1.1. The Binomial Theorem/Lessons/1.1.1. Pascal's Triangle and the Binomial Coefficients.md,1. Sequences and Series/1.1. The Binomial Theorem/Source/1.1.1. Pascal's Triangle and the Binomial Coefficients,41,41,1
1156,MF3.1.1.2,1.1.2,Expanding a Binomial Using Binomial Coefficients,1. Sequences and Series,1.1. The Binomial Theorem,1. Sequences and Series/1.1. The Binomial Theorem/Lessons/1.1.2. Expanding a Binomial Using Binomial Coefficients.md,1. Sequences and Series/1.1. The Binomial Theorem/Source/1.1.2. Expanding a Binomial Using Binomial Coefficients,42,42,2
3764,MF3.1.1.3,1.1.3,The Special Case of the Binomial Theorem,1. Sequences and Series,1.1. The Binomial Theorem,1. Sequences and Series/1.1. The Binomial Theorem/Lessons/1.1.3. The Special Case of the Binomial Theorem.md,1. Sequences and Series/1.1. The Binomial Theorem/Source/1.1.3. The Special Case of the Binomial Theorem,43,43,3
1158,MF3.1.1.4,1.1.4,Approximating Values Using the Binomial Theorem,1. Sequences and Series,1.1. The Binomial Theorem,1. Sequences and Series/1.1. The Binomial Theorem/Lessons/1.1.4. Approximating Values Using the Binomial Theorem.md,1. Sequences and Series/1.1. The Binomial Theorem/Source/1.1.4. Approximating Values Using the Binomial Theorem,44,44,4
779,MF3.1.2.1,1.2.1,Expressing an Arithmetic Series in Sigma Notation,1. Sequences and Series,1.2. Arithmetic Series,1. Sequences and Series/1.2. Arithmetic Series/Lessons/1.2.1. Expressing an Arithmetic Series in Sigma Notation.md,1. Sequences and Series/1.2. Arithmetic Series/Source/1.2.1. Expressing an Arithmetic Series in Sigma Notation,47,47,5
675,MF3.1.2.2,1.2.2,Finding the Sum of an Arithmetic Series,1. Sequences and Series,1.2. Arithmetic Series,1. Sequences and Series/1.2. Arithmetic Series/Lessons/1.2.2. Finding the Sum of an Arithmetic Series.md,1. Sequences and Series/1.2. Arithmetic Series/Source/1.2.2. Finding the Sum of an Arithmetic Series,48,48,6
677,MF3.1.2.3,1.2.3,Finding the First Term of an Arithmetic Series,1. Sequences and Series,1.2. Arithmetic Series,1. Sequences and Series/1.2. Arithmetic Series/Lessons/1.2.3. Finding the First Term of an Arithmetic Series.md,1. Sequences and Series/1.2. Arithmetic Series/Source/1.2.3. Finding the First Term of an Arithmetic Series,49,49,7
676,MF3.1.2.4,1.2.4,Calculating the Number of Terms in an Arithmetic Series,1. Sequences and Series,1.2. Arithmetic Series,1. Sequences and Series/1.2. Arithmetic Series/Lessons/1.2.4. Calculating the Number of Terms in an Arithmetic Series.md,1. Sequences and Series/1.2. Arithmetic Series/Source/1.2.4. Calculating the Number of Terms in an Arithmetic Series,50,50,8
1016,MF3.1.3.1,1.3.1,The Sum of a Finite Geometric Series,1. Sequences and Series,1.3. Finite Geometric Series,1. Sequences and Series/1.3. Finite Geometric Series/Lessons/1.3.1. The Sum of a Finite Geometric Series.md,1. Sequences and Series/1.3. Finite Geometric Series/Source/1.3.1. The Sum of a Finite Geometric Series,48,48,9
692,MF3.1.3.2,1.3.2,The Sum of the First N Terms of a Geometric Series,1. Sequences and Series,1.3. Finite Geometric Series,1. Sequences and Series/1.3. Finite Geometric Series/Lessons/1.3.2. The Sum of the First N Terms of a Geometric Series.md,1. Sequences and Series/1.3. Finite Geometric Series/Source/1.3.2. The Sum of the First N Terms of a Geometric Series,49,49,10
1017,MF3.1.3.3,1.3.3,Writing Geometric Series in Sigma Notation,1. Sequences and Series,1.3. Finite Geometric Series,1. Sequences and Series/1.3. Finite Geometric Series/Lessons/1.3.3. Writing Geometric Series in Sigma Notation.md,1. Sequences and Series/1.3. Finite Geometric Series/Source/1.3.3. Writing Geometric Series in Sigma Notation,48,48,11
690,MF3.1.3.4,1.3.4,Sums of Finite Geometric Series Given in Sigma Notation,1. Sequences and Series,1.3. Finite Geometric Series,1. Sequences and Series/1.3. Finite Geometric Series/Lessons/1.3.4. Sums of Finite Geometric Series Given in Sigma Notation.md,1. Sequences and Series/1.3. Finite Geometric Series/Source/1.3.4. Sums of Finite Geometric Series Given in Sigma Notation,49,49,12
1088,MF3.1.4.1,1.4.1,Convergence of Geometric Sequences,1. Sequences and Series,1.4. Infinite Series,1. Sequences and Series/1.4. Infinite Series/Lessons/1.4.1. Convergence of Geometric Sequences.md,1. Sequences and Series/1.4. Infinite Series/Source/1.4.1. Convergence of Geometric Sequences,46,46,13
3838,MF3.1.4.2,1.4.2,Further Convergence of Geometric Sequences,1. Sequences and Series,1.4. Infinite Series,1. Sequences and Series/1.4. Infinite Series/Lessons/1.4.2. Further Convergence of Geometric Sequences.md,1. Sequences and Series/1.4. Infinite Series/Source/1.4.2. Further Convergence of Geometric Sequences,61,61,14
981,MF3.1.4.3,1.4.3,Infinite Series and Partial Sums,1. Sequences and Series,1.4. Infinite Series,1. Sequences and Series/1.4. Infinite Series/Lessons/1.4.3. Infinite Series and Partial Sums.md,1. Sequences and Series/1.4. Infinite Series/Source/1.4.3. Infinite Series and Partial Sums,50,50,15
982,MF3.1.4.4,1.4.4,Convergent and Divergent Infinite Series,1. Sequences and Series,1.4. Infinite Series,1. Sequences and Series/1.4. Infinite Series/Lessons/1.4.4. Convergent and Divergent Infinite Series.md,1. Sequences and Series/1.4. Infinite Series/Source/1.4.4. Convergent and Divergent Infinite Series,51,51,16
983,MF3.1.4.5,1.4.5,Properties of Infinite Series,1. Sequences and Series,1.4. Infinite Series,1. Sequences and Series/1.4. Infinite Series/Lessons/1.4.5. Properties of Infinite Series.md,1. Sequences and Series/1.4. Infinite Series/Source/1.4.5. Properties of Infinite Series,52,52,17
4052,MF3.1.4.6,1.4.6,Further Properties of Infinite Series,1. Sequences and Series,1.4. Infinite Series,1. Sequences and Series/1.4. Infinite Series/Lessons/1.4.6. Further Properties of Infinite Series.md,1. Sequences and Series/1.4. Infinite Series/Source/1.4.6. Further Properties of Infinite Series,53,53,18
691,MF3.1.4.7,1.4.7,Finding the Sum of an Infinite Geometric Series,1. Sequences and Series,1.4. Infinite Series,1. Sequences and Series/1.4. Infinite Series/Lessons/1.4.7. Finding the Sum of an Infinite Geometric Series.md,1. Sequences and Series/1.4. Infinite Series/Source/1.4.7. Finding the Sum of an Infinite Geometric Series,51,51,19
686,MF3.1.4.8,1.4.8,Writing an Infinite Geometric Series in Sigma Notation,1. Sequences and Series,1.4. Infinite Series,1. Sequences and Series/1.4. Infinite Series/Lessons/1.4.8. Writing an Infinite Geometric Series in Sigma Notation.md,1. Sequences and Series/1.4. Infinite Series/Source/1.4.8. Writing an Infinite Geometric Series in Sigma Notation,51,51,20
1020,MF3.1.4.9,1.4.9,Sums of Infinite Geometric Series Given in Sigma Notation,1. Sequences and Series,1.4. Infinite Series,1. Sequences and Series/1.4. Infinite Series/Lessons/1.4.9. Sums of Infinite Geometric Series Given in Sigma Notation.md,1. Sequences and Series/1.4. Infinite Series/Source/1.4.9. Sums of Infinite Geometric Series Given in Sigma Notation,52,52,21
684,MF3.1.4.10,1.4.10,Convergence of Geometric Series,1. Sequences and Series,1.4. Infinite Series,1. Sequences and Series/1.4. Infinite Series/Lessons/1.4.10. Convergence of Geometric Series.md,1. Sequences and Series/1.4. Infinite Series/Source/1.4.10. Convergence of Geometric Series,62,62,22
1495,MF3.2.1.1,2.1.1,Solving Elementary Quadratic Inequalities,2. Inequalities,2.1. Single-Variable Inequalities,2. Inequalities/2.1. Single-Variable Inequalities/Lessons/2.1.1. Solving Elementary Quadratic Inequalities.md,2. Inequalities/2.1. Single-Variable Inequalities/Source/2.1.1. Solving Elementary Quadratic Inequalities,47,47,23
468,MF3.2.1.2,2.1.2,Solving Quadratic Inequalities From Graphs,2. Inequalities,2.1. Single-Variable Inequalities,2. Inequalities/2.1. Single-Variable Inequalities/Lessons/2.1.2. Solving Quadratic Inequalities From Graphs.md,2. Inequalities/2.1. Single-Variable Inequalities/Source/2.1.2. Solving Quadratic Inequalities From Graphs,48,48,24
3833,MF3.2.1.3,2.1.3,Solving Quadratic Inequalities Using the Graphical Method,2. Inequalities,2.1. Single-Variable Inequalities,2. Inequalities/2.1. Single-Variable Inequalities/Lessons/2.1.3. Solving Quadratic Inequalities Using the Graphical Method.md,2. Inequalities/2.1. Single-Variable Inequalities/Source/2.1.3. Solving Quadratic Inequalities Using the Graphical Method,49,49,25
118,MF3.2.1.4,2.1.4,Solving Quadratic Inequalities Using the Sign Table Method,2. Inequalities,2.1. Single-Variable Inequalities,2. Inequalities/2.1. Single-Variable Inequalities/Lessons/2.1.4. Solving Quadratic Inequalities Using the Sign Table Method.md,2. Inequalities/2.1. Single-Variable Inequalities/Source/2.1.4. Solving Quadratic Inequalities Using the Sign Table Method,48,48,26
