topic,requires
1264,2030
1264,3386
1264,3602
1347,1040
1347,1290
1401,806
1401,931
1401,1794
1401,2746
1401,3356
1737,347
1737,778
1737,1166
1737,1609
1737,1610
1737,1875
1737,1882
1737,2064
1737,2082
1738,177
1738,4139
1739,314
1739,1741
1739,4139
1741,177
1741,245
1741,463
1741,606
1741,1737
1741,2610
1744,177
1744,245
1744,632
1744,1085
1789,803
1789,1899
1789,1981
1789,1982
1790,1299
1790,2000
1790,3373
1792,177
1792,1376
1792,4139
1794,1738
1794,1792
1795,1794
1796,1810
1796,3176
1833,1838
1834,1795
1834,1836
1836,245
1836,1833
1837,207
1837,997
1837,4139
1838,1794
1838,1837
1839,1834
1839,3846
1892,874
1892,1896
1893,874
1893,1128
1893,1132
1893,1896
1893,2539
1894,1896
1895,733
1895,1896
1896,666
1896,844
1896,850
1896,1807
1896,1899
1898,1892
1898,1893
1898,1894
1898,1895
1899,1483
1899,1486
1899,1609
1899,1610
1899,1875
1899,2082
1899,4097
1900,871
1900,1807
1900,1899
1929,303
1929,1931
1930,849
1930,3684
1930,4392
1931,314
1931,604
1931,1899
1932,4096
1933,4096
1934,1691
1934,1932
1934,1955
1936,1934
1936,3173
1936,4139
1937,621
1937,1934
1937,1980
1938,1934
1939,1934
1939,1978
1940,1939
1941,288
1941,1934
1942,1981
1942,1982
1942,3173
1944,1945
1945,339
1945,3127
1945,4171
1947,364
1947,806
1947,1944
1947,2746
1947,2837
1948,1896
1948,1939
1948,1945
1950,3173
1951,1061
1951,1957
1951,3149
1955,2539
1955,4096
1957,1933
1978,1898
1978,1900
1979,454
1979,849
1979,4392
1980,1792
1980,1807
1980,4096
1981,936
1982,936
1983,3958
1984,1940
1990,1086
1990,2615
1990,3696
1990,3698
1992,315
1992,478
1992,1040
1992,1161
1992,1899
1992,3770
1994,760
1994,1041
1994,1762
1995,997
1995,3632
1996,2152
1997,1996
1998,2151
1998,4134
1999,3706
1999,3707
1999,4096
2000,2616
2025,2030
2025,2152
2026,487
2026,673
2026,1107
2026,2230
2027,2835
2027,3338
2027,3687
2027,4166
2028,4173
2030,1038
2030,2000
2030,2151
2030,4135
2052,1753
2052,4141
2053,2141
2053,2142
2056,1997
2056,2141
2056,2142
2058,1770
2058,1771
2058,1898
2058,4149
2059,2030
2059,3569
2060,3570
2060,4151
2107,317
2107,1837
2107,1899
2108,177
2108,2107
2109,3690
2109,3699
2110,1951
2110,3711
2116,2132
2116,2152
2116,3704
2116,3713
2117,2198
2117,3627
2130,1898
2130,1979
2131,1932
2131,3344
2132,245
2132,1932
2132,3344
2135,1144
2135,2053
2135,3361
2135,4162
2138,2116
2138,4143
2141,4146
2142,4146
2151,1979
2151,2000
2152,2151
2198,2116
2613,477
2613,1753
2613,1899
2613,3697
2614,477
2614,1753
2614,1899
2614,3697
2615,1983
2615,2613
2616,1992
2635,2107
2638,3354
2722,3581
2824,1957
2824,3118
2824,4169
2832,1920
2832,2837
2832,4149
2835,2030
3001,49
3001,1290
3052,2152
3052,3001
3052,4100
3145,1255
3145,2107
3147,1203
3147,2030
3147,2152
3149,2132
3149,3692
3173,271
3173,831
3173,4096
3176,245
3176,1795
3177,825
3177,1796
3177,1839
3178,1264
3178,3715
3235,1179
3235,2023
3235,3576
3338,825
3340,825
3340,826
3340,2722
3343,1737
3343,1849
3343,1899
3344,3343
3354,999
3354,3145
3356,4097
3357,3356
3360,2110
3361,2116
3361,2131
3361,3716
3371,1789
3371,1894
3371,3569
3371,3570
3372,806
3372,1790
3373,1789
3373,1955
3373,1980
3380,1936
3380,1948
3380,4208
3386,1790
3387,1959
3387,3334
3569,1981
3569,2467
3570,1982
3570,2467
3596,873
3596,875
3596,1789
3596,1895
3596,2746
3596,2981
3597,967
3597,1789
3597,1892
3597,1893
3602,1790
3602,1898
3602,2030
3627,2030
3627,2116
3632,1994
3687,2722
3687,3235
3688,806
3688,3145
3689,875
3689,2635
3690,2746
3690,3688
3692,1939
3692,3344
3693,3235
3693,3582
3694,2108
3694,3692
3696,1983
3696,2614
3697,45
3697,458
3697,2275
3697,3958
3698,1983
3698,3697
3698,4387
3699,1376
3699,3145
3700,2132
3700,3692
3701,2131
3701,3692
3703,3689
3703,3705
3704,3694
3704,3705
3704,3708
3704,3711
3705,2109
3706,866
3706,989
3706,3387
3707,934
3707,1351
3707,3387
3708,632
3708,2109
3711,2108
3711,3356
3711,3689
3711,3690
3711,3699
3713,3360
3713,3694
3715,1285
3715,1401
3715,3699
3716,3703
3716,3715
3717,1061
3717,1940
3717,1957
3717,3344
3717,3357
4043,626
4043,1347
4063,50
4063,1930
4063,2828
4096,1929
4097,4063
4100,4004
4100,4043
4132,1998
4134,1979
4134,2832
4135,2173
4135,2832
4141,2130
4141,2152
4143,4145
4144,4143
4144,4162
4145,3178
4146,2052
4149,291
4149,1691
4149,1999
4151,2053
4151,2058
4151,4132
4158,2056
4160,3360
4160,3716
4160,3717
4162,1765
4162,3178
4164,364
4164,1948
4166,526
4166,2025
4166,4167
4167,1685
4167,2026
4169,1937
4169,2058
4171,1177
4171,2824
4173,2027
4174,2027
4208,1808
4208,1892
4208,1893
4208,1894
4208,1895
5377,2824
5377,2926
5377,5379
5379,151
5379,912
5379,1999
6682,1685
6682,1932
6682,4096
