topic-id,topic-code,topic-number,topic-name,unit,module,lesson-path,source-path,layer,nearest-integer-layer,course-map-index
1737,MVC.1.1.1,1.1.1,The Domain of a Vector-Valued Function,1. Vector Functions and Vector Fields,1.1. Vector-Valued Functions,1. Vector Functions and Vector Fields/1.1. Vector-Valued Functions/Lessons/1.1.1. The Domain of a Vector-Valued Function.md,1. Vector Functions and Vector Fields/1.1. Vector-Valued Functions/Source/1.1.1. The Domain of a Vector-Valued Function,62,62,1
1741,MVC.1.1.2,1.1.2,Limits of Vector-Valued Functions,1. Vector Functions and Vector Fields,1.1. Vector-Valued Functions,1. Vector Functions and Vector Fields/1.1. Vector-Valued Functions/Lessons/1.1.2. Limits of Vector-Valued Functions.md,1. Vector Functions and Vector Fields/1.1. Vector-Valued Functions/Source/1.1.2. Limits of Vector-Valued Functions,64,64,2
1739,MVC.1.1.3,1.1.3,Continuity and Differentiability of Vector-Valued Functions,1. Vector Functions and Vector Fields,1.1. Vector-Valued Functions,1. Vector Functions and Vector Fields/1.1. Vector-Valued Functions/Lessons/1.1.3. Continuity and Differentiability of Vector-Valued Functions.md,1. Vector Functions and Vector Fields/1.1. Vector-Valued Functions/Source/1.1.3. Continuity and Differentiability of Vector-Valued Functions,66,66,3
1738,MVC.1.1.4,1.1.4,Differentiation Rules for Vector-Valued Functions,1. Vector Functions and Vector Fields,1.1. Vector-Valued Functions,1. Vector Functions and Vector Fields/1.1. Vector-Valued Functions/Lessons/1.1.4. Differentiation Rules for Vector-Valued Functions.md,1. Vector Functions and Vector Fields/1.1. Vector-Valued Functions/Source/1.1.4. Differentiation Rules for Vector-Valued Functions,66,66,4
1744,MVC.1.1.5,1.1.5,Integration Rules for Vector-Valued Functions,1. Vector Functions and Vector Fields,1.1. Vector-Valued Functions,1. Vector Functions and Vector Fields/1.1. Vector-Valued Functions/Lessons/1.1.5. Integration Rules for Vector-Valued Functions.md,1. Vector Functions and Vector Fields/1.1. Vector-Valued Functions/Source/1.1.5. Integration Rules for Vector-Valued Functions,72,72,5
1837,MVC.1.1.6,1.1.6,The Arc Length of a Vector-Valued Function,1. Vector Functions and Vector Fields,1.1. Vector-Valued Functions,1. Vector Functions and Vector Fields/1.1. Vector-Valued Functions/Lessons/1.1.6. The Arc Length of a Vector-Valued Function.md,1. Vector Functions and Vector Fields/1.1. Vector-Valued Functions/Source/1.1.6. The Arc Length of a Vector-Valued Function,74,74,6
1792,MVC.1.1.7,1.1.7,Tangent Vectors and Tangent Lines to Curves,1. Vector Functions and Vector Fields,1.1. Vector-Valued Functions,1. Vector Functions and Vector Fields/1.1. Vector-Valued Functions/Lessons/1.1.7. Tangent Vectors and Tangent Lines to Curves.md,1. Vector Functions and Vector Fields/1.1. Vector-Valued Functions/Source/1.1.7. Tangent Vectors and Tangent Lines to Curves,66,66,7
1794,MVC.1.1.8,1.1.8,Unit Tangent Vectors,1. Vector Functions and Vector Fields,1.1. Vector-Valued Functions,1. Vector Functions and Vector Fields/1.1. Vector-Valued Functions/Lessons/1.1.8. Unit Tangent Vectors.md,1. Vector Functions and Vector Fields/1.1. Vector-Valued Functions/Source/1.1.8. Unit Tangent Vectors,67,67,8
1795,MVC.1.1.9,1.1.9,Principal Normal Vectors,1. Vector Functions and Vector Fields,1.1. Vector-Valued Functions,1. Vector Functions and Vector Fields/1.1. Vector-Valued Functions/Lessons/1.1.9. Principal Normal Vectors.md,1. Vector Functions and Vector Fields/1.1. Vector-Valued Functions/Source/1.1.9. Principal Normal Vectors,68,68,9
3176,MVC.1.1.10,1.1.10,Binormal Vectors,1. Vector Functions and Vector Fields,1.1. Vector-Valued Functions,1. Vector Functions and Vector Fields/1.1. Vector-Valued Functions/Lessons/1.1.10. Binormal Vectors.md,1. Vector Functions and Vector Fields/1.1. Vector-Valued Functions/Source/1.1.10. Binormal Vectors,69,69,10
