topic,requires
260,359
265,1632
265,2024
294,57
294,203
294,1475
359,2988
359,3067
359,3281
711,1045
711,1081
711,1632
730,1290
730,1634
773,715
788,1470
788,3214
791,4100
918,1900
918,3052
918,3638
918,3939
918,3940
971,773
1056,734
1056,5204
1057,3753
1057,5204
1335,4012
1341,705
1342,703
1343,705
1347,1040
1347,1290
1388,1632
1388,3642
1395,3281
1470,1843
1633,788
1633,2149
1633,2994
1843,711
1843,4420
2149,1388
2149,1395
2163,2024
2163,4100
2166,42
2166,155
2166,3818
2167,2166
2169,2166
2169,3753
2170,736
2170,2169
2171,2169
2836,730
2836,3631
2838,3282
2839,3284
2840,2149
2840,2991
2980,1396
2980,1632
2980,3292
2987,3642
2987,4012
2988,1388
2988,2987
2989,1341
2989,1395
2989,3048
2990,3277
2991,1388
2991,2838
2992,1388
2992,2839
2993,788
2993,2991
2993,2994
2994,47
2994,4100
2995,1395
2995,3270
2995,3864
3001,49
3001,1290
3002,773
3002,3001
3003,3048
3004,1983
3004,2024
3004,3001
3009,788
3009,3062
3009,3292
3009,3863
3010,1290
3010,4386
3012,4120
3013,1905
3013,2856
3013,3062
3013,3864
3014,3023
3014,3269
3014,3303
3015,3014
3016,3014
3017,2990
3017,3014
3018,126
3018,788
3018,3014
3020,734
3020,1056
3022,3003
3022,3863
3023,265
3023,3289
3023,4100
3024,2163
3024,2480
3025,364
3025,4100
3028,1388
3048,3002
3049,2988
3049,3061
3049,3856
3049,3863
3049,5204
3050,1056
3050,3049
3052,2152
3052,3001
3052,4100
3053,730
3053,3003
3055,1495
3055,2163
3055,2856
3055,2857
3055,2858
3056,1472
3056,3055
3056,3830
3056,3943
3056,3944
3060,3023
3061,1335
3061,3052
3062,3028
3062,3048
3067,3013
3067,3859
3069,359
3069,3820
3070,3601
3070,3863
3071,183
3071,1290
3072,705
3072,3284
3074,4100
3075,3275
3075,3289
3077,339
3077,4125
3081,673
3081,3710
3137,2149
3137,3028
3137,3071
3137,3864
3138,232
3138,1196
3138,3820
3138,5204
3214,753
3214,4420
3269,3010
3270,2024
3270,3281
3272,773
3273,2992
3273,3062
3273,3285
3274,1087
3274,2024
3274,3282
3275,317
3275,2988
3275,3353
3277,791
3277,2988
3280,1388
3280,3071
3281,183
3281,705
3281,1153
3281,1290
3282,183
3282,774
3282,1153
3282,1290
3284,183
3284,1153
3284,1290
3285,2839
3285,3072
3286,971
3286,3272
3287,281
3287,3401
3288,885
3288,1156
3288,3010
3288,3071
3288,3072
3288,3281
3288,3282
3288,3401
3289,317
3289,735
3289,758
3289,774
3289,1226
3292,2836
3292,3048
3293,3009
3293,3070
3293,3295
3293,3296
3295,1395
3295,3048
3296,2838
3296,3048
3298,260
3299,260
3299,3023
3299,3820
3300,260
3300,3932
3303,359
3303,4120
3310,3303
3311,3069
3311,3303
3312,3310
3313,3310
3313,3311
3313,4117
3314,3023
3314,3303
3314,3820
3315,1983
3315,3820
3315,5204
3317,3014
3318,3060
3318,3314
3319,3594
3319,3855
3320,1451
3320,3300
3321,3320
3321,3931
3322,1057
3322,3595
3322,3855
3324,3313
3324,3932
3326,791
3326,1843
3326,3074
3326,3863
3326,3864
3353,2839
3353,3074
3401,317
3401,1382
3401,2987
3401,4097
3402,1388
3402,3269
3594,1843
3595,3753
3601,444
3601,791
3601,1843
3601,3023
3601,3075
3601,3288
3603,3071
3603,3081
3603,3281
3603,3282
3603,3864
3603,3958
3631,1290
3636,2163
3636,3002
3636,3052
3637,3055
3637,3536
3638,3009
3640,3004
3640,3863
3642,2836
3642,3647
3647,1886
3647,3631
3648,3287
3820,3013
3855,260
3855,3069
3856,3292
3856,3636
3856,4012
3859,3638
3862,359
3862,2149
3862,2991
3862,2992
3862,3277
3863,3048
3863,3636
3864,2980
3866,1933
3866,3640
3867,1472
3867,2163
3867,3830
3867,3943
3867,3944
3926,1388
3926,3053
3930,359
3930,3137
3931,3300
3931,5020
3932,359
3932,1633
3932,3137
3939,3050
3939,3127
3940,3049
3940,3062
3970,3298
3977,3855
3977,3970
4012,626
4012,2836
4012,4100
4043,626
4043,1347
4100,4004
4100,4043
4116,1057
4116,3595
4116,3855
4117,3820
4118,3298
4119,3310
4119,3311
4120,4948
4123,1843
4123,3074
4123,3603
4124,30
4124,3603
4125,4123
4125,4124
4126,2838
4126,2995
4126,3274
4131,4126
4420,265
4943,3298
4943,3300
4944,3311
4944,3312
4945,982
4945,2991
4945,2992
4945,3013
4945,3275
4945,3280
4946,3298
4946,3855
4946,4117
4948,4131
5020,3930
5020,3932
5275,3855
5275,3930
5360,3060
5360,3313
5360,5365
5363,1843
5363,2149
5363,3277
5363,4945
5365,3315
5394,2989
5997,971
5997,3053
5997,3402
