topic,requires
148,861
148,2225
686,981
691,981
695,1189
730,1290
730,1634
773,715
786,3958
787,786
789,787
950,2679
951,950
951,4396
954,673
954,950
971,773
981,675
981,690
982,165
982,981
982,1088
1020,686
1020,691
1047,1166
1047,2083
1189,982
1189,3764
1191,695
1192,695
1192,1158
1260,950
1284,1260
1284,1702
1284,2789
1284,5555
1290,165
1290,673
1290,754
1290,1154
1296,1702
1296,4822
1341,705
1342,703
1343,705
1344,290
1344,1343
1344,2826
1344,2827
1344,2829
1388,1632
1388,3642
1392,3118
1392,5431
1393,1284
1393,2756
1395,3281
1402,1284
1407,3764
1409,1407
1416,1392
1416,1402
1673,954
1673,1167
1684,954
1684,3414
1695,2756
1702,5431
1714,775
1714,1284
1915,690
1915,786
1915,787
1915,1989
1915,3803
1916,2007
1989,73
2007,73
2007,375
2007,1153
2007,1989
2007,4026
2008,925
2008,1647
2008,2007
2009,1916
2009,2008
2011,1916
2011,2008
2024,1290
2024,1628
2083,148
2083,1167
2149,1388
2149,1395
2654,470
2654,2676
2726,2675
2727,2654
2727,2726
2736,2786
2745,2736
2745,4839
2754,2756
2754,3414
2754,5639
2756,1260
2756,5431
2757,951
2757,954
2757,1725
2757,3118
2761,240
2761,290
2761,2801
2836,730
2836,3631
2838,3282
2839,3284
2840,2149
2840,2991
2852,1344
2869,2727
2869,2877
2869,4818
2877,2674
2877,2736
2888,2285
2888,2889
2889,2689
2889,3363
2891,2984
2891,3363
2893,2756
2895,2893
2899,2895
2984,2689
2986,2271
2991,1388
2991,2838
2992,1388
2992,2839
3010,1290
3010,4386
3028,1388
3032,954
3032,5415
3032,5639
3071,183
3071,1290
3072,705
3072,3284
3073,132
3073,1290
3083,361
3083,436
3083,691
3118,232
3118,863
3118,1725
3136,1987
3136,2285
3136,2564
3136,3363
3140,73
3140,3083
3269,3010
3272,773
3280,1388
3280,3071
3281,183
3281,705
3281,1153
3281,1290
3282,183
3282,774
3282,1153
3282,1290
3284,183
3284,1153
3284,1290
3285,2839
3285,3072
3286,971
3286,3272
3362,3363
3362,3909
3363,322
3363,2475
3402,1388
3402,3269
3631,1290
3642,2836
3642,3647
3647,1886
3647,3631
3722,1060
3722,3083
3723,1020
3723,3140
3726,3140
3726,3722
3760,2331
3760,3362
3778,161
3778,3334
3778,4396
3779,248
3779,3778
3780,3779
3781,3779
3782,2801
3782,5396
3783,3779
3785,3779
3786,3779
3786,4257
3787,3782
3788,3779
3789,3779
3790,249
3790,2822
3790,3791
3791,3789
3793,3780
3795,5414
3796,45
3796,3795
3797,49
3797,950
3798,51
3798,5414
3799,2793
3799,3798
3800,3799
3802,3795
3803,787
3803,1245
3803,2792
3805,3803
3807,3805
3814,3798
3814,3807
3814,5420
5374,1047
5374,1915
5375,5374
5396,3780
5397,3781
5398,3783
5398,3785
5398,3786
5398,3787
5398,3788
5412,350
5412,3073
5414,3797
5415,2757
5415,5431
5420,3802
5431,951
5432,1296
5432,2756
5432,3414
5432,4925
5551,954
5551,5432
5639,161
5639,240
5639,786
5639,954
5639,1260
5639,1702
5639,2789
