topic,requires
46,73
46,1495
46,1976
47,45
47,735
48,672
48,685
48,1482
48,4393
49,4386
50,2829
50,4425
51,49
55,50
58,47
58,840
58,1459
58,2826
58,2827
60,58
230,2821
240,50
247,230
247,250
247,2823
248,247
249,247
250,2821
251,2828
251,4258
252,247
253,2675
253,2795
254,4426
290,47
290,818
290,1153
290,2183
642,675
642,690
642,2787
642,3958
646,642
646,1157
712,642
781,642
781,1725
927,642
927,1157
927,3710
948,2826
948,2827
948,4396
1976,47
1976,4028
2622,491
2622,4422
2622,4821
2622,4822
2627,1532
2627,1609
2627,1653
2627,2038
2627,2798
2627,3334
2627,5088
2641,2689
2642,32
2642,2622
2642,2655
2655,240
2655,2786
2673,2641
2674,2786
2675,2674
2675,2676
2676,2689
2677,2676
2678,1491
2678,1532
2678,1653
2678,2033
2678,2798
2678,3334
2679,454
2679,1886
2679,2627
2679,2678
2689,354
2689,2310
2689,3080
2735,2786
2737,2675
2737,4839
2786,2673
2787,4257
2788,2826
2788,2827
2788,2829
2789,46
2789,2827
2789,4392
2790,4252
2791,2798
2792,2787
2793,285
2793,312
2793,464
2793,1691
2793,3080
2793,4433
2795,2676
2795,2801
2795,4305
2798,2792
2799,253
2799,2807
2801,1157
2801,3411
2801,4422
2806,3414
2806,4327
2806,4924
2807,2801
2808,2795
2808,2807
2808,4302
2809,2737
2809,4638
2815,355
2815,2798
2817,248
2817,2641
2821,2790
2822,2821
2823,2821
2823,2830
2828,393
2828,394
2828,422
2828,451
2828,1422
2828,2829
2829,45
2829,2431
2830,2821
3027,1610
3027,1884
3027,2627
3080,2791
3080,3411
3082,94
3082,2677
3334,50
3334,818
3411,2798
3412,2791
3412,3411
3414,249
3414,2801
3414,4258
3421,2678
3421,2807
3421,4258
3422,2627
3422,2801
3422,3027
3422,4258
3422,4638
3424,2679
3425,3414
3425,4394
3425,4860
3426,3027
3426,3425
3428,4396
3428,4424
3526,3414
3526,4435
4252,60
4254,58
4254,464
4254,4392
4255,2822
4255,2823
4255,4254
4256,2790
4256,4254
4257,248
4257,4255
4257,4256
4258,2791
4258,4302
4302,230
4302,4255
4302,4256
4303,4257
4305,4303
4306,4305
4327,50
4342,250
4342,290
4342,1004
4342,1087
4342,1088
4342,1986
4342,2792
4342,2798
4342,2856
4342,3355
4343,4376
4344,250
4344,290
4344,1004
4344,1087
4344,1088
4344,2792
4344,2798
4344,2856
4344,3355
4376,4342
4386,48
4386,50
4386,280
4386,281
4386,305
4386,1007
4386,3833
4387,49
4387,55
4392,848
4392,1124
4392,1535
4392,4387
4393,668
4393,680
4393,896
4393,4425
4394,55
4394,3424
4396,4425
4399,4344
4422,252
4422,2793
4423,4258
4424,51
4424,3426
4425,46
4425,58
4425,1258
4426,2806
4426,4430
4427,2788
4427,2806
4429,2801
4430,49
4430,2828
4430,4327
4432,4429
4433,2677
4433,4927
4435,4432
4437,2807
4437,4302
4437,4432
4818,2674
4818,2677
4818,2735
4819,1167
4819,1610
4819,1882
4819,4826
4819,5088
4820,4837
4821,51
4821,252
4821,2815
4821,4837
4822,2815
4822,4820
4823,2655
4823,2674
4824,51
4824,4819
4825,4819
4825,4837
4826,2817
4832,2828
4832,4837
4837,4819
4839,4818
4860,654
4860,1487
4860,1707
4860,3424
4922,3414
4922,4928
4923,2034
4923,3414
4924,251
4924,1259
4924,2641
4924,4925
4925,2622
4925,2795
4925,2799
4925,4435
4927,2675
4927,3412
4928,4433
4941,253
4941,2737
4941,3414
4942,290
4942,1023
4942,2622
4942,2679
4942,2801
