topic-id,topic-code,topic-number,topic-name,unit,module,lesson-path,source-path,layer,nearest-integer-layer,course-map-index
58,MOP.1.1.1,1.1.1,Statements and Predicates,1. Logic,1.1. Statements,1. Logic/1.1. Statements/Lessons/1.1.1. Statements and Predicates.md,1. Logic/1.1. Statements/Source/1.1.1. Statements and Predicates,34,34,1
60,MOP.1.1.2,1.1.2,"The ""And"" and ""Or"" Connectives",1. Logic,1.1. Statements,1. Logic/1.1. Statements/Lessons/1.1.2. The -And- and -Or- Connectives.md,1. Logic/1.1. Statements/Source/1.1.2. The -And- and -Or- Connectives,35,35,2
4252,MOP.1.1.3,1.1.3,Truth Tables,1. Logic,1.1. Statements,1. Logic/1.1. Statements/Lessons/1.1.3. Truth Tables.md,1. Logic/1.1. Statements/Source/1.1.3. Truth Tables,36,36,3
2790,MOP.1.1.4,1.1.4,"The ""Not"" Connective",1. Logic,1.1. Statements,1. Logic/1.1. Statements/Lessons/1.1.4. The -Not- Connective.md,1. Logic/1.1. Statements/Source/1.1.4. The -Not- Connective,37,37,4
2821,MOP.1.1.5,1.1.5,Logical Equivalence,1. Logic,1.1. Statements,1. Logic/1.1. Statements/Lessons/1.1.5. Logical Equivalence.md,1. Logic/1.1. Statements/Source/1.1.5. Logical Equivalence,38,38,5
2830,MOP.1.1.6,1.1.6,Logical Associative and Commutative Laws,1. Logic,1.1. Statements,1. Logic/1.1. Statements/Lessons/1.1.6. Logical Associative and Commutative Laws.md,1. Logic/1.1. Statements/Source/1.1.6. Logical Associative and Commutative Laws,39,39,6
2822,MOP.1.1.7,1.1.7,The Distributive Laws,1. Logic,1.1. Statements,1. Logic/1.1. Statements/Lessons/1.1.7. The Distributive Laws.md,1. Logic/1.1. Statements/Source/1.1.7. The Distributive Laws,39,39,7
2823,MOP.1.1.8,1.1.8,The Absorption Laws,1. Logic,1.1. Statements,1. Logic/1.1. Statements/Lessons/1.1.8. The Absorption Laws.md,1. Logic/1.1. Statements/Source/1.1.8. The Absorption Laws,40,40,8
230,MOP.1.1.9,1.1.9,De Morgan's Laws for Logic,1. Logic,1.1. Statements,1. Logic/1.1. Statements/Lessons/1.1.9. De Morgan's Laws for Logic.md,1. Logic/1.1. Statements/Source/1.1.9. De Morgan's Laws for Logic,39,39,9
250,MOP.1.2.1,1.2.1,Conditional Statements,1. Logic,1.2. Implications and Biconditionals,1. Logic/1.2. Implications and Biconditionals/Lessons/1.2.1. Conditional Statements.md,1. Logic/1.2. Implications and Biconditionals/Source/1.2.1. Conditional Statements,39,39,10
247,MOP.1.2.2,1.2.2,Logical Equivalence with Conditional Statements,1. Logic,1.2. Implications and Biconditionals,1. Logic/1.2. Implications and Biconditionals/Lessons/1.2.2. Logical Equivalence with Conditional Statements.md,1. Logic/1.2. Implications and Biconditionals/Source/1.2.2. Logical Equivalence with Conditional Statements,41,41,11
248,MOP.1.2.3,1.2.3,Biconditional Statements,1. Logic,1.2. Implications and Biconditionals,1. Logic/1.2. Implications and Biconditionals/Lessons/1.2.3. Biconditional Statements.md,1. Logic/1.2. Implications and Biconditionals/Source/1.2.3. Biconditional Statements,42,42,12
249,MOP.1.2.4,1.2.4,Tautologies and Contradictions,1. Logic,1.2. Implications and Biconditionals,1. Logic/1.2. Implications and Biconditionals/Lessons/1.2.4. Tautologies and Contradictions.md,1. Logic/1.2. Implications and Biconditionals/Source/1.2.4. Tautologies and Contradictions,42,42,13
252,MOP.1.2.5,1.2.5,"Converse, Inverse, and Contrapositive",1. Logic,1.2. Implications and Biconditionals,"1. Logic/1.2. Implications and Biconditionals/Lessons/1.2.5. Converse, Inverse, and Contrapositive.md","1. Logic/1.2. Implications and Biconditionals/Source/1.2.5. Converse, Inverse, and Contrapositive",42,42,14
4254,MOP.1.3.1,1.3.1,Truth Sets of Predicates,1. Logic,1.3. Predicates,1. Logic/1.3. Predicates/Lessons/1.3.1. Truth Sets of Predicates.md,1. Logic/1.3. Predicates/Source/1.3.1. Truth Sets of Predicates,66,66,15
4255,MOP.1.3.2,1.3.2,"The ""And"" and ""Or"" Connectives With Predicates",1. Logic,1.3. Predicates,1. Logic/1.3. Predicates/Lessons/1.3.2. The -And- and -Or- Connectives With Predicates.md,1. Logic/1.3. Predicates/Source/1.3.2. The -And- and -Or- Connectives With Predicates,67,67,16
4256,MOP.1.3.3,1.3.3,"The ""Not"" Connective With Predicates",1. Logic,1.3. Predicates,1. Logic/1.3. Predicates/Lessons/1.3.3. The -Not- Connective With Predicates.md,1. Logic/1.3. Predicates/Source/1.3.3. The -Not- Connective With Predicates,67,67,17
4302,MOP.1.3.4,1.3.4,Simplifying Predicate Expressions Using De Morgan's Laws,1. Logic,1.3. Predicates,1. Logic/1.3. Predicates/Lessons/1.3.4. Simplifying Predicate Expressions Using De Morgan's Laws.md,1. Logic/1.3. Predicates/Source/1.3.4. Simplifying Predicate Expressions Using De Morgan's Laws,68,68,18
4257,MOP.1.3.5,1.3.5,Conditional Statements With Predicates,1. Logic,1.3. Predicates,1. Logic/1.3. Predicates/Lessons/1.3.5. Conditional Statements With Predicates.md,1. Logic/1.3. Predicates/Source/1.3.5. Conditional Statements With Predicates,68,68,19
2793,MOP.1.3.6,1.3.6,Necessary and Sufficient Conditions,1. Logic,1.3. Predicates,1. Logic/1.3. Predicates/Lessons/1.3.6. Necessary and Sufficient Conditions.md,1. Logic/1.3. Predicates/Source/1.3.6. Necessary and Sufficient Conditions,82,82,20
4422,MOP.1.3.7,1.3.7,Grammatical Constructions for Conditional Statements,1. Logic,1.3. Predicates,1. Logic/1.3. Predicates/Lessons/1.3.7. Grammatical Constructions for Conditional Statements.md,1. Logic/1.3. Predicates/Source/1.3.7. Grammatical Constructions for Conditional Statements,83,83,21
251,MOP.1.3.8,1.3.8,Translating Between Logical and Set Operations,1. Logic,1.3. Predicates,1. Logic/1.3. Predicates/Lessons/1.3.8. Translating Between Logical and Set Operations.md,1. Logic/1.3. Predicates/Source/1.3.8. Translating Between Logical and Set Operations,74,74,22
