topic,requires
290,47
290,818
290,1153
290,2183
466,1061
602,621
602,2976
614,2740
649,1924
650,281
650,1115
650,3387
876,237
876,1179
876,2023
876,2466
877,317
877,906
877,1061
878,466
878,906
878,2536
879,614
880,614
880,895
880,898
881,2741
882,2741
882,6679
883,2741
883,6680
906,3215
1163,876
1164,877
1179,466
1712,2023
1712,2722
1712,6678
1713,1021
1713,1179
1713,3860
1788,1076
1788,2023
1788,6680
1824,466
1824,848
1824,871
1824,1124
1824,3860
1845,883
1845,1788
1845,6701
1880,2543
1880,2548
1880,3560
1924,876
1925,466
1925,2548
1989,73
2023,620
2023,2274
2023,3215
2023,3664
2086,906
2086,1181
2086,1729
2086,4139
2087,1171
2087,1969
2087,3238
2088,2087
2521,1179
2521,1950
2521,1951
2522,1164
2523,1880
2524,880
2524,1076
2525,879
2525,2524
2526,881
2526,882
2526,883
2526,2525
2527,879
2527,880
2527,2973
2528,614
2529,898
2529,2854
2529,4004
2529,6669
2530,1060
2530,1062
2530,6402
2531,906
2531,1063
2531,2530
2531,2538
2532,3220
2533,2532
2536,1899
2537,967
2537,2529
2538,2529
2540,2531
2540,2548
2542,36
2542,2548
2543,36
2543,1181
2543,1989
2544,879
2544,2528
2545,880
2545,2528
2546,881
2546,882
2546,883
2546,2544
2546,2545
2546,6704
2547,152
2547,1181
2547,1908
2547,2548
2548,906
2548,6707
2549,1181
2549,2548
2740,1925
2740,2547
2740,2549
2740,6678
2741,879
2741,880
2742,2548
2760,165
2760,2841
2818,1738
2818,2088
2818,2738
2819,898
2819,2088
2819,3574
2854,463
2854,2153
2973,967
2973,6679
2973,6680
2976,57
2976,339
2976,1046
2976,1181
3179,315
3179,466
3179,1140
3184,2976
3186,2086
3186,2548
3187,317
3187,2973
3187,6691
3188,1792
3188,2088
3188,3344
3189,2818
3189,2819
3189,6679
3189,6680
3190,3189
3190,3232
3191,6378
3195,2097
3195,2100
3195,2126
3195,3224
3196,416
3196,6709
3197,6709
3198,1172
3198,3196
3198,3197
3198,6382
3198,6669
3209,6704
3211,879
3211,1259
3211,6711
3219,1903
3219,3276
3219,3355
3220,1903
3220,3184
3220,3351
3220,3355
3231,3191
3231,3551
3232,2088
3232,6718
3235,1179
3235,2023
3235,3576
3237,865
3237,2086
3237,6374
3237,6678
3238,876
3238,3237
3239,2087
3239,3242
3240,2818
3240,3239
3241,2746
3241,2819
3241,3239
3242,3188
3242,6377
3245,2086
3245,3668
3246,3668
3247,3668
3248,3668
3276,2976
3350,3219
3350,3220
3350,3352
3351,3276
3352,3351
3352,3684
3551,1163
3551,3184
3628,338
3628,445
3628,3179
3635,3186
3668,602
3672,876
3673,3672
3674,1163
3693,3235
3693,3582
3860,287
3860,365
3860,459
3860,2023
6353,2521
6354,2522
6354,3179
6355,1255
6355,1691
6355,3179
6364,354
6364,1138
6364,3664
6367,1179
6367,2547
6369,6402
6370,3837
6370,3839
6370,6402
6372,317
6372,333
6372,2530
6373,6396
6374,2086
6374,2547
6375,36
6375,1972
6375,2016
6376,2088
6376,6375
6377,2533
6377,3188
6378,3240
6378,3241
6378,4169
6378,6380
6379,3240
6380,3241
6380,6379
6382,6709
6383,6382
6383,6669
6386,883
6386,3196
6386,3197
6386,6383
6386,6720
6396,3668
6397,3247
6397,3248
6399,2854
6399,3246
6400,2548
6400,3245
6400,3635
6402,2537
6402,6682
6402,6717
6669,290
6669,612
6669,2002
6669,2003
6669,2760
6669,3334
6669,3831
6669,4386
6678,906
6678,1047
6678,1179
6678,6092
6679,6678
6680,6678
6685,1088
6685,3246
6685,3247
6685,3248
6685,6373
6686,912
6686,6396
6689,912
6689,6373
6690,967
6690,6376
6691,1744
6691,2512
6691,6690
6692,877
6692,1164
6692,6355
6693,1712
6693,3258
6699,2722
6699,3235
6699,6364
6700,877
6700,1713
6700,6678
6701,1788
6704,1775
6704,2527
6707,650
6709,1827
6709,3195
6710,6711
6711,880
6711,1730
6711,2742
6717,626
6717,2529
6717,6669
6718,2531
6718,6370
6719,2740
6719,6727
6720,2526
6721,6386
6722,2742
6722,6721
6726,881
6726,1845
6727,2523
6728,2540
6728,6718
