topic-id,topic-code,topic-number,topic-name,unit,module,lesson-path,source-path,layer,nearest-integer-layer,course-map-index
466,DEQ.1.1.1,1.1.1,Solving First-Order ODEs Using Separation of Variables,1. First-Order Differential Equations,1.1. Techniques for Solving First-Order ODEs,1. First-Order Differential Equations/1.1. Techniques for Solving First-Order ODEs/Lessons/1.1.1. Solving First-Order ODEs Using Separation of Variables.md,1. First-Order Differential Equations/1.1. Techniques for Solving First-Order ODEs/Source/1.1.1. Solving First-Order ODEs Using Separation of Variables,72,72,1
1179,DEQ.1.1.2,1.1.2,Solving First-Order IVPs Using Separation of Variables,1. First-Order Differential Equations,1.1. Techniques for Solving First-Order ODEs,1. First-Order Differential Equations/1.1. Techniques for Solving First-Order ODEs/Lessons/1.1.2. Solving First-Order IVPs Using Separation of Variables.md,1. First-Order Differential Equations/1.1. Techniques for Solving First-Order ODEs/Source/1.1.2. Solving First-Order IVPs Using Separation of Variables,73,73,2
906,DEQ.1.1.3,1.1.3,Introduction to First-Order Linear ODEs,1. First-Order Differential Equations,1.1. Techniques for Solving First-Order ODEs,1. First-Order Differential Equations/1.1. Techniques for Solving First-Order ODEs/Lessons/1.1.3. Introduction to First-Order Linear ODEs.md,1. First-Order Differential Equations/1.1. Techniques for Solving First-Order ODEs/Source/1.1.3. Introduction to First-Order Linear ODEs,59,59,3
6678,DEQ.1.1.4,1.1.4,General Solutions of First-Order Linear ODEs,1. First-Order Differential Equations,1.1. Techniques for Solving First-Order ODEs,1. First-Order Differential Equations/1.1. Techniques for Solving First-Order ODEs/Lessons/1.1.4. General Solutions of First-Order Linear ODEs.md,1. First-Order Differential Equations/1.1. Techniques for Solving First-Order ODEs/Source/1.1.4. General Solutions of First-Order Linear ODEs,74,74,4
6679,DEQ.1.1.5,1.1.5,Solving First-Order Linear ODEs With Exponential Forcing,1. First-Order Differential Equations,1.1. Techniques for Solving First-Order ODEs,1. First-Order Differential Equations/1.1. Techniques for Solving First-Order ODEs/Lessons/1.1.5. Solving First-Order Linear ODEs With Exponential Forcing.md,1. First-Order Differential Equations/1.1. Techniques for Solving First-Order ODEs/Source/1.1.5. Solving First-Order Linear ODEs With Exponential Forcing,75,75,5
6680,DEQ.1.1.6,1.1.6,Solving First-Order Linear ODEs With Sinusoidal Forcing,1. First-Order Differential Equations,1.1. Techniques for Solving First-Order ODEs,1. First-Order Differential Equations/1.1. Techniques for Solving First-Order ODEs/Lessons/1.1.6. Solving First-Order Linear ODEs With Sinusoidal Forcing.md,1. First-Order Differential Equations/1.1. Techniques for Solving First-Order ODEs/Source/1.1.6. Solving First-Order Linear ODEs With Sinusoidal Forcing,75,75,6
877,DEQ.1.1.7,1.1.7,Solving First-Order Linear ODEs Using Integrating Factors,1. First-Order Differential Equations,1.1. Techniques for Solving First-Order ODEs,1. First-Order Differential Equations/1.1. Techniques for Solving First-Order ODEs/Lessons/1.1.7. Solving First-Order Linear ODEs Using Integrating Factors.md,1. First-Order Differential Equations/1.1. Techniques for Solving First-Order ODEs/Source/1.1.7. Solving First-Order Linear ODEs Using Integrating Factors,72,72,7
3179,DEQ.1.1.8,1.1.8,Solving First-Order ODEs by Substitution,1. First-Order Differential Equations,1.1. Techniques for Solving First-Order ODEs,1. First-Order Differential Equations/1.1. Techniques for Solving First-Order ODEs/Lessons/1.1.8. Solving First-Order ODEs by Substitution.md,1. First-Order Differential Equations/1.1. Techniques for Solving First-Order ODEs/Source/1.1.8. Solving First-Order ODEs by Substitution,73,73,8
3628,DEQ.1.1.9,1.1.9,Further Solving First-Order ODEs by Substitution,1. First-Order Differential Equations,1.1. Techniques for Solving First-Order ODEs,1. First-Order Differential Equations/1.1. Techniques for Solving First-Order ODEs/Lessons/1.1.9. Further Solving First-Order ODEs by Substitution.md,1. First-Order Differential Equations/1.1. Techniques for Solving First-Order ODEs/Source/1.1.9. Further Solving First-Order ODEs by Substitution,74,74,9
1164,DEQ.1.1.10,1.1.10,Reducing ODEs to First-Order Linear by Substitution,1. First-Order Differential Equations,1.1. Techniques for Solving First-Order ODEs,1. First-Order Differential Equations/1.1. Techniques for Solving First-Order ODEs/Lessons/1.1.10. Reducing ODEs to First-Order Linear by Substitution.md,1. First-Order Differential Equations/1.1. Techniques for Solving First-Order ODEs/Source/1.1.10. Reducing ODEs to First-Order Linear by Substitution,73,73,10
