topic,requires
42,863
42,1777
46,73
46,1495
46,1976
47,45
47,735
48,672
48,685
48,1482
48,4393
49,4386
50,2829
50,4425
55,50
58,47
58,840
58,1459
58,2826
58,2827
148,861
148,2225
149,148
149,1167
151,1047
151,3029
907,1959
990,1375
990,1869
991,990
1047,1166
1047,2083
1048,151
1049,1374
1373,151
1373,4638
1374,1373
1374,1806
1374,1904
1375,866
1376,803
1376,1106
1376,1277
1726,863
1726,3029
1727,1726
1728,1049
1730,934
1731,1726
1732,1728
1733,1049
1734,1732
1735,153
1735,1777
1769,153
1770,1769
1771,1169
1771,1770
1771,1777
1772,1771
1772,3029
1773,1772
1774,1771
1774,2201
1775,152
1775,1165
1776,153
1776,1775
1777,232
1777,862
1779,1727
1779,1777
1780,1779
1780,2089
1781,1780
1782,155
1782,1047
1782,1780
1799,1920
1805,177
1805,1799
1806,245
1806,1376
1807,245
1807,1805
1808,408
1808,1806
1808,1807
1810,1285
1810,1806
1810,1807
1849,47
1849,175
1849,177
1849,375
1849,422
1850,155
1850,1852
1850,4077
1851,1374
1851,1849
1852,1733
1852,1851
1853,1807
1853,1851
1853,4392
1854,155
1854,1733
1854,4077
1855,1861
1855,4077
1856,1854
1856,1855
1861,1852
1864,1855
1865,1864
1866,1855
1867,1866
1867,2623
1868,1856
1868,1867
1869,1730
1869,1868
1904,1048
1906,33
1906,140
1906,146
1906,942
1906,1851
1906,3334
1907,612
1907,3835
1907,4077
1908,1861
1908,3835
1909,1855
1909,1908
1910,1928
1911,1120
1911,1195
1911,1226
1913,1087
1913,1374
1913,1911
1920,1376
1928,864
1928,1195
1928,1728
1928,1865
1960,1868
1960,1959
1961,1864
1961,2211
1962,1869
1962,1889
1962,1960
1962,1963
1963,1867
1963,1959
1964,757
1964,990
1964,1771
1965,1977
1966,1964
1967,907
1967,1961
1968,991
1968,1910
1969,1725
1969,1968
1970,1968
1970,1977
1971,1965
1971,1970
1972,427
1972,729
1972,1725
1972,1964
1976,47
1976,4028
1977,991
1977,1964
2014,1196
2014,1928
2014,1961
2015,149
2015,1196
2015,2703
2016,991
2016,2015
2017,867
2017,932
2018,2017
2018,3574
2019,1735
2019,1971
2019,2018
2083,148
2083,1167
2089,1727
2089,1731
2094,1851
2095,2094
2096,317
2096,1038
2096,2094
2096,3835
2096,4387
2097,2095
2097,2096
2098,2095
2098,2096
2099,2094
2100,1161
2100,2096
2100,2099
2101,1278
2101,2095
2102,1855
2102,2099
2103,1864
2103,2095
2103,2099
2104,2100
2104,2103
2105,1023
2105,1774
2105,1964
2105,2103
2122,1295
2122,2101
2122,2102
2123,2825
2124,232
2124,864
2124,1196
2124,2123
2125,2124
2125,2211
2125,3118
2125,3776
2126,2098
2126,2123
2126,2975
2127,2103
2127,2122
2127,2623
2128,2123
2128,2127
2129,2128
2129,4319
2153,766
2153,2101
2166,42
2166,155
2166,3818
2167,2166
2168,2129
2168,2167
2169,2166
2169,3753
2170,736
2170,2169
2171,2169
2200,1963
2200,2102
2200,4319
2201,1287
2201,1772
2211,1959
2539,1807
2623,1850
2623,1855
2703,175
2703,227
2738,1965
2738,3776
2759,673
2759,1866
2759,3212
2825,1865
2825,2103
2825,2122
2828,393
2828,394
2828,422
2828,451
2828,1422
2828,2829
2829,45
2829,2431
2927,340
2927,3652
3029,149
3114,1735
3115,1971
3115,3652
3118,232
3118,863
3118,1725
3119,1971
3119,2127
3119,3335
3120,2125
3120,3119
3121,232
3121,1196
3121,1849
3121,3334
3121,4387
3122,1910
3122,3123
3123,3118
3123,3121
3124,3122
3124,3824
3126,3119
3126,3122
3127,1964
3127,2828
3127,3123
3129,871
3129,3126
3131,853
3131,3127
3131,3335
3131,4238
3132,3819
3133,3278
3134,2167
3134,3133
3135,2167
3171,1964
3171,2095
3171,3123
3212,1865
3212,1909
3278,3132
3334,50
3334,818
3335,1968
3335,3118
3335,4319
3336,1125
3336,3129
3336,3824
3574,2016
3629,1969
3629,2738
3629,3114
3633,2738
3633,3836
3634,3633
3639,3115
3645,1351
3645,1960
3645,1963
3645,3836
3652,3629
3776,1725
3818,2124
3819,3131
3835,1906
3836,1869
3852,1962
3852,3836
4077,1853
4238,1977
4238,3119
4238,3122
4238,3171
4319,2105
4386,48
4386,50
4386,280
4386,281
4386,305
4386,1007
4386,3833
4387,49
4387,55
4392,848
4392,1124
4392,1535
4392,4387
4393,668
4393,680
4393,896
4393,4425
4425,46
4425,58
4425,1258
