topic-id,topic-code,topic-number,topic-name,unit,module,lesson-path,source-path,layer,nearest-integer-layer,course-map-index
47,LAL.1.1.1,1.1.1,Special Sets,1. Preliminaries,1.1. Introduction to Set Theory,1. Preliminaries/1.1. Introduction to Set Theory/Lessons/1.1.1. Special Sets.md,1. Preliminaries/1.1. Introduction to Set Theory/Source/1.1.1. Special Sets,33,33,1
58,LAL.1.1.2,1.1.2,Statements and Predicates,1. Preliminaries,1.1. Introduction to Set Theory,1. Preliminaries/1.1. Introduction to Set Theory/Lessons/1.1.2. Statements and Predicates.md,1. Preliminaries/1.1. Introduction to Set Theory/Source/1.1.2. Statements and Predicates,34,34,2
1976,LAL.1.1.3,1.1.3,Equivalent Sets,1. Preliminaries,1.1. Introduction to Set Theory,1. Preliminaries/1.1. Introduction to Set Theory/Lessons/1.1.3. Equivalent Sets.md,1. Preliminaries/1.1. Introduction to Set Theory/Source/1.1.3. Equivalent Sets,34,34,3
46,LAL.1.1.4,1.1.4,The Constructive Definition of a Set,1. Preliminaries,1.1. Introduction to Set Theory,1. Preliminaries/1.1. Introduction to Set Theory/Lessons/1.1.4. The Constructive Definition of a Set.md,1. Preliminaries/1.1. Introduction to Set Theory/Source/1.1.4. The Constructive Definition of a Set,48,48,4
4425,LAL.1.1.5,1.1.5,The Conditional Definition of a Set,1. Preliminaries,1.1. Introduction to Set Theory,1. Preliminaries/1.1. Introduction to Set Theory/Lessons/1.1.5. The Conditional Definition of a Set.md,1. Preliminaries/1.1. Introduction to Set Theory/Source/1.1.5. The Conditional Definition of a Set,59,59,5
4393,LAL.1.1.6,1.1.6,Describing Sets Using Set-Builder Notation,1. Preliminaries,1.1. Introduction to Set Theory,1. Preliminaries/1.1. Introduction to Set Theory/Lessons/1.1.6. Describing Sets Using Set-Builder Notation.md,1. Preliminaries/1.1. Introduction to Set Theory/Source/1.1.6. Describing Sets Using Set-Builder Notation,60,60,6
4392,LAL.1.1.7,1.1.7,Describing Planar Regions Using Set-Builder Notation,1. Preliminaries,1.1. Introduction to Set Theory,1. Preliminaries/1.1. Introduction to Set Theory/Lessons/1.1.7. Describing Planar Regions Using Set-Builder Notation.md,1. Preliminaries/1.1. Introduction to Set Theory/Source/1.1.7. Describing Planar Regions Using Set-Builder Notation,65,65,7
48,LAL.1.1.8,1.1.8,Cardinality of Finite Sets,1. Preliminaries,1.1. Introduction to Set Theory,1. Preliminaries/1.1. Introduction to Set Theory/Lessons/1.1.8. Cardinality of Finite Sets.md,1. Preliminaries/1.1. Introduction to Set Theory/Source/1.1.8. Cardinality of Finite Sets,61,61,8
4386,LAL.1.1.9,1.1.9,Infinite Sets,1. Preliminaries,1.1. Introduction to Set Theory,1. Preliminaries/1.1. Introduction to Set Theory/Lessons/1.1.9. Infinite Sets.md,1. Preliminaries/1.1. Introduction to Set Theory/Source/1.1.9. Infinite Sets,62,62,9
50,LAL.1.1.10,1.1.10,Subsets,1. Preliminaries,1.1. Introduction to Set Theory,1. Preliminaries/1.1. Introduction to Set Theory/Lessons/1.1.10. Subsets.md,1. Preliminaries/1.1. Introduction to Set Theory/Source/1.1.10. Subsets,60,60,10
2828,LAL.1.2.1,1.2.1,The Difference of Sets,1. Preliminaries,1.2. Set Operations,1. Preliminaries/1.2. Set Operations/Lessons/1.2.1. The Difference of Sets.md,1. Preliminaries/1.2. Set Operations/Source/1.2.1. The Difference of Sets,45,45,11
2829,LAL.1.2.2,1.2.2,Set Complements,1. Preliminaries,1.2. Set Operations,1. Preliminaries/1.2. Set Operations/Lessons/1.2.2. Set Complements.md,1. Preliminaries/1.2. Set Operations/Source/1.2.2. Set Complements,23,23,12
49,LAL.1.2.3,1.2.3,The Cartesian Product,1. Preliminaries,1.2. Set Operations,1. Preliminaries/1.2. Set Operations/Lessons/1.2.3. The Cartesian Product.md,1. Preliminaries/1.2. Set Operations/Source/1.2.3. The Cartesian Product,63,63,13
4387,LAL.1.2.4,1.2.4,Visualizing Cartesian Products,1. Preliminaries,1.2. Set Operations,1. Preliminaries/1.2. Set Operations/Lessons/1.2.4. Visualizing Cartesian Products.md,1. Preliminaries/1.2. Set Operations/Source/1.2.4. Visualizing Cartesian Products,64,64,14
55,LAL.1.2.5,1.2.5,Indexed Sets,1. Preliminaries,1.2. Set Operations,1. Preliminaries/1.2. Set Operations/Lessons/1.2.5. Indexed Sets.md,1. Preliminaries/1.2. Set Operations/Source/1.2.5. Indexed Sets,61,61,15
3334,LAL.1.2.6,1.2.6,Sets and Functions,1. Preliminaries,1.2. Set Operations,1. Preliminaries/1.2. Set Operations/Lessons/1.2.6. Sets and Functions.md,1. Preliminaries/1.2. Set Operations/Source/1.2.6. Sets and Functions,61,61,16
1376,LAL.1.3.1,1.3.1,The Vector Equation of a Line,1. Preliminaries,1.3. Vector Geometry,1. Preliminaries/1.3. Vector Geometry/Lessons/1.3.1. The Vector Equation of a Line.md,1. Preliminaries/1.3. Vector Geometry/Source/1.3.1. The Vector Equation of a Line,61,61,17
1920,LAL.1.3.2,1.3.2,The Parametric Equations of a Line,1. Preliminaries,1.3. Vector Geometry,1. Preliminaries/1.3. Vector Geometry/Lessons/1.3.2. The Parametric Equations of a Line.md,1. Preliminaries/1.3. Vector Geometry/Source/1.3.2. The Parametric Equations of a Line,62,62,18
1799,LAL.1.3.3,1.3.3,The Cartesian Equation of a Line,1. Preliminaries,1.3. Vector Geometry,1. Preliminaries/1.3. Vector Geometry/Lessons/1.3.3. The Cartesian Equation of a Line.md,1. Preliminaries/1.3. Vector Geometry/Source/1.3.3. The Cartesian Equation of a Line,63,63,19
1805,LAL.1.3.4,1.3.4,The Vector Equation of a Plane,1. Preliminaries,1.3. Vector Geometry,1. Preliminaries/1.3. Vector Geometry/Lessons/1.3.4. The Vector Equation of a Plane.md,1. Preliminaries/1.3. Vector Geometry/Source/1.3.4. The Vector Equation of a Plane,64,64,20
1807,LAL.1.3.5,1.3.5,The Cartesian Equation of a Plane,1. Preliminaries,1.3. Vector Geometry,1. Preliminaries/1.3. Vector Geometry/Lessons/1.3.5. The Cartesian Equation of a Plane.md,1. Preliminaries/1.3. Vector Geometry/Source/1.3.5. The Cartesian Equation of a Plane,65,65,21
1806,LAL.1.3.6,1.3.6,The Parametric Equations of a Plane,1. Preliminaries,1.3. Vector Geometry,1. Preliminaries/1.3. Vector Geometry/Lessons/1.3.6. The Parametric Equations of a Plane.md,1. Preliminaries/1.3. Vector Geometry/Source/1.3.6. The Parametric Equations of a Plane,64,64,22
2539,LAL.1.3.7,1.3.7,The Intersection of Two Planes,1. Preliminaries,1.3. Vector Geometry,1. Preliminaries/1.3. Vector Geometry/Lessons/1.3.7. The Intersection of Two Planes.md,1. Preliminaries/1.3. Vector Geometry/Source/1.3.7. The Intersection of Two Planes,66,66,23
1810,LAL.1.3.8,1.3.8,The Shortest Distance Between a Plane and a Point,1. Preliminaries,1.3. Vector Geometry,1. Preliminaries/1.3. Vector Geometry/Lessons/1.3.8. The Shortest Distance Between a Plane and a Point.md,1. Preliminaries/1.3. Vector Geometry/Source/1.3.8. The Shortest Distance Between a Plane and a Point,66,66,24
1808,LAL.1.3.9,1.3.9,The Intersection Between a Line and a Plane,1. Preliminaries,1.3. Vector Geometry,1. Preliminaries/1.3. Vector Geometry/Lessons/1.3.9. The Intersection Between a Line and a Plane.md,1. Preliminaries/1.3. Vector Geometry/Source/1.3.9. The Intersection Between a Line and a Plane,66,66,25
1775,LAL.2.1.1,2.1.1,Cramer's Rule for 2x2 Systems of Linear Equations,2. Matrices,2.1. Determinants,2. Matrices/2.1. Determinants/Lessons/2.1.1. Cramer's Rule for 2x2 Systems of Linear Equations.md,2. Matrices/2.1. Determinants/Source/2.1.1. Cramer's Rule for 2x2 Systems of Linear Equations,56,56,26
1776,LAL.2.1.2,2.1.2,Cramer’s Rule for 3x3 Systems,2. Matrices,2.1. Determinants,2. Matrices/2.1. Determinants/Lessons/2.1.2. Cramer’s Rule for 3x3 Systems.md,2. Matrices/2.1. Determinants/Source/2.1.2. Cramer’s Rule for 3x3 Systems,63,63,27
1769,LAL.2.1.3,2.1.3,The Determinant of an NxN Matrix,2. Matrices,2.1. Determinants,2. Matrices/2.1. Determinants/Lessons/2.1.3. The Determinant of an NxN Matrix.md,2. Matrices/2.1. Determinants/Source/2.1.3. The Determinant of an NxN Matrix,63,63,28
1770,LAL.2.1.4,2.1.4,Finding Determinants Using Laplace Expansions,2. Matrices,2.1. Determinants,2. Matrices/2.1. Determinants/Lessons/2.1.4. Finding Determinants Using Laplace Expansions.md,2. Matrices/2.1. Determinants/Source/2.1.4. Finding Determinants Using Laplace Expansions,64,64,29
1771,LAL.2.1.5,2.1.5,Basic Properties of Determinants,2. Matrices,2.1. Determinants,2. Matrices/2.1. Determinants/Lessons/2.1.5. Basic Properties of Determinants.md,2. Matrices/2.1. Determinants/Source/2.1.5. Basic Properties of Determinants,65,65,30
1774,LAL.2.1.6,2.1.6,Further Properties of Determinants,2. Matrices,2.1. Determinants,2. Matrices/2.1. Determinants/Lessons/2.1.6. Further Properties of Determinants.md,2. Matrices/2.1. Determinants/Source/2.1.6. Further Properties of Determinants,68,68,31
1772,LAL.2.1.7,2.1.7,Row and Column Operations on Determinants,2. Matrices,2.1. Determinants,2. Matrices/2.1. Determinants/Lessons/2.1.7. Row and Column Operations on Determinants.md,2. Matrices/2.1. Determinants/Source/2.1.7. Row and Column Operations on Determinants,66,66,32
2201,LAL.2.1.8,2.1.8,Conditions When a Determinant Equals Zero,2. Matrices,2.1. Determinants,2. Matrices/2.1. Determinants/Lessons/2.1.8. Conditions When a Determinant Equals Zero.md,2. Matrices/2.1. Determinants/Source/2.1.8. Conditions When a Determinant Equals Zero,67,67,33
1773,LAL.2.1.9,2.1.9,Finding Determinants Using Row and Column Operations,2. Matrices,2.1. Determinants,2. Matrices/2.1. Determinants/Lessons/2.1.9. Finding Determinants Using Row and Column Operations.md,2. Matrices/2.1. Determinants/Source/2.1.9. Finding Determinants Using Row and Column Operations,67,67,34
1735,LAL.2.1.10,2.1.10,Partitioned and Block Matrices,2. Matrices,2.1. Determinants,2. Matrices/2.1. Determinants/Lessons/2.1.10. Partitioned and Block Matrices.md,2. Matrices/2.1. Determinants/Source/2.1.10. Partitioned and Block Matrices,63,63,35
148,LAL.2.2.1,2.2.1,Systems of Equations as Augmented Matrices,2. Matrices,2.2. Gaussian Elimination,2. Matrices/2.2. Gaussian Elimination/Lessons/2.2.1. Systems of Equations as Augmented Matrices.md,2. Matrices/2.2. Gaussian Elimination/Source/2.2.1. Systems of Equations as Augmented Matrices,36,36,36
2083,LAL.2.2.2,2.2.2,Row Echelon Form,2. Matrices,2.2. Gaussian Elimination,2. Matrices/2.2. Gaussian Elimination/Lessons/2.2.2. Row Echelon Form.md,2. Matrices/2.2. Gaussian Elimination/Source/2.2.2. Row Echelon Form,37,37,37
1047,LAL.2.2.3,2.2.3,Solving Systems of Equations Using Back Substitution,2. Matrices,2.2. Gaussian Elimination,2. Matrices/2.2. Gaussian Elimination/Lessons/2.2.3. Solving Systems of Equations Using Back Substitution.md,2. Matrices/2.2. Gaussian Elimination/Source/2.2.3. Solving Systems of Equations Using Back Substitution,57,57,38
149,LAL.2.2.4,2.2.4,Elementary Row Operations,2. Matrices,2.2. Gaussian Elimination,2. Matrices/2.2. Gaussian Elimination/Lessons/2.2.4. Elementary Row Operations.md,2. Matrices/2.2. Gaussian Elimination/Source/2.2.4. Elementary Row Operations,37,37,39
3029,LAL.2.2.5,2.2.5,Creating Rows or Columns Containing Zeros Using Gaussian Elimination,2. Matrices,2.2. Gaussian Elimination,2. Matrices/2.2. Gaussian Elimination/Lessons/2.2.5. Creating Rows or Columns Containing Zeros Using Gaussian Elimination.md,2. Matrices/2.2. Gaussian Elimination/Source/2.2.5. Creating Rows or Columns Containing Zeros Using Gaussian Elimination,38,38,40
151,LAL.2.2.6,2.2.6,Solving 2x2 Systems of Equations Using Gaussian Elimination,2. Matrices,2.2. Gaussian Elimination,2. Matrices/2.2. Gaussian Elimination/Lessons/2.2.6. Solving 2x2 Systems of Equations Using Gaussian Elimination.md,2. Matrices/2.2. Gaussian Elimination/Source/2.2.6. Solving 2x2 Systems of Equations Using Gaussian Elimination,58,58,41
