module-id,module-code,module-name
122437,MVC.1.1,Vector-Valued Functions
122439,MVC.1.2,Curvature
122454,MVC.1.3,Vector Fields
122455,MVC.1.4,Divergence and Curl
122440,MVC.2.1,Introduction to Multivariable Functions
122434,MVC.2.2,Quadric Surfaces and Cylinders
122441,MVC.2.3,Partial Derivatives
122443,MVC.2.4,The Gradient Vector
122444,MVC.2.5,The Multivariable Chain Rule
122451,MVC.2.6,Plane Transformations
122470,MVC.2.7,Differentiation
122445,MVC.2.8,Optimization
122446,MVC.3.1,Riemann Sums
122447,MVC.3.2,Double Integrals
122450,MVC.3.3,Triple Integrals
122452,MVC.3.4,Change of Variables for Double Integrals
122453,MVC.3.5,Change of Variables for Triple Integrals
122456,MVC.4.1,Line Integrals of Scalar Functions
122457,MVC.4.2,Line Integrals of Scalar Functions Over Parametric Curves
122458,MVC.4.3,Line Integrals With Respect to X and Y
122459,MVC.4.4,Line Integrals of Vector-Valued Functions
122460,MVC.4.5,Circulation and Flux
122461,MVC.4.6,Green's Theorem
122463,MVC.5.1,Parametric Surfaces
122464,MVC.5.2,Surface Area
122465,MVC.5.3,Surface Integrals
122469,MVC.6.1,Vector Mechanics
122449,MVC.6.2,Applications of Multiple Integrals
122474,MVC.6.3,Random Variables
94801,DEQ.1.1,Techniques for Solving First-Order ODEs
94802,DEQ.1.2,Special First-Order Equations
124047,DEQ.1.3,Slope Fields
94805,DEQ.1.4,Qualitative Techniques for Differential Equations
124056,DEQ.2.1,Applications of First-Order ODEs
124037,DEQ.2.2,Growth and Decay Models With First-Order ODEs
94807,DEQ.2.3,Physical Applications of First-Order ODEs
94808,DEQ.3.1,Theory of Solutions to Linear ODEs
94809,DEQ.3.2,Second-Order Linear ODEs With Constant Coefficients
94811,DEQ.3.3,The Cauchy-Euler Equations
124076,DEQ.3.4,Variation of Parameters
94814,DEQ.3.5,Modeling With Second-Order ODEs
94818,DEQ.4.1,Systems of ODEs
94819,DEQ.4.2,Solving Systems of Linear ODEs
94820,DEQ.4.3,Phase Portraits for Systems of Linear ODEs
123993,DEQ.4.4,Solving Systems of ODEs Using Matrix Methods
94822,DEQ.4.5,Modeling With Systems of Linear ODEs
94816,DEQ.5.1,Laplace Transforms
94817,DEQ.5.2,Solving Linear ODEs Using Laplace Transforms
94823,DEQ.6.1,Boundary Value Problems
94824,DEQ.6.2,Fourier Series
94825,DEQ.7.1,Series Solutions of Differential Equations
94826,DEQ.7.2,Euler's Method
124044,DEQ.7.3,Higher-Order Numerical Methods
124045,DEQ.7.4,Implicit Numerical Methods
124051,DEQ.7.5,Analyzing Numerical Methods
120827,PAS.1.1,Probability
123347,PAS.1.2,Combinatorics
120824,PAS.1.3,Random Variables
120826,PAS.1.4,Functions of Random Variables
120828,PAS.2.1,Expectation of Random Variables
120831,PAS.2.2,Moment-Generating Functions
120832,PAS.3.1,The Discrete Uniform Distribution
120833,PAS.3.2,The Bernoulli Distribution
120834,PAS.3.3,The Binomial Distribution
120835,PAS.3.4,The Poisson Distribution
120836,PAS.3.5,The Geometric Distribution
120837,PAS.3.6,The Negative Binomial Distribution
120840,PAS.4.1,The Normal Distribution
120839,PAS.4.2,The Continuous Uniform Distribution
120842,PAS.4.3,The Exponential Distribution
120844,PAS.4.4,Other Continous Distributions
120845,PAS.5.1,Distributions of Two Discrete Random Variables
120846,PAS.5.2,Distributions of Two Continuous Random Variables
120848,PAS.5.3,Linear Combinations of Random Variables
120847,PAS.5.4,Expectation for Multivariate Distributions
120849,PAS.5.5,Covariance of Random Variables
120854,PAS.6.1,"Mean, Variance, and Proportion"
123298,PAS.6.2,The Central Limit Theorem
120856,PAS.6.3,Maximum Likelihood
120860,PAS.7.1,One-Sample Procedures
122598,PAS.7.2,Two-Sample Procedures
120861,PAS.7.3,Sample Size
120862,PAS.8.1,One-Sample Procedures
120866,PAS.8.2,Two-Sample Procedures
120867,PAS.8.3,Analysis of Variance
120859,PAS.9.1,Correlation and Regression
123299,PAS.9.2,Linear and Nonlinear Regression With Matrices
120868,PAS.10.1,Goodness-of-Fit and Order Statistics
122618,LAL.1.1,Introduction to Set Theory
122619,LAL.1.2,Set Operations
120679,LAL.1.3,Vector Geometry
120682,LAL.2.1,Determinants
120683,LAL.2.2,Gaussian Elimination
120684,LAL.2.3,Elementary Matrices
120685,LAL.2.4,The Inverse of a Matrix
120686,LAL.2.5,LU Factorization
120687,LAL.3.1,Vectors in N-Dimensional Space
120688,LAL.3.2,Subspaces of N-Dimensional Space
120689,LAL.3.3,Bases of N-Dimensional Space
120690,LAL.3.4,Dimension and Rank in N-Dimensional Space
120691,LAL.3.5,Abstract Vector Spaces
120692,LAL.4.1,Linear Transformations
120693,LAL.4.2,Linear Maps and Their Matrix Representations
120694,LAL.5.1,Eigenvectors and Eigenvalues
120695,LAL.5.2,Diagonalization
120696,LAL.5.3,Real Matrices With Complex Eigenvalues
120697,LAL.5.4,Generalized Eigenvectors
120698,LAL.5.5,Jordan Canonical Decomposition
120699,LAL.6.1,Inner Products
120700,LAL.6.2,Orthogonality
120701,LAL.6.3,Orthogonal Projections
120702,LAL.6.4,Orthogonalization Processes
120703,LAL.7.1,Diagonalization of Symmetric Matrices
120704,LAL.7.2,Quadratic Forms
120705,LAL.7.3,Quadratic Forms in Euclidian Space
120706,LAL.7.4,Singular Value Decomposition
120707,LAL.8.1,Linear Least-Squares Problems
120708,LAL.8.2,Markov Chains
120709,LAL.8.3,Linear Regression
