topic-id,topic-code,topic-number,topic-name,unit,module,lesson-path,source-path,layer,nearest-integer-layer,course-map-index
543,MF1.1.1.1,1.1.1,Adding Fractions and Whole Numbers Using Models,1. Fractions,1.1. Adding and Subtracting Fractions and Whole Numbers,1. Fractions/1.1. Adding and Subtracting Fractions and Whole Numbers/Lessons/1.1.1. Adding Fractions and Whole Numbers Using Models.md,1. Fractions/1.1. Adding and Subtracting Fractions and Whole Numbers/Source/1.1.1. Adding Fractions and Whole Numbers Using Models,6,6,1
539,MF1.1.1.2,1.1.2,Adding Fractions and Whole Numbers,1. Fractions,1.1. Adding and Subtracting Fractions and Whole Numbers,1. Fractions/1.1. Adding and Subtracting Fractions and Whole Numbers/Lessons/1.1.2. Adding Fractions and Whole Numbers.md,1. Fractions/1.1. Adding and Subtracting Fractions and Whole Numbers/Source/1.1.2. Adding Fractions and Whole Numbers,15,15,2
544,MF1.1.1.3,1.1.3,Subtracting Fractions and Whole Numbers Using Models,1. Fractions,1.1. Adding and Subtracting Fractions and Whole Numbers,1. Fractions/1.1. Adding and Subtracting Fractions and Whole Numbers/Lessons/1.1.3. Subtracting Fractions and Whole Numbers Using Models.md,1. Fractions/1.1. Adding and Subtracting Fractions and Whole Numbers/Source/1.1.3. Subtracting Fractions and Whole Numbers Using Models,7,7,3
545,MF1.1.1.4,1.1.4,Subtracting Fractions and Whole Numbers,1. Fractions,1.1. Adding and Subtracting Fractions and Whole Numbers,1. Fractions/1.1. Adding and Subtracting Fractions and Whole Numbers/Lessons/1.1.4. Subtracting Fractions and Whole Numbers.md,1. Fractions/1.1. Adding and Subtracting Fractions and Whole Numbers/Source/1.1.4. Subtracting Fractions and Whole Numbers,16,16,4
2440,MF1.1.2.1,1.2.1,Least Common Multiples,1. Fractions,1.2. Adding and Subtracting Fractions,1. Fractions/1.2. Adding and Subtracting Fractions/Lessons/1.2.1. Least Common Multiples.md,1. Fractions/1.2. Adding and Subtracting Fractions/Source/1.2.1. Least Common Multiples,11,11,5
2365,MF1.1.2.2,1.2.2,Least Common Denominators,1. Fractions,1.2. Adding and Subtracting Fractions,1. Fractions/1.2. Adding and Subtracting Fractions/Lessons/1.2.2. Least Common Denominators.md,1. Fractions/1.2. Adding and Subtracting Fractions/Source/1.2.2. Least Common Denominators,12,12,6
2376,MF1.1.2.3,1.2.3,Comparing Fraction Models Using Common Denominators,1. Fractions,1.2. Adding and Subtracting Fractions,1. Fractions/1.2. Adding and Subtracting Fractions/Lessons/1.2.3. Comparing Fraction Models Using Common Denominators.md,1. Fractions/1.2. Adding and Subtracting Fractions/Source/1.2.3. Comparing Fraction Models Using Common Denominators,13,13,7
4204,MF1.1.2.4,1.2.4,Comparing Fractions Using Common Denominators,1. Fractions,1.2. Adding and Subtracting Fractions,1. Fractions/1.2. Adding and Subtracting Fractions/Lessons/1.2.4. Comparing Fractions Using Common Denominators.md,1. Fractions/1.2. Adding and Subtracting Fractions/Source/1.2.4. Comparing Fractions Using Common Denominators,14,14,8
2374,MF1.1.2.5,1.2.5,Adding Fractions With Unlike Denominators Using Models,1. Fractions,1.2. Adding and Subtracting Fractions,1. Fractions/1.2. Adding and Subtracting Fractions/Lessons/1.2.5. Adding Fractions With Unlike Denominators Using Models.md,1. Fractions/1.2. Adding and Subtracting Fractions/Source/1.2.5. Adding Fractions With Unlike Denominators Using Models,13,13,9
2372,MF1.1.2.6,1.2.6,Subtracting Fractions With Unlike Denominators Using Models,1. Fractions,1.2. Adding and Subtracting Fractions,1. Fractions/1.2. Adding and Subtracting Fractions/Lessons/1.2.6. Subtracting Fractions With Unlike Denominators Using Models.md,1. Fractions/1.2. Adding and Subtracting Fractions/Source/1.2.6. Subtracting Fractions With Unlike Denominators Using Models,14,14,10
