topic-id,topic-code,topic-number,topic-name,unit,module,lesson-path,source-path,layer,nearest-integer-layer,course-map-index
47,MML.1.1.1,1.1.1,Special Sets,1. Set Theory,1.1. Introduction to Set Theory,1. Set Theory/1.1. Introduction to Set Theory/Lessons/1.1.1. Special Sets.md,1. Set Theory/1.1. Introduction to Set Theory/Source/1.1.1. Special Sets,33,33,1
1976,MML.1.1.2,1.1.2,Equivalent Sets,1. Set Theory,1.1. Introduction to Set Theory,1. Set Theory/1.1. Introduction to Set Theory/Lessons/1.1.2. Equivalent Sets.md,1. Set Theory/1.1. Introduction to Set Theory/Source/1.1.2. Equivalent Sets,34,34,2
46,MML.1.1.3,1.1.3,The Constructive Definition of a Set,1. Set Theory,1.1. Introduction to Set Theory,1. Set Theory/1.1. Introduction to Set Theory/Lessons/1.1.3. The Constructive Definition of a Set.md,1. Set Theory/1.1. Introduction to Set Theory/Source/1.1.3. The Constructive Definition of a Set,48,48,3
4425,MML.1.1.4,1.1.4,The Conditional Definition of a Set,1. Set Theory,1.1. Introduction to Set Theory,1. Set Theory/1.1. Introduction to Set Theory/Lessons/1.1.4. The Conditional Definition of a Set.md,1. Set Theory/1.1. Introduction to Set Theory/Source/1.1.4. The Conditional Definition of a Set,59,59,4
4393,MML.1.1.5,1.1.5,Describing Sets Using Set-Builder Notation,1. Set Theory,1.1. Introduction to Set Theory,1. Set Theory/1.1. Introduction to Set Theory/Lessons/1.1.5. Describing Sets Using Set-Builder Notation.md,1. Set Theory/1.1. Introduction to Set Theory/Source/1.1.5. Describing Sets Using Set-Builder Notation,60,60,5
4392,MML.1.1.6,1.1.6,Describing Planar Regions Using Set-Builder Notation,1. Set Theory,1.1. Introduction to Set Theory,1. Set Theory/1.1. Introduction to Set Theory/Lessons/1.1.6. Describing Planar Regions Using Set-Builder Notation.md,1. Set Theory/1.1. Introduction to Set Theory/Source/1.1.6. Describing Planar Regions Using Set-Builder Notation,65,65,6
948,MML.1.1.7,1.1.7,Indicator Functions,1. Set Theory,1.1. Introduction to Set Theory,1. Set Theory/1.1. Introduction to Set Theory/Lessons/1.1.7. Indicator Functions.md,1. Set Theory/1.1. Introduction to Set Theory/Source/1.1.7. Indicator Functions,61,61,7
3218,MML.1.1.8,1.1.8,Indicator Functions for Predicates,1. Set Theory,1.1. Introduction to Set Theory,1. Set Theory/1.1. Introduction to Set Theory/Lessons/1.1.8. Indicator Functions for Predicates.md,1. Set Theory/1.1. Introduction to Set Theory/Source/1.1.8. Indicator Functions for Predicates,62,62,8
2828,MML.1.2.1,1.2.1,The Difference of Sets,1. Set Theory,1.2. Set Operations,1. Set Theory/1.2. Set Operations/Lessons/1.2.1. The Difference of Sets.md,1. Set Theory/1.2. Set Operations/Source/1.2.1. The Difference of Sets,45,45,9
2829,MML.1.2.2,1.2.2,Set Complements,1. Set Theory,1.2. Set Operations,1. Set Theory/1.2. Set Operations/Lessons/1.2.2. Set Complements.md,1. Set Theory/1.2. Set Operations/Source/1.2.2. Set Complements,23,23,10
