module-id,module-code,module-name
123726,MML.1.1,Introduction to Set Theory
123727,MML.1.2,Set Operations
123728,MML.1.3,Properties of Sets
123795,MML.2.1,Logical Statements
123797,MML.2.2,Implications and Biconditionals
123798,MML.2.3,Introduction to Boolean Algebra
123729,MML.3.1,Vector Geometry
123731,MML.3.2,Determinants
123732,MML.3.3,Gaussian Elimination
123733,MML.3.4,The Inverse of a Matrix
123734,MML.3.5,Affine Transformations
123735,MML.4.1,Vectors in N-Dimensional Space
123736,MML.4.2,Subspaces of N-Dimensional Space
123737,MML.4.3,Bases of N-Dimensional Space
123738,MML.4.4,Dimension and Rank in N-Dimensional Space
123739,MML.5.1,Eigenvectors and Eigenvalues
123740,MML.5.2,Diagonalization
123741,MML.6.1,Inner Products
123742,MML.6.2,Orthogonality
123743,MML.6.3,Orthogonal Projections
123744,MML.7.1,Quadratic Forms
123745,MML.7.2,Singular Value Decomposition
123747,MML.8.1,Linear Least-Squares Problems
123748,MML.8.2,Linear Regression
124414,MML.8.3,Principal Component Analysis
123749,MML.9.1,Quadric Surfaces and Cylinders
123750,MML.9.2,Partial Derivatives
123751,MML.9.3,Vector-Valued Functions
123752,MML.9.4,Differentiation
123773,MML.9.5,Matrix Calculus
123753,MML.9.6,Approximating Volumes With Riemann Sums
123754,MML.9.7,Double Integrals
123774,MML.9.8,Optimization
123755,MML.10.1,Probability
123756,MML.10.2,Random Variables
123757,MML.10.3,Transformations of Random Variables
123758,MML.10.4,Expectation
123759,MML.10.5,Discrete Probability Distributions
123760,MML.10.6,Continuous Probability Distributions
123761,MML.11.1,Distributions of Two Discrete Random Variables
123762,MML.11.2,Distributions of Two Continuous Random Variables
123763,MML.11.3,Expectation for Joint Distributions
123764,MML.11.4,Covariance of Random Variables
123765,MML.11.5,Normally Distributed Random Variables
123766,MML.12.1,Point Estimation
123767,MML.12.2,Maximum Likelihood
123769,MML.12.3,Confidence Intervals
