topic-id,topic-code,topic-number,topic-name,unit,module,lesson-path,source-path,layer,nearest-integer-layer,course-map-index
1376,PS1.1.1.1,1.1.1,The Vector Equation of a Line,1. Preliminaries,1.1. Vector Geometry,1. Preliminaries/1.1. Vector Geometry/Lessons/1.1.1. The Vector Equation of a Line.md,1. Preliminaries/1.1. Vector Geometry/Source/1.1.1. The Vector Equation of a Line,61,61,1
1920,PS1.1.1.2,1.1.2,The Parametric Equations of a Line,1. Preliminaries,1.1. Vector Geometry,1. Preliminaries/1.1. Vector Geometry/Lessons/1.1.2. The Parametric Equations of a Line.md,1. Preliminaries/1.1. Vector Geometry/Source/1.1.2. The Parametric Equations of a Line,62,62,2
1799,PS1.1.1.3,1.1.3,The Cartesian Equation of a Line,1. Preliminaries,1.1. Vector Geometry,1. Preliminaries/1.1. Vector Geometry/Lessons/1.1.3. The Cartesian Equation of a Line.md,1. Preliminaries/1.1. Vector Geometry/Source/1.1.3. The Cartesian Equation of a Line,63,63,3
1805,PS1.1.1.4,1.1.4,The Vector Equation of a Plane,1. Preliminaries,1.1. Vector Geometry,1. Preliminaries/1.1. Vector Geometry/Lessons/1.1.4. The Vector Equation of a Plane.md,1. Preliminaries/1.1. Vector Geometry/Source/1.1.4. The Vector Equation of a Plane,64,64,4
1807,PS1.1.1.5,1.1.5,The Cartesian Equation of a Plane,1. Preliminaries,1.1. Vector Geometry,1. Preliminaries/1.1. Vector Geometry/Lessons/1.1.5. The Cartesian Equation of a Plane.md,1. Preliminaries/1.1. Vector Geometry/Source/1.1.5. The Cartesian Equation of a Plane,65,65,5
1806,PS1.1.1.6,1.1.6,The Parametric Equations of a Plane,1. Preliminaries,1.1. Vector Geometry,1. Preliminaries/1.1. Vector Geometry/Lessons/1.1.6. The Parametric Equations of a Plane.md,1. Preliminaries/1.1. Vector Geometry/Source/1.1.6. The Parametric Equations of a Plane,64,64,6
2539,PS1.1.1.7,1.1.7,The Intersection of Two Planes,1. Preliminaries,1.1. Vector Geometry,1. Preliminaries/1.1. Vector Geometry/Lessons/1.1.7. The Intersection of Two Planes.md,1. Preliminaries/1.1. Vector Geometry/Source/1.1.7. The Intersection of Two Planes,66,66,7
1810,PS1.1.1.8,1.1.8,The Shortest Distance Between a Plane and a Point,1. Preliminaries,1.1. Vector Geometry,1. Preliminaries/1.1. Vector Geometry/Lessons/1.1.8. The Shortest Distance Between a Plane and a Point.md,1. Preliminaries/1.1. Vector Geometry/Source/1.1.8. The Shortest Distance Between a Plane and a Point,66,66,8
1808,PS1.1.1.9,1.1.9,The Intersection Between a Line and a Plane,1. Preliminaries,1.1. Vector Geometry,1. Preliminaries/1.1. Vector Geometry/Lessons/1.1.9. The Intersection Between a Line and a Plane.md,1. Preliminaries/1.1. Vector Geometry/Source/1.1.9. The Intersection Between a Line and a Plane,66,66,9
47,PS1.1.2.1,1.2.1,Special Sets,1. Preliminaries,1.2. Introduction to Set Theory,1. Preliminaries/1.2. Introduction to Set Theory/Lessons/1.2.1. Special Sets.md,1. Preliminaries/1.2. Introduction to Set Theory/Source/1.2.1. Special Sets,33,33,10
58,PS1.1.2.2,1.2.2,Statements and Predicates,1. Preliminaries,1.2. Introduction to Set Theory,1. Preliminaries/1.2. Introduction to Set Theory/Lessons/1.2.2. Statements and Predicates.md,1. Preliminaries/1.2. Introduction to Set Theory/Source/1.2.2. Statements and Predicates,34,34,11
1976,PS1.1.2.3,1.2.3,Equivalent Sets,1. Preliminaries,1.2. Introduction to Set Theory,1. Preliminaries/1.2. Introduction to Set Theory/Lessons/1.2.3. Equivalent Sets.md,1. Preliminaries/1.2. Introduction to Set Theory/Source/1.2.3. Equivalent Sets,34,34,12
46,PS1.1.2.4,1.2.4,The Constructive Definition of a Set,1. Preliminaries,1.2. Introduction to Set Theory,1. Preliminaries/1.2. Introduction to Set Theory/Lessons/1.2.4. The Constructive Definition of a Set.md,1. Preliminaries/1.2. Introduction to Set Theory/Source/1.2.4. The Constructive Definition of a Set,48,48,13
4425,PS1.1.2.5,1.2.5,The Conditional Definition of a Set,1. Preliminaries,1.2. Introduction to Set Theory,1. Preliminaries/1.2. Introduction to Set Theory/Lessons/1.2.5. The Conditional Definition of a Set.md,1. Preliminaries/1.2. Introduction to Set Theory/Source/1.2.5. The Conditional Definition of a Set,59,59,14
4393,PS1.1.2.6,1.2.6,Describing Sets Using Set-Builder Notation,1. Preliminaries,1.2. Introduction to Set Theory,1. Preliminaries/1.2. Introduction to Set Theory/Lessons/1.2.6. Describing Sets Using Set-Builder Notation.md,1. Preliminaries/1.2. Introduction to Set Theory/Source/1.2.6. Describing Sets Using Set-Builder Notation,60,60,15
4392,PS1.1.2.7,1.2.7,Describing Planar Regions Using Set-Builder Notation,1. Preliminaries,1.2. Introduction to Set Theory,1. Preliminaries/1.2. Introduction to Set Theory/Lessons/1.2.7. Describing Planar Regions Using Set-Builder Notation.md,1. Preliminaries/1.2. Introduction to Set Theory/Source/1.2.7. Describing Planar Regions Using Set-Builder Notation,65,65,16
48,PS1.1.2.8,1.2.8,Cardinality of Finite Sets,1. Preliminaries,1.2. Introduction to Set Theory,1. Preliminaries/1.2. Introduction to Set Theory/Lessons/1.2.8. Cardinality of Finite Sets.md,1. Preliminaries/1.2. Introduction to Set Theory/Source/1.2.8. Cardinality of Finite Sets,61,61,17
4386,PS1.1.2.9,1.2.9,Infinite Sets,1. Preliminaries,1.2. Introduction to Set Theory,1. Preliminaries/1.2. Introduction to Set Theory/Lessons/1.2.9. Infinite Sets.md,1. Preliminaries/1.2. Introduction to Set Theory/Source/1.2.9. Infinite Sets,62,62,18
50,PS1.1.2.10,1.2.10,Subsets,1. Preliminaries,1.2. Introduction to Set Theory,1. Preliminaries/1.2. Introduction to Set Theory/Lessons/1.2.10. Subsets.md,1. Preliminaries/1.2. Introduction to Set Theory/Source/1.2.10. Subsets,60,60,19
2828,PS1.1.3.1,1.3.1,The Difference of Sets,1. Preliminaries,1.3. Set Operations,1. Preliminaries/1.3. Set Operations/Lessons/1.3.1. The Difference of Sets.md,1. Preliminaries/1.3. Set Operations/Source/1.3.1. The Difference of Sets,45,45,20
2829,PS1.1.3.2,1.3.2,Set Complements,1. Preliminaries,1.3. Set Operations,1. Preliminaries/1.3. Set Operations/Lessons/1.3.2. Set Complements.md,1. Preliminaries/1.3. Set Operations/Source/1.3.2. Set Complements,23,23,21
49,PS1.1.3.3,1.3.3,The Cartesian Product,1. Preliminaries,1.3. Set Operations,1. Preliminaries/1.3. Set Operations/Lessons/1.3.3. The Cartesian Product.md,1. Preliminaries/1.3. Set Operations/Source/1.3.3. The Cartesian Product,63,63,22
4387,PS1.1.3.4,1.3.4,Visualizing Cartesian Products,1. Preliminaries,1.3. Set Operations,1. Preliminaries/1.3. Set Operations/Lessons/1.3.4. Visualizing Cartesian Products.md,1. Preliminaries/1.3. Set Operations/Source/1.3.4. Visualizing Cartesian Products,64,64,23
55,PS1.1.3.5,1.3.5,Indexed Sets,1. Preliminaries,1.3. Set Operations,1. Preliminaries/1.3. Set Operations/Lessons/1.3.5. Indexed Sets.md,1. Preliminaries/1.3. Set Operations/Source/1.3.5. Indexed Sets,61,61,24
3334,PS1.1.3.6,1.3.6,Sets and Functions,1. Preliminaries,1.3. Set Operations,1. Preliminaries/1.3. Set Operations/Lessons/1.3.6. Sets and Functions.md,1. Preliminaries/1.3. Set Operations/Source/1.3.6. Sets and Functions,61,61,25
148,PS1.2.1.1,2.1.1,Systems of Equations as Augmented Matrices,2. Matrices,2.1. Gaussian Elimination,2. Matrices/2.1. Gaussian Elimination/Lessons/2.1.1. Systems of Equations as Augmented Matrices.md,2. Matrices/2.1. Gaussian Elimination/Source/2.1.1. Systems of Equations as Augmented Matrices,36,36,26
2083,PS1.2.1.2,2.1.2,Row Echelon Form,2. Matrices,2.1. Gaussian Elimination,2. Matrices/2.1. Gaussian Elimination/Lessons/2.1.2. Row Echelon Form.md,2. Matrices/2.1. Gaussian Elimination/Source/2.1.2. Row Echelon Form,37,37,27
