layer,topic-id,topic-code,topic-name,lesson-path,source-path
62,1376,PS1.1.1.1,The Vector Equation of a Line,vault/MA/Mathematical-Methods-for-the-Physical-Sciences/PS1/1. Preliminaries/1.1. Vector Geometry/Lessons/1.1.1. The Vector Equation of a Line.md,vault/MA/Mathematical-Methods-for-the-Physical-Sciences/PS1/1. Preliminaries/1.1. Vector Geometry/Source/1.1.1. The Vector Equation of a Line
63,1920,PS1.1.1.2,The Parametric Equations of a Line,vault/MA/Mathematical-Methods-for-the-Physical-Sciences/PS1/1. Preliminaries/1.1. Vector Geometry/Lessons/1.1.2. The Parametric Equations of a Line.md,vault/MA/Mathematical-Methods-for-the-Physical-Sciences/PS1/1. Preliminaries/1.1. Vector Geometry/Source/1.1.2. The Parametric Equations of a Line
64,1799,PS1.1.1.3,The Cartesian Equation of a Line,vault/MA/Mathematical-Methods-for-the-Physical-Sciences/PS1/1. Preliminaries/1.1. Vector Geometry/Lessons/1.1.3. The Cartesian Equation of a Line.md,vault/MA/Mathematical-Methods-for-the-Physical-Sciences/PS1/1. Preliminaries/1.1. Vector Geometry/Source/1.1.3. The Cartesian Equation of a Line
65,1805,PS1.1.1.4,The Vector Equation of a Plane,vault/MA/Mathematical-Methods-for-the-Physical-Sciences/PS1/1. Preliminaries/1.1. Vector Geometry/Lessons/1.1.4. The Vector Equation of a Plane.md,vault/MA/Mathematical-Methods-for-the-Physical-Sciences/PS1/1. Preliminaries/1.1. Vector Geometry/Source/1.1.4. The Vector Equation of a Plane
66,1807,PS1.1.1.5,The Cartesian Equation of a Plane,vault/MA/Mathematical-Methods-for-the-Physical-Sciences/PS1/1. Preliminaries/1.1. Vector Geometry/Lessons/1.1.5. The Cartesian Equation of a Plane.md,vault/MA/Mathematical-Methods-for-the-Physical-Sciences/PS1/1. Preliminaries/1.1. Vector Geometry/Source/1.1.5. The Cartesian Equation of a Plane
64,1806,PS1.1.1.6,The Parametric Equations of a Plane,vault/MA/Mathematical-Methods-for-the-Physical-Sciences/PS1/1. Preliminaries/1.1. Vector Geometry/Lessons/1.1.6. The Parametric Equations of a Plane.md,vault/MA/Mathematical-Methods-for-the-Physical-Sciences/PS1/1. Preliminaries/1.1. Vector Geometry/Source/1.1.6. The Parametric Equations of a Plane
70,2539,PS1.1.1.7,The Intersection of Two Planes,vault/MA/Mathematical-Methods-for-the-Physical-Sciences/PS1/1. Preliminaries/1.1. Vector Geometry/Lessons/1.1.7. The Intersection of Two Planes.md,vault/MA/Mathematical-Methods-for-the-Physical-Sciences/PS1/1. Preliminaries/1.1. Vector Geometry/Source/1.1.7. The Intersection of Two Planes
67,1810,PS1.1.1.8,The Shortest Distance Between a Plane and a Point,vault/MA/Mathematical-Methods-for-the-Physical-Sciences/PS1/1. Preliminaries/1.1. Vector Geometry/Lessons/1.1.8. The Shortest Distance Between a Plane and a Point.md,vault/MA/Mathematical-Methods-for-the-Physical-Sciences/PS1/1. Preliminaries/1.1. Vector Geometry/Source/1.1.8. The Shortest Distance Between a Plane and a Point
67,1808,PS1.1.1.9,The Intersection Between a Line and a Plane,vault/MA/Mathematical-Methods-for-the-Physical-Sciences/PS1/1. Preliminaries/1.1. Vector Geometry/Lessons/1.1.9. The Intersection Between a Line and a Plane.md,vault/MA/Mathematical-Methods-for-the-Physical-Sciences/PS1/1. Preliminaries/1.1. Vector Geometry/Source/1.1.9. The Intersection Between a Line and a Plane
56,47,PS1.1.2.1,Special Sets,vault/MA/Mathematical-Methods-for-the-Physical-Sciences/PS1/1. Preliminaries/1.2. Introduction to Set Theory/Lessons/1.2.1. Special Sets.md,vault/MA/Mathematical-Methods-for-the-Physical-Sciences/PS1/1. Preliminaries/1.2. Introduction to Set Theory/Source/1.2.1. Special Sets
57,58,PS1.1.2.2,Statements and Predicates,vault/MA/Mathematical-Methods-for-the-Physical-Sciences/PS1/1. Preliminaries/1.2. Introduction to Set Theory/Lessons/1.2.2. Statements and Predicates.md,vault/MA/Mathematical-Methods-for-the-Physical-Sciences/PS1/1. Preliminaries/1.2. Introduction to Set Theory/Source/1.2.2. Statements and Predicates
57,1976,PS1.1.2.3,Equivalent Sets,vault/MA/Mathematical-Methods-for-the-Physical-Sciences/PS1/1. Preliminaries/1.2. Introduction to Set Theory/Lessons/1.2.3. Equivalent Sets.md,vault/MA/Mathematical-Methods-for-the-Physical-Sciences/PS1/1. Preliminaries/1.2. Introduction to Set Theory/Source/1.2.3. Equivalent Sets
58,46,PS1.1.2.4,The Constructive Definition of a Set,vault/MA/Mathematical-Methods-for-the-Physical-Sciences/PS1/1. Preliminaries/1.2. Introduction to Set Theory/Lessons/1.2.4. The Constructive Definition of a Set.md,vault/MA/Mathematical-Methods-for-the-Physical-Sciences/PS1/1. Preliminaries/1.2. Introduction to Set Theory/Source/1.2.4. The Constructive Definition of a Set
59,4425,PS1.1.2.5,The Conditional Definition of a Set,vault/MA/Mathematical-Methods-for-the-Physical-Sciences/PS1/1. Preliminaries/1.2. Introduction to Set Theory/Lessons/1.2.5. The Conditional Definition of a Set.md,vault/MA/Mathematical-Methods-for-the-Physical-Sciences/PS1/1. Preliminaries/1.2. Introduction to Set Theory/Source/1.2.5. The Conditional Definition of a Set
60,4393,PS1.1.2.6,Describing Sets Using Set-Builder Notation,vault/MA/Mathematical-Methods-for-the-Physical-Sciences/PS1/1. Preliminaries/1.2. Introduction to Set Theory/Lessons/1.2.6. Describing Sets Using Set-Builder Notation.md,vault/MA/Mathematical-Methods-for-the-Physical-Sciences/PS1/1. Preliminaries/1.2. Introduction to Set Theory/Source/1.2.6. Describing Sets Using Set-Builder Notation
65,4392,PS1.1.2.7,Describing Planar Regions Using Set-Builder Notation,vault/MA/Mathematical-Methods-for-the-Physical-Sciences/PS1/1. Preliminaries/1.2. Introduction to Set Theory/Lessons/1.2.7. Describing Planar Regions Using Set-Builder Notation.md,vault/MA/Mathematical-Methods-for-the-Physical-Sciences/PS1/1. Preliminaries/1.2. Introduction to Set Theory/Source/1.2.7. Describing Planar Regions Using Set-Builder Notation
61,48,PS1.1.2.8,Cardinality of Finite Sets,vault/MA/Mathematical-Methods-for-the-Physical-Sciences/PS1/1. Preliminaries/1.2. Introduction to Set Theory/Lessons/1.2.8. Cardinality of Finite Sets.md,vault/MA/Mathematical-Methods-for-the-Physical-Sciences/PS1/1. Preliminaries/1.2. Introduction to Set Theory/Source/1.2.8. Cardinality of Finite Sets
62,4386,PS1.1.2.9,Infinite Sets,vault/MA/Mathematical-Methods-for-the-Physical-Sciences/PS1/1. Preliminaries/1.2. Introduction to Set Theory/Lessons/1.2.9. Infinite Sets.md,vault/MA/Mathematical-Methods-for-the-Physical-Sciences/PS1/1. Preliminaries/1.2. Introduction to Set Theory/Source/1.2.9. Infinite Sets
61,50,PS1.1.2.10,Subsets,vault/MA/Mathematical-Methods-for-the-Physical-Sciences/PS1/1. Preliminaries/1.2. Introduction to Set Theory/Lessons/1.2.10. Subsets.md,vault/MA/Mathematical-Methods-for-the-Physical-Sciences/PS1/1. Preliminaries/1.2. Introduction to Set Theory/Source/1.2.10. Subsets
57,2828,PS1.1.3.1,The Difference of Sets,vault/MA/Mathematical-Methods-for-the-Physical-Sciences/PS1/1. Preliminaries/1.3. Set Operations/Lessons/1.3.1. The Difference of Sets.md,vault/MA/Mathematical-Methods-for-the-Physical-Sciences/PS1/1. Preliminaries/1.3. Set Operations/Source/1.3.1. The Difference of Sets
56,2829,PS1.1.3.2,Set Complements,vault/MA/Mathematical-Methods-for-the-Physical-Sciences/PS1/1. Preliminaries/1.3. Set Operations/Lessons/1.3.2. Set Complements.md,vault/MA/Mathematical-Methods-for-the-Physical-Sciences/PS1/1. Preliminaries/1.3. Set Operations/Source/1.3.2. Set Complements
63,49,PS1.1.3.3,The Cartesian Product,vault/MA/Mathematical-Methods-for-the-Physical-Sciences/PS1/1. Preliminaries/1.3. Set Operations/Lessons/1.3.3. The Cartesian Product.md,vault/MA/Mathematical-Methods-for-the-Physical-Sciences/PS1/1. Preliminaries/1.3. Set Operations/Source/1.3.3. The Cartesian Product
64,4387,PS1.1.3.4,Visualizing Cartesian Products,vault/MA/Mathematical-Methods-for-the-Physical-Sciences/PS1/1. Preliminaries/1.3. Set Operations/Lessons/1.3.4. Visualizing Cartesian Products.md,vault/MA/Mathematical-Methods-for-the-Physical-Sciences/PS1/1. Preliminaries/1.3. Set Operations/Source/1.3.4. Visualizing Cartesian Products
63,55,PS1.1.3.5,Indexed Sets,vault/MA/Mathematical-Methods-for-the-Physical-Sciences/PS1/1. Preliminaries/1.3. Set Operations/Lessons/1.3.5. Indexed Sets.md,vault/MA/Mathematical-Methods-for-the-Physical-Sciences/PS1/1. Preliminaries/1.3. Set Operations/Source/1.3.5. Indexed Sets
63,3334,PS1.1.3.6,Sets and Functions,vault/MA/Mathematical-Methods-for-the-Physical-Sciences/PS1/1. Preliminaries/1.3. Set Operations/Lessons/1.3.6. Sets and Functions.md,vault/MA/Mathematical-Methods-for-the-Physical-Sciences/PS1/1. Preliminaries/1.3. Set Operations/Source/1.3.6. Sets and Functions
58,148,PS1.2.1.1,Systems of Equations as Augmented Matrices,vault/MA/Mathematical-Methods-for-the-Physical-Sciences/PS1/2. Matrices/2.1. Gaussian Elimination/Lessons/2.1.1. Systems of Equations as Augmented Matrices.md,vault/MA/Mathematical-Methods-for-the-Physical-Sciences/PS1/2. Matrices/2.1. Gaussian Elimination/Source/2.1.1. Systems of Equations as Augmented Matrices
59,2083,PS1.2.1.2,Row Echelon Form,vault/MA/Mathematical-Methods-for-the-Physical-Sciences/PS1/2. Matrices/2.1. Gaussian Elimination/Lessons/2.1.2. Row Echelon Form.md,vault/MA/Mathematical-Methods-for-the-Physical-Sciences/PS1/2. Matrices/2.1. Gaussian Elimination/Source/2.1.2. Row Echelon Form
61,1047,PS1.2.1.3,Solving Systems of Equations Using Back Substitution,vault/MA/Mathematical-Methods-for-the-Physical-Sciences/PS1/2. Matrices/2.1. Gaussian Elimination/Lessons/2.1.3. Solving Systems of Equations Using Back Substitution.md,vault/MA/Mathematical-Methods-for-the-Physical-Sciences/PS1/2. Matrices/2.1. Gaussian Elimination/Source/2.1.3. Solving Systems of Equations Using Back Substitution
60,149,PS1.2.1.4,Elementary Row Operations,vault/MA/Mathematical-Methods-for-the-Physical-Sciences/PS1/2. Matrices/2.1. Gaussian Elimination/Lessons/2.1.4. Elementary Row Operations.md,vault/MA/Mathematical-Methods-for-the-Physical-Sciences/PS1/2. Matrices/2.1. Gaussian Elimination/Source/2.1.4. Elementary Row Operations
61,3029,PS1.2.1.5,Creating Rows or Columns Containing Zeros Using Gaussian Elimination,vault/MA/Mathematical-Methods-for-the-Physical-Sciences/PS1/2. Matrices/2.1. Gaussian Elimination/Lessons/2.1.5. Creating Rows or Columns Containing Zeros Using Gaussian Elimination.md,vault/MA/Mathematical-Methods-for-the-Physical-Sciences/PS1/2. Matrices/2.1. Gaussian Elimination/Source/2.1.5. Creating Rows or Columns Containing Zeros Using Gaussian Elimination
