module-id,module-code,module-name
124292,PS1.1.1,Vector Geometry
124290,PS1.1.2,Introduction to Set Theory
124291,PS1.1.3,Set Operations
124219,PS1.2.1,Gaussian Elimination
124298,PS1.2.2,Elementary Matrices
124220,PS1.2.3,The Inverse of a Matrix
124305,PS1.2.4,Determinants
124221,PS1.2.5,LU Factorization
124222,PS1.3.1,Vectors in N-Dimensional Space
124223,PS1.3.2,Subspaces of N-Dimensional Space
124224,PS1.3.3,Bases of N-Dimensional Space
124225,PS1.3.4,Dimension and Rank in N-Dimensional Space
124299,PS1.3.5,Abstract Vector Spaces
124226,PS1.4.1,Linear Transformations
124227,PS1.4.2,Linear Maps and Their Matrix Representations
124228,PS1.5.1,Eigenvectors and Eigenvalues
124229,PS1.5.2,Diagonalization
124306,PS1.5.3,Real Matrices With Complex Eigenvalues
124294,PS1.5.4,Generalized Eigenvectors
124295,PS1.6.1,Introduction to Multivariable Functions
124296,PS1.6.2,Quadric Surfaces and Cylinders
124231,PS1.6.3,Partial Derivatives
124232,PS1.6.4,The Gradient Vector
124297,PS1.6.5,Plane Transformations
124300,PS1.6.6,Differentiation
124233,PS1.6.7,The Multivariable Chain Rule
124301,PS1.7.1,Vector-Valued Functions
124309,PS1.7.2,Curvature
124235,PS1.7.3,Vector Fields
124236,PS1.7.4,Divergence and Curl
124237,PS1.8.1,Double Integrals
124238,PS1.8.2,Change of Variables for Double Integrals
124239,PS1.9.1,Probability
124240,PS1.9.2,Random Variables
124307,PS1.9.3,Distributions of Two Discrete Random Variables
124241,PS1.9.4,Expectation of Random Variables
124242,PS1.10.1,The Normal Distribution
124243,PS1.10.2,The Exponential Distribution
124244,PS1.11.1,First-Order ODEs
124246,PS1.12.1,Applications of First-Order ODEs
124247,PS1.12.2,Growth and Decay Models With First-Order ODEs
124248,PS1.12.3,Physical Applications of First-Order ODEs
124249,PS1.13.1,Theory of Solutions to Linear ODEs
124250,PS1.13.2,Second-Order Linear ODEs With Constant Coefficients
124251,PS1.13.3,Modeling With Second-Order ODEs
124310,PS1.13.4,Variation of Parameters
124252,PS2.1.1,Inner Products
124253,PS2.1.2,Orthogonality
124254,PS2.1.3,Orthogonal Projections
124255,PS2.1.4,Orthogonalization Processes
124256,PS2.2.1,Diagonalization of Symmetric Matrices
124308,PS2.2.2,Quadratic Forms
124257,PS2.2.3,Singular Value Decomposition
124258,PS2.3.1,Linear Least-Squares Problems
124259,PS2.4.1,Triple Integrals
124260,PS2.4.2,Change of Variables for Triple Integrals
124261,PS2.5.1,Line Integrals of Scalar Functions
124262,PS2.5.2,Line Integrals of Scalar Functions Over Parametric Curves
124263,PS2.5.3,Line Integrals With Respect to X and Y
124264,PS2.5.4,Line Integrals of Vector-Valued Functions
124265,PS2.5.5,Circulation and Flux
124266,PS2.5.6,Green's Theorem
124267,PS2.6.1,Parametric Surfaces
124268,PS2.6.2,Surface Area
124269,PS2.6.3,Surface Integrals
124270,PS2.7.1,Vector Mechanics
124303,PS2.7.2,Optimization
124271,PS2.7.3,Applications of Multiple Integrals
124272,PS2.8.1,Systems of ODEs
124273,PS2.8.2,Solving Systems of Linear ODEs
124274,PS2.8.3,Phase Portraits for Systems of Linear ODEs
124275,PS2.8.4,Solving Systems of ODEs Using Matrix Methods
124276,PS2.8.5,Modeling With Systems of Linear ODEs
124277,PS2.9.1,Laplace Transforms
124278,PS2.9.2,Solving Linear ODEs Using Laplace Transforms
124279,PS2.10.1,Boundary Value Problems
124280,PS2.10.2,Fourier Series
124281,PS2.11.1,Euler's Method
124282,PS2.11.2,Higher-Order Numerical Methods
124283,PS2.11.3,Implicit Numerical Methods
124284,PS2.11.4,Analyzing Numerical Methods
124285,PS2.12.1,Distributions of Two Continuous Random Variables
124286,PS2.12.2,Combining Normal Random Variables
124287,PS2.12.3,Expectation for Multivariate Distributions
124288,PS2.12.4,Covariance of Random Variables
124289,PS2.12.5,The Central Limit Theorem
