unit-id,unit-code,unit-name
1291,PS1.1,Preliminaries
1265,PS1.2,Matrices
1266,PS1.3,Vector Spaces
1267,PS1.4,Linear Transformations
1268,PS1.5,Diagonalization of Matrices
1269,PS1.6,Multivariable Functions
1270,PS1.7,Vector Functions and Vector Fields
1271,PS1.8,Multiple Integrals
1272,PS1.9,Probability & Random Variables
1274,PS1.10,Continuous Probability Distributions
1275,PS1.11,First-Order Differential Equations
1276,PS1.12,Modeling With First-Order Differential Equations
1277,PS1.13,Linear Differential Equations
1278,PS2.1,Projections
1279,PS2.2,Quadratic Forms
1280,PS2.3,Applications of Linear Algebra
1281,PS2.4,Multiple Integrals
1282,PS2.5,Line Integrals
1283,PS2.6,Surface Integrals
1284,PS2.7,Applications of Multivariable Calculus
1285,PS2.8,Systems of Differential Equations
1286,PS2.9,Laplace Transforms
1287,PS2.10,Boundary Value Problems
1288,PS2.11,Approximating Solutions to Differential Equations
1289,PS2.12,Combining Random Variables
