module-id,module-code,module-name
123520,DSM.1.1,Matrices
101957,DSM.2.1,Boolean Functions
101958,DSM.2.2,Classes of Boolean Functions
101959,DSM.2.3,Logic Circuits
101960,DSM.3.1,Numbers in Different Bases
101961,DSM.3.2,Fermat and Euler's Theorems
101962,DSM.3.3,Cryptography
101963,DSM.4.1,Discrete Random Variables
123339,DSM.4.2,The Discrete Uniform Distribution
123340,DSM.4.3,The Bernoulli Distribution
123341,DSM.4.4,The Binomial Distribution
123342,DSM.4.5,The Poisson Distribution
123343,DSM.4.6,The Geometric Distribution
123344,DSM.4.7,The Negative Binomial Distribution
123345,DSM.4.8,The Hypergeometric Distribution
123346,DSM.4.9,Bayes' Theorem
101965,DSM.4.10,Combinatorics
123514,DSM.5.1,Finite Series
101966,DSM.5.2,Geometric Series
101967,DSM.5.3,The Binomial Theorem
101969,DSM.6.1,Recurrence Relations
123593,DSM.6.2,Second-Order Recurrence Relations
101970,DSM.6.3,Generating Functions
101971,DSM.7.1,Introduction to Graph Theory
101974,DSM.7.2,Connectivity in Graphs
101972,DSM.7.3,Trees
101973,DSM.7.4,Matrix Representations of Graphs
123491,DSM.7.5,DAGs and Topological Ordering
123490,DSM.7.6,Algorithms on Graphs
101984,DSM.8.1,Finite-State Transducers
101985,DSM.8.2,Finite-State Interceptors
123592,DSM.8.3,Turing Machines
101986,DSM.8.4,Algorithmic Complexity
96036,MOP.1.1,Statements
96037,MOP.1.2,Implications and Biconditionals
96038,MOP.1.3,Predicates
122572,MOP.1.4,Quantifiers
122558,MOP.1.5,Logical Inference
96031,MOP.2.1,Introduction to Set Theory
122589,MOP.2.2,Subsets
96032,MOP.2.3,Set Operations
122597,MOP.2.4,Properties of Set Operations
96039,MOP.3.1,Introduction to Mathematical Proof
96043,MOP.3.2,Proof by Contrapositive and Contradiction
96030,MOP.4.1,Divisibility
96041,MOP.4.2,Proof by Induction
122559,MOP.5.1,Sequences
96033,MOP.5.2,Functions
96046,MOP.5.3,Cardinality
96034,MOP.6.1,Modular Congruence
122590,MOP.6.2,Linear Congruences
96035,MOP.7.1,Relations
122582,MOP.7.2,Equivalence Relations
