module-id,module-code,module-name
119492,4GM.1.1,Operations on Numbers
119493,4GM.1.2,Thinking Algebraically
119494,4GM.2.1,Place Value
119495,4GM.2.2,Comparing Whole Numbers
119496,4GM.3.1,Adding Whole Numbers
119497,4GM.3.2,Subtracting Whole Numbers
119498,4GM.4.1,"Factors, Products, and Multiples"
119499,4GM.4.2,Multiplying Whole Numbers
119500,4GM.4.3,Multiplying Whole Numbers Using Models
119501,4GM.5.1,Dividing Whole Numbers
119502,4GM.5.2,Dividing Whole Numbers Using Models
119503,4GM.6.1,Fractions
119504,4GM.6.2,Improper Fractions and Mixed Numbers
124311,4GM.6.3,Equivalent Fractions
119505,4GM.6.4,Comparing Fractions
119506,4GM.6.5,Adding Fractions
119507,4GM.6.6,Adding Mixed Numbers
119508,4GM.6.7,Multiplying Fractions
119509,4GM.6.8,Decimals
119510,4GM.7.1,Units
119511,4GM.7.2,Representing and Interpreting Data
119512,4GM.7.3,Geometry
120337,5GM.1.1,Whole Number Expressions
120338,5GM.1.2,Introduction to Negative Numbers
120339,5GM.2.1,Multiplying Whole Numbers
120340,5GM.2.2,Dividing Whole Numbers
120341,5GM.3.1,Adding and Subtracting Fractions and Whole Numbers
120342,5GM.3.2,Adding and Subtracting Fractions
120343,5GM.3.3,Adding and Subtracting Mixed Numbers
120344,5GM.4.1,Multiplying Fractions
120345,5GM.4.2,Dividing Fractions
120346,5GM.5.1,Decimals
120347,5GM.5.2,Adding and Subtracting Decimals
120348,5GM.6.1,Multiplying Decimals
120349,5GM.6.2,Dividing Decimals
120350,5GM.7.1,Exponents
120351,5GM.8.1,Units and Data
120352,5GM.8.2,Coordinates
120353,5GM.8.3,Patterns and Relationships
120354,5GM.9.1,Volume
120355,5GM.9.2,2D Shapes
119795,PAL.1.1,Ratios
119796,PAL.1.2,Unit Rates
119797,PAL.1.3,Proportional Relationships
119798,PAL.1.4,Percentages
124145,PAL.1.5,Percentage Change
119799,PAL.2.1,Addition and Subtraction of Rational Numbers
119800,PAL.2.2,Multiplication and Division of Rational Numbers
119801,PAL.2.3,Number Theory
119802,PAL.3.1,Exponents
119803,PAL.3.2,The Rules of Exponents
119804,PAL.3.3,Scientific Notation
119805,PAL.3.4,Order of Operations
119806,PAL.3.5,Radicals
119807,PAL.3.6,The Rules of Radicals
119808,PAL.4.1,Algebraic Expressions
119809,PAL.4.2,Simplifying Linear Expressions
119810,PAL.5.1,Solving One-Step Linear Equations
119811,PAL.5.2,Solving Multi-Step Linear Equations
119812,PAL.5.3,Solving Linear Inequalities
119813,PAL.5.4,Graphs of Linear Equations
119814,PAL.5.5,Systems of Equations
119815,PAL.6.1,Introduction to Geometry
119816,PAL.6.2,Angles
119817,PAL.6.3,Advanced Angles
119818,PAL.6.4,Triangles
119819,PAL.6.5,Polygons
119820,PAL.6.6,Quadrilaterals
119821,PAL.6.7,Area and Perimeter
119822,PAL.7.1,Summarizing Data
119823,PAL.7.2,Representing Data
117622,AG1.1.1,Linear Equations
117625,AG1.1.2,Modeling With Linear Equations
117626,AG1.1.3,Linear Inequalities
