module-id,module-code,module-name
121651,CAB.1.1,Estimating Limits from Graphs
121652,CAB.1.2,The Algebra of Limits
121653,CAB.1.3,Limits of Functions
121654,CAB.1.4,Determining Limits Using Algebraic Manipulation
121655,CAB.1.5,Special Limits
121656,CAB.1.6,Continuity
121657,CAB.1.7,Removing Discontinuities
121658,CAB.2.1,Introduction to Differentiation
121659,CAB.2.2,Derivatives of Functions and the Rules of Differentiation
121660,CAB.3.1,Differentiating Composite Functions
121661,CAB.3.2,Differentiating Implicit and Inverse Functions
121662,CAB.4.1,Contextual Applications of Differentiation
121663,CAB.4.2,Estimating Derivatives
121664,CAB.4.3,"Displacement, Velocity, and Acceleration"
121665,CAB.4.4,Related Rates of Change
121666,CAB.5.1,L'Hopital's Rule
121667,CAB.5.2,Analytical Applications of Differentiation
121668,CAB.5.3,Analysis of Curves
121669,CAB.5.4,Approximating Values of a Function
121670,CAB.5.5,Optimization
121671,CAB.6.1,Indefinite Integrals
121672,CAB.6.2,Approximating Areas with Riemann Sums
121673,CAB.6.3,Definite Integrals
121674,CAB.6.4,The Area Under a Curve
121675,CAB.6.5,Accumulation Functions
121676,CAB.6.6,Integration Using Substitution
121677,CAB.6.7,Integration Using Trigonometric Identities
121678,CAB.6.8,Special Techniques for Integration
121679,CAB.7.1,Introduction to Differential Equations
121680,CAB.7.2,Qualitative Techniques for Differential Equations
121681,CAB.7.3,Slope Fields
121682,CAB.8.1,Applications of Integration
121683,CAB.8.2,"Connecting Position, Velocity and Acceleration Using Integrals"
121684,CAB.8.3,Volumes of Solids With Known Cross Sections
121685,CAB.8.4,Volumes of Revolution
121686,CAB.9.1,Using Graphing Calculators
121598,CBC.1.1,Estimating Limits from Graphs
121599,CBC.1.2,The Algebra of Limits
121600,CBC.1.3,Limits of Functions
121601,CBC.1.4,Determining Limits Using Algebraic Manipulation
121602,CBC.1.5,Special Limits
121603,CBC.2.1,Continuity
121604,CBC.2.2,Removing Discontinuities
121605,CBC.3.1,Introduction to Differentiation
121606,CBC.3.2,Derivatives of Functions and the Rules of Differentiation
121607,CBC.4.1,Differentiating Composite Functions
121608,CBC.4.2,Differentiating Implicit and Inverse Functions
121609,CBC.5.1,Contextual Applications of Differentiation
121610,CBC.5.2,Estimating Derivatives
121611,CBC.5.3,Related Rates of Change
121612,CBC.5.4,L'Hopital's Rule
121613,CBC.6.1,Analytical Applications of Differentiation
121614,CBC.6.2,Analysis of Curves
121615,CBC.6.3,Approximating Values of a Function
121616,CBC.6.4,Optimization
