unit-id,unit-code,unit-name
452,CAB.1,Limits and Continuity
453,CAB.2,Differentiation: Definition and Fundamental Properties
454,CAB.3,"Differentiation: Composite, Implicit, and Inverse Functions"
455,CAB.4,Contextual Applications of Differentiation
456,CAB.5,Analytical Applications of Differentiation
457,CAB.6,Integration
458,CAB.7,Differential Equations
459,CAB.8,Applications of Integration
769,CAB.9,Applications of Technology
1,CBC.1,Limits
629,CBC.2,Continuity
2,CBC.3,Introduction to Differentiation
3,CBC.4,Advanced Differentiation
4,CBC.5,Contextual Applications of Differentiation
5,CBC.6,Analytical Applications of Differentiation
6,CBC.7,Integration
630,CBC.8,Techniques of Integration
7,CBC.9,Differential Equations
8,CBC.10,Applications of Integration
9,CBC.11,Parametric Equations
620,CBC.12,Polar Equations
536,CBC.13,Particle Dynamics
10,CBC.14,Sequences & Series
631,CBC.15,Power Series
767,CBC.16,Applications of Technology
678,CA1.1,Preliminaries
671,CA1.2,Limits
672,CA1.3,Continuity
673,CA1.4,Introduction to Differentiation
674,CA1.5,Advanced Differentiation
675,CA1.6,Contextual Applications of Differentiation
676,CA1.7,Analytical Applications of Differentiation
677,CA1.8,Integration
679,CA2.1,Integration Techniques
680,CA2.2,Applications of Integration
681,CA2.3,Parametric & Polar Equations
682,CA2.4,Sequences & Series
688,CA2.5,Differential Equations
