topic-id,topic-code,topic-number,topic-name,unit,module,lesson-path,source-path,layer,nearest-integer-layer,course-map-index
2205,AG2.1.1.1,1.1.1,The Real Number System,1. Number Systems,1.1. The Real Number System,1. Number Systems/1.1. The Real Number System/Lessons/1.1.1. The Real Number System.md,1. Number Systems/1.1. The Real Number System/Source/1.1.1. The Real Number System,29,29,1
2564,AG2.1.1.2,1.1.2,Writing Repeating Decimals as Fractions,1. Number Systems,1.1. The Real Number System,1. Number Systems/1.1. The Real Number System/Lessons/1.1.2. Writing Repeating Decimals as Fractions.md,1. Number Systems/1.1. The Real Number System/Source/1.1.2. Writing Repeating Decimals as Fractions,32,32,2
2034,AG2.1.1.3,1.1.3,Sums and Products of Rational and Irrational Numbers,1. Number Systems,1.1. The Real Number System,1. Number Systems/1.1. The Real Number System/Lessons/1.1.3. Sums and Products of Rational and Irrational Numbers.md,1. Number Systems/1.1. The Real Number System/Source/1.1.3. Sums and Products of Rational and Irrational Numbers,32,32,3
14,AG2.1.2.1,1.2.1,Imaginary Numbers,1. Number Systems,1.2. Introduction to Complex Numbers,1. Number Systems/1.2. Introduction to Complex Numbers/Lessons/1.2.1. Imaginary Numbers.md,1. Number Systems/1.2. Introduction to Complex Numbers/Source/1.2.1. Imaginary Numbers,31,31,4
464,AG2.1.2.2,1.2.2,Quadratic Equations with Purely Imaginary Solutions,1. Number Systems,1.2. Introduction to Complex Numbers,1. Number Systems/1.2. Introduction to Complex Numbers/Lessons/1.2.2. Quadratic Equations with Purely Imaginary Solutions.md,1. Number Systems/1.2. Introduction to Complex Numbers/Source/1.2.2. Quadratic Equations with Purely Imaginary Solutions,36,36,5
735,AG2.1.2.3,1.2.3,Complex Numbers,1. Number Systems,1.2. Introduction to Complex Numbers,1. Number Systems/1.2. Introduction to Complex Numbers/Lessons/1.2.3. Complex Numbers.md,1. Number Systems/1.2. Introduction to Complex Numbers/Source/1.2.3. Complex Numbers,32,32,6
31,AG2.1.2.4,1.2.4,Adding and Subtracting Complex Numbers,1. Number Systems,1.2. Introduction to Complex Numbers,1. Number Systems/1.2. Introduction to Complex Numbers/Lessons/1.2.4. Adding and Subtracting Complex Numbers.md,1. Number Systems/1.2. Introduction to Complex Numbers/Source/1.2.4. Adding and Subtracting Complex Numbers,33,33,7
33,AG2.1.2.5,1.2.5,Multiplying Complex Numbers,1. Number Systems,1.2. Introduction to Complex Numbers,1. Number Systems/1.2. Introduction to Complex Numbers/Lessons/1.2.5. Multiplying Complex Numbers.md,1. Number Systems/1.2. Introduction to Complex Numbers/Source/1.2.5. Multiplying Complex Numbers,39,39,8
895,AG2.1.2.6,1.2.6,Solving Quadratic Equations With Complex Roots,1. Number Systems,1.2. Introduction to Complex Numbers,1. Number Systems/1.2. Introduction to Complex Numbers/Lessons/1.2.6. Solving Quadratic Equations With Complex Roots.md,1. Number Systems/1.2. Introduction to Complex Numbers/Source/1.2.6. Solving Quadratic Equations With Complex Roots,46,46,9
32,AG2.1.2.7,1.2.7,The Cyclic Property of the Imaginary Unit,1. Number Systems,1.2. Introduction to Complex Numbers,1. Number Systems/1.2. Introduction to Complex Numbers/Lessons/1.2.7. The Cyclic Property of the Imaginary Unit.md,1. Number Systems/1.2. Introduction to Complex Numbers/Source/1.2.7. The Cyclic Property of the Imaginary Unit,32,32,10
