topic,requires
45,2558
130,63
130,236
130,2347
130,2451
130,2452
130,2499
130,2510
130,4196
130,4197
130,4198
131,130
132,705
132,1120
160,324
161,2475
183,715
262,433
262,1318
263,433
263,1318
263,1386
324,4361
433,354
433,430
433,1601
433,2184
459,433
459,573
460,354
460,1404
460,2234
479,460
479,1745
479,2887
483,577
483,1363
483,3823
485,92
485,1463
490,552
490,1319
490,2407
490,3751
491,490
491,2218
494,433
494,597
494,1435
494,3533
497,550
502,1462
502,3554
503,1387
503,3555
504,681
504,1467
504,2941
505,517
506,497
508,496
508,1500
508,5157
508,5488
510,611
510,1639
510,3873
512,459
513,611
513,629
513,1365
514,262
514,263
514,578
514,1521
516,610
516,764
516,765
517,433
517,1404
526,408
526,459
526,3562
527,64
527,97
527,552
527,573
531,1515
532,1515
542,1357
542,5135
550,1511
550,3565
577,40
577,2216
578,433
578,1404
579,497
580,578
580,579
582,1515
596,550
596,698
596,1745
597,323
597,460
597,550
609,1318
609,1597
609,2234
609,3555
610,609
610,753
611,633
629,609
633,433
633,609
641,610
641,629
647,513
647,610
647,1608
647,2278
666,843
666,3842
674,681
681,1352
681,1927
681,2469
703,470
703,775
705,703
709,1121
710,323
710,1120
710,1435
710,2886
710,3533
714,66
714,4361
715,323
715,324
739,773
739,1154
740,183
764,460
764,3980
765,262
765,263
765,611
773,715
774,68
775,161
775,774
793,1120
794,131
794,793
794,2826
794,2827
837,3725
837,3979
842,1183
843,842
844,398
844,843
844,1425
845,398
845,843
845,6341
966,531
966,532
966,582
966,1520
966,1521
1035,433
1035,1397
1035,2484
1068,2484
1068,2886
1120,709
1121,130
1121,470
1144,460
1144,552
1144,698
1144,1745
1144,2467
1144,3748
1145,121
1145,470
1145,2467
1145,3748
1146,121
1146,470
1146,1404
1146,2467
1146,3748
1148,1144
1148,1146
1148,1764
1154,4315
1183,459
1183,485
1183,1404
1184,521
1184,1183
1184,3562
1185,433
1185,521
1185,531
1185,1404
1185,1524
1185,1644
1187,459
1187,517
1187,1183
1187,3562
1188,578
1188,1183
1188,3562
1197,430
1197,1367
1197,1397
1354,487
1354,521
1354,1386
1354,1512
1354,2278
1354,2407
1357,966
1357,1508
1357,1524
1357,1644
1357,5488
1363,2217
1365,1367
1365,3555
1366,1367
1366,4104
1367,490
1367,698
1367,1386
1387,1386
1387,1463
1387,3979
1398,1354
1398,1357
1398,5137
1398,5271
1404,178
1404,2278
1406,497
1406,578
1406,4019
1427,3725
1427,3979
1466,2484
1466,2887
1467,1819
1467,2484
1467,3872
1478,459
1478,2887
1479,459
1479,484
1479,485
1479,2887
1497,502
1497,1503
1497,5488
1503,491
1503,1404
1516,92
1516,470
1516,1317
1517,1509
1517,1516
1518,95
1518,521
1518,1516
1520,1515
1521,1515
1524,485
1524,552
1524,1317
1597,1601
1605,550
1605,764
1606,323
1606,1605
1606,1745
1608,433
1608,629
1608,765
1608,1397
1745,430
1745,1352
1745,1404
1752,116
1752,3622
1753,40
1753,1467
1753,1927
1753,2484
1753,3872
1762,460
1762,1745
1762,2469
1763,1745
1763,1778
1763,2469
1764,1763
1765,681
1765,1146
1765,1457
1778,433
1778,460
1778,1145
1826,1322
1826,2849
1919,1367
1919,3555
1919,4104
2155,3658
2216,1379
2216,1516
2217,1518
2218,483
2218,1515
2226,1322
2226,3535
2226,3751
2227,1322
2227,1517
2227,3751
2467,3751
2468,2484
2469,576
2469,2468
2484,2467
2826,45
2827,45
2827,347
2849,1317
2849,2468
2884,262
2884,1397
2885,263
2885,1397
2886,262
2886,1397
2887,263
2887,1352
2941,323
2941,1197
2977,1397
2977,1399
2977,1478
3533,596
3535,97
3535,1518
3547,497
3547,597
3547,1403
3556,837
3562,1427
3565,1404
3622,1466
3658,739
3663,262
3663,263
3663,497
3663,505
3710,371
3710,423
3710,774
3823,1517
4065,1365
4065,1366
4065,1919
4315,740
4361,794
5100,1512
5135,433
5135,487
5135,521
5135,1357
5137,487
5137,4104
5137,5488
5157,1458
5158,527
5158,1524
5158,5159
5159,1387
5159,5188
5169,1398
5188,508
5188,4065
5271,487
5271,5488
5272,5137
5273,5135
5434,5100
5488,502
5488,5434
6202,479
6319,408
6319,1184
6319,1185
