topic-id,topic-code,topic-number,topic-name,unit,module,lesson-path,source-path,layer,nearest-integer-layer,course-map-index
5100,GEO.1.1.1,1.1.1,Identifying Angle Postulates,"1. Proof, Congruence, & Similarity",1.1. Proof,"1. Proof, Congruence, & Similarity/1.1. Proof/Lessons/1.1.1. Identifying Angle Postulates.md","1. Proof, Congruence, & Similarity/1.1. Proof/Source/1.1.1. Identifying Angle Postulates",42,42,1
5434,GEO.1.1.2,1.1.2,Identifying Angle Theorems,"1. Proof, Congruence, & Similarity",1.1. Proof,"1. Proof, Congruence, & Similarity/1.1. Proof/Lessons/1.1.2. Identifying Angle Theorems.md","1. Proof, Congruence, & Similarity/1.1. Proof/Source/1.1.2. Identifying Angle Theorems",43,43,2
5488,GEO.1.1.3,1.1.3,Proving Alternate Angle Theorems,"1. Proof, Congruence, & Similarity",1.1. Proof,"1. Proof, Congruence, & Similarity/1.1. Proof/Lessons/1.1.3. Proving Alternate Angle Theorems.md","1. Proof, Congruence, & Similarity/1.1. Proof/Source/1.1.3. Proving Alternate Angle Theorems",44,44,3
5271,GEO.1.1.4,1.1.4,Further Proving Alternate Angle Theorems,"1. Proof, Congruence, & Similarity",1.1. Proof,"1. Proof, Congruence, & Similarity/1.1. Proof/Lessons/1.1.4. Further Proving Alternate Angle Theorems.md","1. Proof, Congruence, & Similarity/1.1. Proof/Source/1.1.4. Further Proving Alternate Angle Theorems",45,45,4
5137,GEO.1.1.5,1.1.5,Proving Consecutive Angle Theorems,"1. Proof, Congruence, & Similarity",1.1. Proof,"1. Proof, Congruence, & Similarity/1.1. Proof/Lessons/1.1.5. Proving Consecutive Angle Theorems.md","1. Proof, Congruence, & Similarity/1.1. Proof/Source/1.1.5. Proving Consecutive Angle Theorems",45,45,5
5272,GEO.1.1.6,1.1.6,Further Proving Consecutive Angle Theorems,"1. Proof, Congruence, & Similarity",1.1. Proof,"1. Proof, Congruence, & Similarity/1.1. Proof/Lessons/1.1.6. Further Proving Consecutive Angle Theorems.md","1. Proof, Congruence, & Similarity/1.1. Proof/Source/1.1.6. Further Proving Consecutive Angle Theorems",46,46,6
5135,GEO.1.1.7,1.1.7,Proving Perpendicular Line Theorems,"1. Proof, Congruence, & Similarity",1.1. Proof,"1. Proof, Congruence, & Similarity/1.1. Proof/Lessons/1.1.7. Proving Perpendicular Line Theorems.md","1. Proof, Congruence, & Similarity/1.1. Proof/Source/1.1.7. Proving Perpendicular Line Theorems",47,47,7
5273,GEO.1.1.8,1.1.8,Further Proving Perpendicular Line Theorems,"1. Proof, Congruence, & Similarity",1.1. Proof,"1. Proof, Congruence, & Similarity/1.1. Proof/Lessons/1.1.8. Further Proving Perpendicular Line Theorems.md","1. Proof, Congruence, & Similarity/1.1. Proof/Source/1.1.8. Further Proving Perpendicular Line Theorems",48,48,8
1516,GEO.1.2.1,1.2.1,Translations of Geometric Figures,"1. Proof, Congruence, & Similarity",1.2. Transformations,"1. Proof, Congruence, & Similarity/1.2. Transformations/Lessons/1.2.1. Translations of Geometric Figures.md","1. Proof, Congruence, & Similarity/1.2. Transformations/Source/1.2.1. Translations of Geometric Figures",33,33,9
1517,GEO.1.2.2,1.2.2,Rotations of Geometric Figures,"1. Proof, Congruence, & Similarity",1.2. Transformations,"1. Proof, Congruence, & Similarity/1.2. Transformations/Lessons/1.2.2. Rotations of Geometric Figures.md","1. Proof, Congruence, & Similarity/1.2. Transformations/Source/1.2.2. Rotations of Geometric Figures",34,34,10
3823,GEO.1.2.3,1.2.3,Rotating Objects in the Coordinate Plane Using Functions,"1. Proof, Congruence, & Similarity",1.2. Transformations,"1. Proof, Congruence, & Similarity/1.2. Transformations/Lessons/1.2.3. Rotating Objects in the Coordinate Plane Using Functions.md","1. Proof, Congruence, & Similarity/1.2. Transformations/Source/1.2.3. Rotating Objects in the Coordinate Plane Using Functions",35,35,11
1518,GEO.1.2.4,1.2.4,Reflections of Geometric Figures in the Cartesian Plane,"1. Proof, Congruence, & Similarity",1.2. Transformations,"1. Proof, Congruence, & Similarity/1.2. Transformations/Lessons/1.2.4. Reflections of Geometric Figures in the Cartesian Plane.md","1. Proof, Congruence, & Similarity/1.2. Transformations/Source/1.2.4. Reflections of Geometric Figures in the Cartesian Plane",38,38,12
3535,GEO.1.2.5,1.2.5,Reflections of Figures Across Arbitrary Lines,"1. Proof, Congruence, & Similarity",1.2. Transformations,"1. Proof, Congruence, & Similarity/1.2. Transformations/Lessons/1.2.5. Reflections of Figures Across Arbitrary Lines.md","1. Proof, Congruence, & Similarity/1.2. Transformations/Source/1.2.5. Reflections of Figures Across Arbitrary Lines",39,39,13
2216,GEO.1.2.6,1.2.6,Dilations of Geometric Figures,"1. Proof, Congruence, & Similarity",1.2. Transformations,"1. Proof, Congruence, & Similarity/1.2. Transformations/Lessons/1.2.6. Dilations of Geometric Figures.md","1. Proof, Congruence, & Similarity/1.2. Transformations/Source/1.2.6. Dilations of Geometric Figures",34,34,14
577,GEO.1.2.7,1.2.7,Dilations of Figures in the Coordinate Plane,"1. Proof, Congruence, & Similarity",1.2. Transformations,"1. Proof, Congruence, & Similarity/1.2. Transformations/Lessons/1.2.7. Dilations of Figures in the Coordinate Plane.md","1. Proof, Congruence, & Similarity/1.2. Transformations/Source/1.2.7. Dilations of Figures in the Coordinate Plane",35,35,15
2217,GEO.1.2.8,1.2.8,Stretches of Geometric Figures,"1. Proof, Congruence, & Similarity",1.2. Transformations,"1. Proof, Congruence, & Similarity/1.2. Transformations/Lessons/1.2.8. Stretches of Geometric Figures.md","1. Proof, Congruence, & Similarity/1.2. Transformations/Source/1.2.8. Stretches of Geometric Figures",39,39,16
1363,GEO.1.2.9,1.2.9,Combining Stretches of Geometric Figures,"1. Proof, Congruence, & Similarity",1.2. Transformations,"1. Proof, Congruence, & Similarity/1.2. Transformations/Lessons/1.2.9. Combining Stretches of Geometric Figures.md","1. Proof, Congruence, & Similarity/1.2. Transformations/Source/1.2.9. Combining Stretches of Geometric Figures",40,40,17
483,GEO.1.2.10,1.2.10,Combining Geometric Transformations,"1. Proof, Congruence, & Similarity",1.2. Transformations,"1. Proof, Congruence, & Similarity/1.2. Transformations/Lessons/1.2.10. Combining Geometric Transformations.md","1. Proof, Congruence, & Similarity/1.2. Transformations/Source/1.2.10. Combining Geometric Transformations",41,41,18
2226,GEO.1.2.11,1.2.11,Reflective Symmetry,"1. Proof, Congruence, & Similarity",1.2. Transformations,"1. Proof, Congruence, & Similarity/1.2. Transformations/Lessons/1.2.11. Reflective Symmetry.md","1. Proof, Congruence, & Similarity/1.2. Transformations/Source/1.2.11. Reflective Symmetry",42,42,19
2227,GEO.1.2.12,1.2.12,Rotational Symmetry,"1. Proof, Congruence, & Similarity",1.2. Transformations,"1. Proof, Congruence, & Similarity/1.2. Transformations/Lessons/1.2.12. Rotational Symmetry.md","1. Proof, Congruence, & Similarity/1.2. Transformations/Source/1.2.12. Rotational Symmetry",42,42,20
532,GEO.1.3.1,1.3.1,The ASA Congruence Criterion,"1. Proof, Congruence, & Similarity",1.3. Congruence,"1. Proof, Congruence, & Similarity/1.3. Congruence/Lessons/1.3.1. The ASA Congruence Criterion.md","1. Proof, Congruence, & Similarity/1.3. Congruence/Source/1.3.1. The ASA Congruence Criterion",44,44,21
